full_text,sentiment
🕊️🕊️,positivo
hora. necesitamos obras pais. empresas empresarios honestos. ladrones,positivo
"sola palabrita, sinverguenzas.",negativo
beteta? violeta? jajajajajjaja jajajajajajajajaj debe chiste,negativo
solo falta lacras vayan,negativo
recepcionistas.,positivo
alegres residuos escoria inmunda congresal,positivo
dejen limpio salir. dejar tirados papeles recogerlos costo.,negativo
inutiles,positivo
activacion obras publicas??? tiempo congreso hecho hacer ahora parlamentarios,negativo
"disuelto? carajo haces twittiando? viaje limpia casa, algo, deja grupo impotentes la.sigan vagando solos. congreso casa.",positivo
solo congresistas peruanos consecuentes arana gino costa demas deberian borrarse sinverguenzas,negativo
gino costa arana. saben esas🐀🐀 presupuestos sale gratis ongs.,negativo
"gino costa arana,",negativo
...y despues que?,negativo
coimisiones dira!!,positivo
"podemos permitir hagan daño nacido,",negativo
rien?,positivo
solo marco arana gino costa .estarian calificados.los demas solo saben rebuznar.,negativo
"trabajen sarta parasitos,",positivo
tramite encargado hacer util hecho años,positivo
nadie mas? hay? triste,negativo
mesa partes!!!! jajaja,negativo
votaron burros,positivo
mesa partes cara historia.,negativo
señor marco arana sonriente colegas.,positivo
entiendo hace alli felon costa destructor economia rojo araña,negativo
jajaja jajajaja,positivo
puro payasosossosssss pavos,positivo
🤣🤣🤣🤣🤣,positivo
club construccion!!!!,positivo
"obras judicializadas pueden reiniciarse, solo orden",negativo
disolvieron congreso?,positivo
rien babosos?!...,positivo
conjunto ratas deficientes kongresista,positivo
engañar pueblo estan trabajando derecho sueldazo gratificacion estarian trabajando intereses privados,positivo
vaya estan felices sonrientes beteta,positivo
"hace trepador caviar gino costa comision trepa todo,",negativo
se... impresion contentos agarran #grati navidad,positivo
"vagos tiempo vienen instalando comisiones, mejor hagan instalaciones electricas congreso, paga??",negativo
figuretis,positivo
hace karina beteta ahi? mejores opciones? lamentable,negativo
asco,positivo
ratas ninguno debe seguir,negativo
rico webeo,positivo
mismas caras. lastima latinoamerica corrupcion,positivo
mejor chiste navideño.,positivo
menos fotos... callados hagan 'trabajo'.,negativo
plata campaña oficialismo,positivo
"entiendan informe validez, solo guardelos luego dejen limpio oficina.",negativo
"mejor entretienen jugando ludo viendo enero 2020 obligacion mandato constitucional entregar decretos urgencia pdte nuevo congreso 2020, unico encargado aprobarlos rechazarlos",positivo
"perro, gato, pericote...",positivo
"saben analisis gente, gastar asesores menos hagan entender trata dicho decreto",positivo
"seguiran paralizadas, gobierno incompetente",positivo
payasos comen fondos publicos producen¡quien consciente?...,negativo
"hazme favor, vemos toledistas humalientos acuña, fiel aliado vizcarra....",positivo
"#elinformativoxnacional miembro comision permanente, clemente flores aseguro poder ejecutivo apoya ningun candidato parlamento opiniones vertidas ministros petardean elecciones 2020.",positivo
"clemente flores miembro comision permanente congreso: ministros solo emitiendo opinion personal, libertad expresion ademas pronunciara reeleccion. #elinformativoxnacional",negativo
"clemente flores miembro comision permanente congreso: entiendo pronunciamiento jne, pues ejecutivo participando elecciones. #elinformativoxnacional",negativo
"clemente flores miembro comision permanente congreso, considero opiniones vertidas ministros respecto elecciones estarian interfiriendo proceso, pues solo estan emitiendo posicion personal. #elinformativoxnacional",negativo
debemos votar bien eleccion,positivo
"ahora piensa aliada denuncias investigaciones ahora impedimento salida pais, usted apaña mentiras. pesimo",negativo
