full_text,sentiment
"cometamos errores? anula limita opinion podamos tener? podemos cambiar buscar mejores personas transmitir ejemplo? creo comparaciones ademas, caso llamo atencion redaccion daria entender excluye.",positivo
"es,hasta empresarios inescrupulosos construyen zona intangible playas litoral.",positivo
panaderon alaba buen panadero,positivo
pasa desean alquilar seleccionado alquilar connrenta joven? base datos arrendatarios saber podemos alquilar. recuerde formal pocos desean alquilar,negativo
tac.....,positivo
creer.,positivo
"puede confirmar congresistas opusieron solicitaban bien cobren impuestos bancos, cosa procedio minoria",positivo
"osea pedia igualdad bancos agencias(wu, dhl) mercantilista solicitaba cobren impuestos agencias, cobrar impuestos bancos, dinero podia servir construir hospitales, favor empresarios cuesta ciudadanos",negativo
"ejemplo enviar agencias dinero pagas impuesto, osea cobra comision cambio bancos paga tasa, cobra comision mismo monto lleva completa,",negativo
"com. economia, buscaba quitar impuestos empresas envian dinero exterior, poner impuestos dicho tramite clara posicion favor bancos ciudadanos, mercantilistas",negativo
tema hoy.,positivo
#gobiernoinepto,positivo
veia venir,positivo
gusto tuit algun momento senti defraudada darte voto criticas sino volverte complice partido naranja daño sigue haciendo idea nauseas sentimos vimos talk show congreso,negativo
señor quedaba propina meseros???,positivo
"lavlluvia venezolanos, existe???",positivo
"dice #venecolover promovio llegada medio millon #venezolanos desempleados dudosa reputacion #peru, ahora amigos encarguense darles trabajo pues!! #desempleoperu #peruencrisis",negativo
"techito... paranoia quieres provocar funciona. sabes que? credibilidad cero. gente reconoce traidor, nada.",negativo
respeto entiendo debe ventilando vida sexual ambiente trabajo mejor.,negativo
personas especiales,positivo
derecho? sera derecho pagas plata!!,positivo
"desalojo notarial subsidiar bueno, mejor promover creacion empleos crear dependientes estado.",negativo
criticas desalojo notarial.,positivo
"wow, vivienda deberia derecho mero negocio sangre cara...",negativo
bien!,positivo
hiciste posicion congreso ultimos años?? ademas servir vocero fujimorismo despues obligaron renunciar ministro?,negativo
gracias usted. 💁🏻‍♀️,positivo
adecuado? ponen dildos?,negativo
"desgracia depravacion imponiendose empresas peruanas, gracioso parece!!!",positivo
trabajadores merecen adecuado ambiente trabajo. luego quejan ustedes mismos siempre estan queriendo marcar diferencias.,negativo
usan vibradores.??,positivo
"tambien deberian ayudar lgtb lamentablemente falta oportunidades contar recursos economicos, deciden prostituirse calles avenidas lima, eso, seria verdadera inclusion",positivo
"aja, tema negocio justos derechos...",positivo
¿como tratas trabajadores?,negativo
buena obra no??? funciona???,positivo
cuanto corrupto sinverguenza!!!,negativo
millones pongo aeropuertos,positivo
¿habra renunciado homofõbico convicto confeso filas?¿ya olvidaron incidente ppkabros????. hmmmmmm,positivo
"bueno hecho peru cartera vivienda siempre sera recordado. muchas gracias obras, haber sido ministro merece respeto. etapa critica 30/09 culmino, ahora seguir adelante.",negativo
"peor mezclar aberraciones sexuales gestion publica. aberraciones sexuales contranatura degradan humano asuntos estado, #sigridpe #bolivia",positivo
"gente olvido, mejor explicale padrastro hijos",negativo
alguna politica publica religiosa emitido presidenta,negativo
"cierto, recibio papa comunista?",positivo
"mucha razon carlos bruce, saludos puno city.",positivo
"apollen fabor..., nueba faxion rezistensia. #marktuhuelgaesmihuelga.",positivo
