full_text,sentiment
"tomo palabra, digan encarcele demande ministros melendez tomas, cereza pastel, denuncien odebrecht, punto",negativo
"hace rato eso.... weon esperando justicia? justicia solo aplica odebrecht, jose graña, grandes ladrones libres!",negativo
vizcacha capo capos. soles hahahahahahhaahhaha solo tranzar fuerza popular villanueva. pasa piola,negativo
señora lleva ideologia grillete,negativo
olvido padrino paso tampoco mencion etc.,negativo
"mientras izquierda modelo economico interesa; empresarios, emprendedores, amas casa, trabajadores, taxistas, agricultores, bodegueros, ambulantes importante modelo economico, vivimos sudamos gota gorda dias.",positivo
"sabra odebrecht vicente zeballos acepte confirme devolvera millones soles empresa mafiosa sabe vicente zeballos temprano tarde, preguntale coimero cesar villanueva",negativo
acusacion cuandoooo??? #nomafiacaviar #despiertaperu #madresporelperu #profamilia #prodemocracia,positivo
"30,000 dono martin belaunde lossio rubro cuestionamos? rojetes leiva) usar intensamente solo keiko, sino fomentar odio empresarios",negativo
mejor lugar ratas vizcarra,negativo
preocupacion haces publica respecto veronika mendoza? gustaria seguir ocultando brille otros?,negativo
"usado #odebrecht hizo util, delatar. apuestan proteccion actualmente brinda implicados mayor caso corrupcion historia.",positivo
jaaaa unica politica korrupta,negativo
puro teatro resto estan?,positivo
tanta cortinas hace persona solo unica politica señora mucha lawfare,negativo
cv??? sigue peru??,negativo
asuuuuuu. viva corrupcion gustavo rosell director rrgional salud martin gob. corrupto siendo gerente desarrollo social capo neptali santillan. sobrevaloracion hosp. martin. viva corrupcion,negativo
#vizcarrablindaavillanueva #vizcarrablindaavillanueva #vizcarrablindaavillanueva,positivo
desaparecido proveedor zacapa toñito camayo.,positivo
#vizcarrablindaavillanueva,positivo
"ambos saben cochinadas actos corrupcion caigo intentas conmigo,ya andaran tramando ""salida"" benigna impunidad complicidad",positivo
"andan boconeando carlos acosta mismo chamba maridito capo sera ministro. tambien dicen rosell, esbirro tambien pelea titulo. asi... viva corrupcion!!!😠😠",negativo
gente impresentable impedimento salir pais falsear estudios... zulema tomas demostrado esposo hermana nepotismo indefendible! habra sancion penal? sera,negativo
