full_text,sentiment
"unicos excluyendo proceso electoral, punto elecciones tratan ciudadanos decidiendo congresistas super poder voto determina cierra puerta nariz.",positivo
"verdad, mismos. hora empiece vincular frecuentemente, despues peruano promedio lleve sorpresas.",negativo
#terrorismonuncamas !!!!!!!! #fueracomunistasdelperu !!!!!,positivo
retuiteo lacra publicitarla,positivo
desempolven pinochito arrase mogosos,positivo
"insisto, sabes opinas.",negativo
derecho manifestar entiendo rayos exponen niños ambiente?,positivo
mira habla corruptos.,positivo
tremendo lameculo,positivo
"vayan ,para entrar pateas muerto pretender curul! modo deberias tener postura defensa democracia clara ambiguedades pones modo recapacita tiempo!!",positivo
asco!,positivo
porq detienen... actos pudor niños familias calles... respetos guardan respeto... ninguna derecho fastidiar.,positivo
"problema votar dos, votas toda lista, sentenciado pueden obtener curul tambien.",positivo
gentita enferma apoya toda pobredumbre llamada izquierda.,positivo
declaran improcedente candidaturas gino costa alberto belaunde,negativo
ojala puedan nuevo congreso cambiar tipo elecciones ...los partidos politicos suficiente maduros preseleccionar mayoria candidatos,negativo
verguenza... placenta.... solo queda galapagos corretearian...,negativo
"nadie vote fujimorsmo, algunos, accion popular, etc. saquen ahorros",negativo
jajaja. estan incongruentes angurrientos...,positivo
"señores,no cloaca",positivo
"jajajajajajajajajajajajajaajajaja., candidato aborto mafionalismo",positivo
justo tener vivir tener agenda hagamos marcha,negativo
"bien denuncias, acuciosos filtros, frieguen, lastima defensor casos, puede involucrar imagen, tiempo renunciar",positivo
veremos coherencia,positivo
c.c.,positivo
pues gente decente #tumbes.,negativo
coherente gusta jugar rudo jugar limpio. interesa llegar parlamento cualquier precio.,positivo
tara distincion clases sociales economicas.,positivo
"tres tristes tigres, llorando plañideras piconas, quitaron chamba ademas rajando gente buena debe volver congreso verdad, disfruto loca, ustedes nunca volveran congreso, rufianes!!!",negativo
peruanos padecemos culturalmente tara.,positivo
"problema eugenio dejar cosas ultima hora plaga nacional. cultural, falta ella.",positivo
"punto vista lejos, deje felpudini impresentables",negativo
necesidad quedar bien diablo.,positivo
buena hora rosquetes sido separados./! ojala nunca vuelvan congreso..!,positivo
"acuerdo,en anforas realmente pueblo” decide quiere represente,no encuestas menos truchas demosle oportunidad regresar congreso “holgura” economica contrate amigui",positivo
cosa. punto prohiban hacerlo. consecuencia dicho actuado carril depende cada uno.,negativo
"ellos, querian congreso? querian reeleccion? consecuentes? creerles?",positivo
jajajajaja desfachatez! basura!,positivo
"pena necesita billete poder vivir holgado, pobre hombre.",positivo
"ninguno deben competir demuestren coherencia decian respecto cierre congreso. decian pueblo queria todos"" apoyaron cierre. pues. ¿que hacen postulando? nadita consecuentes.",positivo
"honor verdad, puedo aceptar permita miembro comision permanente postule congreso. resuelve puede flexible fechas licencias. pienso deben competir.",negativo
cuadros o... rejas guzmala.,positivo
"ahora hacer sinverguenza rosquete seguro seguira comiendo ""asesor""",negativo
"morado, mejores cuadros? cuadros cocina?",positivo
"parece conchudos formaron parte peor congreso historia, lancen reserva moral, creen solo pueden postular? decencia deberian retirarse politica toda generacion corrupta politicos!",negativo
solo oportunista convenido personaje,negativo
"respeto procesos fechas periodo democracia interna designar invitados. candidaturas pepi patron, jose elice demas invitados, improcedentes, deberia cambiar. argumento clarisimo",negativo
"parece, cualquier argumento vale volver congreso",positivo
dice. amen. padre siempre dijo habia peor cosa discutir mujer. pienso tenia razon. felicidades.,positivo
total? apoyaba cierre congreso? 🤦🏻‍♂️🤦🏻‍♂️🤦🏻‍♂️🤦🏻‍♂️🤦🏻‍♂️🤦🏻‍♂️🤦🏻‍♂️🤦🏻‍♂️,positivo
jajaja,positivo
recontra seguro,negativo
"ideales conviccion, padre transfuguismo, cuantos partidos participado, vida politica lleno corrupcion pasando toledo ahora, goza ahora pronto caeras...",negativo
"medias tintas. seguimos asi, significa aprendido desastre kongrezoo anterior. menos resigno volver caos. romper corrupcion procesos.",negativo
¿que paso?,positivo
votare independientemente partido encuentren. peru partidos serios menos confiables. solo queda votar politicos demostrado hechos velar intereses ciudadania.,negativo
dime partido politico postulantes cuestionados,positivo
deberian paso costado,negativo
caso votar ningun fujimorisga votar ningun aprista tener cuidado topos fujiapristas desgracia peru peru primero.,positivo
"asi. votas uno, votas partido. excongresistas corruptos regiones lima.",positivo
segura,negativo
votar votar partido lleva hacerlo junto personas sentencias! espero sinceramente rpta...,negativo
ahhhhh??? aburrido comentarios quejandose despues aceptaron candidaturas.,negativo
decir?,positivo
improcedente candidatura señor.,positivo
ahora quedaron mamadera buscar trabajo alternativa decente podrian explorar,negativo
oficial,positivo
"🚨ultimo❗️❗️❗️🚨 declara improcedente🚫candidatura elice #elecciones2020 jee: declara inadmisible solicitud lista candidatos 🟣,reportaje completo:",positivo
oficial,positivo
"belaunde gino costa quedaron eleccion quedaron improcedentes, decir puede subsanar, sido inadmisible ahis podido subsanar, quedaron elecciones",negativo
"procreamos constituir familia. procreas genio? adopcion, aqui video dummies (millie fontana representa niños hijos lgtbi adopcion monoparental, vientre alquiler)",positivo
procrear sinonimo familia favor...,positivo
"familia. mujeres procrean. niño souvenir, derecho padre madre",positivo
votando lista,positivo
transparencia trata financian moraditos (los cargadores andas cristo pachacamilla,positivo
"todas maneras, bien merecen lugar.",positivo
belaunde mismo supuesto.,negativo
"perdiendo tiempo, solo anti gran deficiencia intelectual",negativo
congreso anterior sentencia alimentos dejaron pasar escudandose inmunidad.,negativo
"estariamos cayendo mismo criticamos congreso anterior renegamos escudaban inmunidad, necesitamos cambiar chip, quieren voto entonces hagan mejores filtros.",negativo
¿las reglas establecidas regla inventada camino?,positivo
¿opiniones?,positivo
"moraditos seran aliados golpistas voten ellos, votemos coalicion vaque golpista llame elecciones generales. estan avisados",negativo
"devoto co...a acustica. paso, solo sabe vivir",negativo
congresista republica existe...ahora miembros comision permanente.,negativo
ustedes ventana hacia partido morado. algun seguimos?,negativo
"hola lourdes, partidos politicos llevan candidatos antecedentes negativos votar queda otra. #confioenellos",positivo
"gino costa pueda postular verdad mala noticia... pensaba votar belaunde el... espero solo pueda subsanar tema... cuentanos puede suceder caso, plis... gracias info",negativo
"iluso, sacrificsron? oportunismo politico cuidar bolsillos, espero nadie vote ellos.",negativo
atencion ustedes sabian esto? queremos limpieza nuevos integrantes congreso puede pasar.,positivo
"pregona falacia dinosaurios personas cuestionadas lista, quieren finacia? nadie sabe molusco pregonar corrupcion",negativo
"gino costa imploro asociaciones personal militar policial retiro apoyo, juro lucharia equivalencias pensiones reivindicacion. dimos voto, embargo traiciono jamas apoyo nada, contrario votaba contra.",positivo
escandalo decepcion. decir??,positivo
entender concepto familia ampliado. decir mujeres familia,positivo
"""trabajaste"" gobiernos corruptos dices ¿acabar blindaje corruptos? disculpa, verguenza...por decirte mereces.",negativo
"patricia, seria recomendable siguiente entrevista sacar propias conclusiones:",negativo
cierto siempre mentirosas solo siguen miembros comision permanentes debieron renunciar enviar dicho cargo hicieron querer pasarse vivas salio tiro culata,negativo
