full_text,sentiment
bien! exitos!,positivo
"pobre estupido,,,,, barbarie ustedes malditos hacen,,, desgraciados,,",positivo
traicionan peru! avalando fraude concurso junta nacional justicia corrupcion? esperan consuma fraude solo interesa votos? ¿prensa periodistas analfabetos? concurso publico dejaron expulsar prueba conocimientos?,negativo
hora. necesitamos obras pais. empresas empresarios honestos. ladrones,positivo
"sola palabrita, sinverguenzas.",negativo
beteta? violeta? jajajajajjaja jajajajajajajajaj debe chiste,negativo
solo falta lacras vayan,negativo
recepcionistas.,positivo
alegres residuos escoria inmunda congresal,positivo
dejen limpio salir. dejar tirados papeles recogerlos costo.,negativo
"lastima tener solo peones politica lacras descaradamente dicen apoyaran peruanos comprado.""recuperemoselperu"".",negativo
"partidos recibieron aportes,hasta candidatos proterrucos fiscales peones dictador-corrupto vizcarra solo ataca fujimorismo",negativo
inutiles,positivo
bancarizan fondos lavanderias,positivo
activacion obras publicas??? tiempo congreso hecho hacer ahora parlamentarios,negativo
"disuelto? carajo haces twittiando? viaje limpia casa, algo, deja grupo impotentes la.sigan vagando solos. congreso casa.",positivo
judas ahora toman foto tarde saben pudieran aalzarian manos zanganos corruptos,positivo
solo congresistas peruanos consecuentes arana gino costa demas deberian borrarse sinverguenzas,negativo
gino costa arana. saben esas🐀🐀 presupuestos sale gratis ongs.,negativo
"gino costa arana,",negativo
"opinion valor, puras.",positivo
...y despues que?,negativo
coimisiones dira!!,positivo
"podemos permitir hagan daño nacido,",negativo
rien?,positivo
solo marco arana gino costa .estarian calificados.los demas solo saben rebuznar.,negativo
ardua tarea. investigando corrupcion ejecutivo.,positivo
congreso todavia,positivo
"trabajen sarta parasitos,",positivo
tramite encargado hacer util hecho años,positivo
nadie mas? hay? triste,negativo
mesa partes!!!! jajaja,negativo
arrogantes... quieren figurar trabajaran??? nadie bola...,negativo
mañana mismo cerrare cuenta,positivo
votaron burros,positivo
mesa partes cara historia.,negativo
señor marco arana sonriente colegas.,positivo
"quieren hacer acciones diferentes funciones, deberian investigar aportes credicorp fp...",negativo
"miserables pueden poner traba investigacion, beneficio socios. aplausos recua impopular.",negativo
entiendo hace alli felon costa destructor economia rojo araña,negativo
jajaja jajajaja,positivo
"pueden derogar nadar hacer mesa trabajo payasada, despues disueltos solo mesa partes poder decision accion",negativo
"menos hagan bueno queda, ejemplo derogar porqueria eventos deportivos instrumentos banderolas matan sarta convenidos.",positivo
puro payasosossosssss pavos,positivo
🤣🤣🤣🤣🤣,positivo
club construccion!!!!,positivo
"obras judicializadas pueden reiniciarse, solo orden",negativo
disolvieron congreso?,positivo
rien babosos?!...,positivo
conjunto ratas deficientes kongresista,positivo
engañar pueblo estan trabajando derecho sueldazo gratificacion estarian trabajando intereses privados,positivo
vaya estan felices sonrientes beteta,positivo
"hace trepador caviar gino costa comision trepa todo,",negativo
se... impresion contentos agarran #grati navidad,positivo
"vagos tiempo vienen instalando comisiones, mejor hagan instalaciones electricas congreso, paga??",negativo
figuretis,positivo
hace karina beteta ahi? mejores opciones? lamentable,negativo
asco,positivo
ratas ninguno debe seguir,negativo
rico webeo,positivo
mismas caras. lastima latinoamerica corrupcion,positivo
mejor chiste navideño.,positivo
menos fotos... callados hagan 'trabajo'.,negativo
plata campaña oficialismo,positivo
"entiendan informe validez, solo guardelos luego dejen limpio oficina.",negativo
"mejor entretienen jugando ludo viendo enero 2020 obligacion mandato constitucional entregar decretos urgencia pdte nuevo congreso 2020, unico encargado aprobarlos rechazarlos",positivo
"perro, gato, pericote...",positivo
"saben analisis gente, gastar asesores menos hagan entender trata dicho decreto",positivo
"seguiran paralizadas, gobierno incompetente",positivo
payasos comen fondos publicos producen¡quien consciente?...,negativo
