full_text,sentiment
haga caso,negativo
"piensan/enfocan adulto; practicamente enraizado personalidad, diversos tipos violencia ¿niños entienden marchas? prioridad, enfocarse/invertir mensajes escuelas: niños adolescentes; nuevas generaciones, nueva sociedad.",negativo
"gestionar: estado, canal actores, videos casos niveles primaria, niveles secundaria), colegios, presentacion maestros-psicologo, trabajo escrito exposicion compresion alumnos. armar, mejorar idea/sugerencia. excluyan colores morados (labios); violencia.",positivo
"buenas noches, discrepo usted señora beatriz. persona llegue cargo importante, alcanza lugar cualidades intelectuales excelente trayectoria. solo resaltar mujer dicho cargo quita importancia esfuerzo puesto.",negativo
🙏🙏🙏🙏🙏,positivo
buena noche oxenford tuitee respecto hace momento ojala hagan,positivo
sensata decision lima centro archivar investigacion haber sido ciudadanos decir miembros congreso disuelto deben presentes elecciones 2020 2021. ¡por peru!,negativo
#violenciadisfrazadadeamor,positivo
"masculinidades democraticas tambien dando nauta, capital provincia loreto.",positivo
"#loreto. hombres igualdad nauta. noche especial alumnos ceba🚶 trabajando masculinidades democraticas, ganamos somoslos hombres entender igualdad derechos oportunidades",positivo
#loreto. emprendimiento economico charla jorge arevalo “ideas 🙋negocios emprendimiento” usuarias estrategia empoderamiento socio economico cetpro hpi🤝 #ese-loreto #vamos mas!!!,positivo
loreto. #cem putumayo suma campaña “violencia disfrazadas amor” #violenciadisfrazadadeamor,positivo
loreto. #cem ucayali 🚶🏃hacia feria informativa marco campaña violencia disfrazada amor.. equipo ucayali. #violenciadisfrazadadeamor,positivo
"bonito gasten plata tipo eventos serviria misma plata seconvoque concursos ideas, aplicaciones, programas realmente sirvan praxis prevenir casos violencia, acoso discriminacion. ¿para hackaton algo?",positivo
#loreto. mimp-pncvfs-icllos- belen distrito belen conformacion distrital facilitadoras agentes comunitarios redifaac) #violenciadisfrazadadeamor,positivo
ridicula pataleta...,positivo
envidioso jorgito deja curul perruno.,negativo
"acaso existe entidad regule cosas? enfermo sexual calle, pasa? quieren dañar poblacion?",positivo
nuevas generaciones seran cambio!!!,negativo
mandiles rosados? parece flor dia.,negativo
"lees, alla, entonces respondes asi. dire respuesta bien cojuda, recontra cojuda. ahora bais contigo siempre.",positivo
punto informativo huacho asumimos compromiso sumamos campaña #violenciadisfrazadadeamor! ministerio mujer poblaciones vulnerables peru.,positivo
"lambayeque comisaria olmos realizo festival artistico ""violencia disfrazada amor"". conto participacion estudiantes distintas distrito usuarias canto, baile, poemas discursos",positivo
perrocracia pasa. bien jne. jorgito super contento.,positivo
#centrum #pucp años experiencia docencia nivel; audiencia- sugerirle lleve directament padres familia padres hacen todas sugerencias tnen educarse sanar primero,positivo
"ministra tipo candidato perfecto cadena perpetua, miguel angel aquije dueño ""emolienteria bar"" 2017 tenia denuncias maltrato mujeres.",positivo
"crees respuesta (mejor pongo adjetivo) lanzan esta. sabias aborto quieren eso? quieren nazca niño niña, sencillo...",positivo
"""nuestro compromiso refleja aprobacion politica igualdad genero, amplio presupuesto eliminar violencia, articulacion sectores, fortalecimiento servicios atencion prevencion"" expreso #violenciadisfrazadadeamor",positivo
provida? pues adopta hazte cargo. chau.,positivo
huelga nota siempre estan vacaciones.,negativo
"deberia hacer algun nuevo congresista importe mujeres propongan leyes favor nosotras, protegidas comenzando cadena perpetua feminicidas. mandarlos yanamayo cumplir condena.",negativo
aclaracion coimafiep,positivo
odio?,positivo
colmo dionisio dono carpa colchon ocioso mark.,positivo
"#violenciadisfrazadadeamor campaña realizo participacion ministra titular #midis, ariela luna, ademas ministras sectores.",positivo
"""¡es momento vivir igualdad! trabajar prevencion actos #violenciadisfrazadadeamor"", identifica señales alerta",positivo
#violenciadisfrazadadeamor,positivo
ponte #modoniñez,positivo
#violenciadisfrazadadeamor solas. ¡basta violencia hacia mujeres!,negativo
vivo| titular participa actividad internacional eliminacion violencia mujer #tvperuinforma,positivo
gracias dionisio cade cambia cague.,negativo
borracho quiere prision cantina.,negativo
hagas c...o tres años mayoria absoluta congreso.,negativo
manejo finanzas dijo bien claro,positivo
perro invitado apra queda,positivo
zacapa juega fuego. jefe campaña 2016.,positivo
dionisio regalo millones verdes. problema?. jorgito cinico.,positivo
solo funcionan recomendaciones zulema,negativo
"claro transparente. abogado dionisio transparente, diafano.",positivo
"concuerdo destacar excelencia. discrepo solo mujer ambito historicamente masculino suficiente saludo, mensaje alli centro comentario: mujeres tema representacion.",negativo
"agradeceriamos tambien evaluen sicologicamente, estan expuestos traumas strees trabajo.",positivo
