full_text,sentiment
"viene cana grande, chapa biblia!!😱",positivo
"ganapan, borracho golpeador mujeres ancianas, miserable",positivo
comente twuit publico hace tiempo... porfavor necesitamos lomas visibles!!!!,negativo
jajaja felizmente tarjeta solo mama haga transferencia hermana solo recibir plata jajaj,negativo
saben votar. nunca ocurrido pensar gente rindiendo homenaje terrucos destruyeron peru. sorprenden sres. diran piensas #terrorismonuncamas,negativo
pueblo pidio cierre congreso gente etc. felices volverlos congreso defendiendo intereses pueblo honesto.,negativo
"verdad mayoria rostros distintos. experiencia alli radica poder apra. reeleccion menos balancea eso. ejemplo, podra investigar mulder algun delito dentro funciones.",negativo
pasamos tema. electores. ¡que estres! ¡que depresivo todo! siempre regresamos mismo congreso.,negativo
ahora creo necesitamos experiencia permite saber cusndo traban patean proyectos negociar mesa directiva. ¿por crees mulder apristas poder? respuesta experiencia. enfrentar esos.,negativo
vacios pueden llenar promoviendo otros. bacan habria sido morados consulten alberto podria recomendar.,positivo
"reconstruirte, reconfigurarte... tiempo. puede cambiar paso iberico. creo serviran importante: resto agarren lornas. importante.",negativo
"entiendo dificil construir partido. sabemos crisis agrupaciones. critica rapidez cambio partido otro. puedes cambiar lentamente, tome tiempo.",positivo
"cosa triste debes aprender politica henry pease dijo charlas interpartidarias: vacios llenan. ahora, puede llevar moraditos (que nocivos, elecciones) organizaciones criminales.",negativo
"digo: nomas. critico politologos idea vida partidaria, intereses juegan posiciones enfrentan. comenzar, puede hacer carrera politica agrupacion politica? falta partidos,",positivo
estan guardando 2026.,positivo
mejor banco paraiso,negativo
parece tratan generar panico financiero? penado.,positivo
libre mercado poder elegir!,positivo
latinoamerica necesita #masigualdad #democracia #libertad menos #corrupcion,positivo
hare caso usted señor seguire 🥰❤️❤️,negativo
experiencia peruana gestion documental/peruvian experience document management👉🏾,positivo
"interesante ahora bancos ""son mejores"" muajajajajjaja uhmmm..... 🤷‍♂️",negativo
bajo colchon,negativo
"mismo 2016, tal?",negativo
"claro broma, pueblo preocupacion...",positivo
hagan planes peru manos vizcarra caviarada tendran plata mover comer,negativo
cada parezca plata burro,negativo
"propuesta seria ""cachetada""",positivo
