full_text,sentiment
¡demostracion grandisima hipocresia “lider” comunista castro!,positivo
¡asi comunistas quieren gobernarnos!,positivo
peru 90's,positivo
basura moral roja accion!,positivo
¡esta voluntad pueblo! ¿que alegaran ahora apoyadores corruptisimo tirano maduro?,positivo
escuche ninguno rojos denunciar corrupcion “indigena”,positivo
rojos peruanos comeran lengua #terrorismonuncamas,positivo
¡tiranos rojos hambreadores nunca mas!,negativo
jajajajaja buenisimo hdp. jajajajajajajajajaja 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣.,positivo
¡nunca mejor descritos!,positivo
"fusilamiento cobarde camacho, vendepatria messa, kaliman añez; alta traicion genocidio.",positivo
"preocupados muertes bolivia, cuenta aqui peruanos muriendo desidia gobierno madre dios.",positivo
familia muriese accidente transito seria izquierda culpable?,positivo
fascismo puro.,positivo
eeuu cosas importantes hacer,negativo
#derechafascista #derechaterrorista #derechagolpista #derechagenocida #matenatodoslosterroristasneoliberales #matenatodoslosterroristasyneoconservadores #guerratotalcontraladictadurafascistaneoliberalboliviana #loqueocultanlosmediosdederecha,positivo
viejo imbecil,positivo
"eeuu debe desaparecer siempre, politica intervencionista genocida, aprovechada grupos economicos bolivia, cara visible maton camacho, extranjero juventud cruceñista",positivo
capitan america increible hulk thanos mando rayo electromagnetico cortarle venezuela,positivo
bien muertos saqueadores pagados cubano,positivo
vivan siempre gloria hermano bolivianos,negativo
"debe ""fraude"" electoral.",negativo
infiltrados azuzadores venezolanos bueno bolivia romperse relaciones pais llanero.,positivo
acaban morir personas accidente interprovincial. ¿tambien culpa ee.uu?,negativo
"anda escribir estupides lado, pueblo dijo referendum tercamente insistio resultado.",positivo
demanda amparo pruebas absolutas comision especial acredito graves delitos exijan cumplan deber pidan carcel pretenden fraude capturar jnj. aqui delitos perpetran miembros,positivo
demanda amparo pruebas absolutas comision especial acredito graves delitos exijan cumplan deber pidan carcel pretenden fraude capturar jnj. aqui delitos perpetran miembros,positivo
"informa pcm, oefa comprometido viajar zona proximos dias",positivo
