full_text,sentiment
"asco, mierdas deberian expulsados pais, cambio quieren reformarlo voluntad.",negativo
"pobre niña, mira asustadas locas gritando.",positivo
bolivia,positivo
muestra degeneracion humana peruana,positivo
"unico necesita triunfe hombres buenos hagan nada."" hora cortemos sistema corrupto malos empresarios compraban politicos corruptos tener privilegios.y premiaba empresario competia esfuerzo",positivo
peruanos luchar grupete cortuptos. nueva constitucion. libre competencia convirtieron pillerias mpnopolio premiaba eficiente sino coimeaba politicos corruptos defiendan privilegios,positivo
asco...,positivo
"llegan nivel animales, menos cuidan hijos...",negativo
"""feministas"" mismas mexico causaron destrozos ultima marcha? exactamente mismo modus operandi. primero argentina, chile mexico... ahora peru. saquenlas patadas!!!",negativo
"¿porque encarcelo actos pudor ??,ahi niños",positivo
pensemos dinero desarrollo hacer carreteras agua hospitales sacar impuestos ganan resulta pagan autoridad coimean autoridades quede llaman economia mercado,positivo
"poder mujer demuestra quitandose ropa,gritando disfrazandose halloween menores edad lavan cerebro",positivo
desorientadas mujeres utilizadas politicamente activistas asalariadas ongs comunistas aprovechar promocionar pintoresco movimiento politico inscrito habilitado siquiera elecciones apafa. #femimarxismo,positivo
monlaferte peruanos asco,positivo
lgtb,positivo
😂😂🤣🤣🤣,positivo
parece aullan animales? pura,negativo
piensan compartie algo? creo no..,negativo
mujeres?,positivo
molesta tetas operar...,positivo
"molestia tetas, sino ambiente, pienso niños deben ambiente juegos cosas edad. demas manifestantes desean pueden salir desnuedas, rollo) finalmente derecho manifestarnos publicamente.",negativo
mostraron gustaran nadie.,positivo
chile izquierda igual peor rancia.,negativo
tetas genitales aweonao,positivo
"dañados. perturbados. niñas niños sanarlos, debemos salvarlos",negativo
tambien falto ahi.,negativo
callate machiloco,positivo
dice alguien foto perfil kvivigtdg penoso,negativo
mira importa,positivo
igual fotos,negativo
preguntale hombres,positivo
cerdo depravado,positivo
siiii!!!! yay!!!,positivo
hecho ningun cambio caso,negativo
falto enferma monserrat bustamante ademas rayen araya,positivo
tetas cine terror,positivo
horribles tetas comunistas,positivo
