full_text,sentiment
familia hace sentir amados protegidos.,negativo
olvides decir tambien rata rara santana aposento alto,positivo
familia fuerza,positivo
"diria, poder manipulacion dinero.",positivo
cuarto joder sera.,positivo
"poder palabra pedir dinero, todas religiones mundo buscan pregonar palabra seguir ejemplo jesus, busca igual politicos, intereses grupo poder.",positivo
"representado partido cuestionado mire, sonreir, daria verguenza ajena sumarme grupo delicuentes llevado caos economico.",positivo
gracias,positivo
pare $ufrir,negativo
"papi, gracias.",positivo
peru pais laico verguenza dejar evangelicos entrar politica ideas hace milenios sobretodo peor entrar fuerza pelear 🤦🏻‍♂️🤦🏻‍♂️🤦🏻‍♂️,positivo
poder robar gente sera,negativo
"diria, poder palabra",positivo
100% seguro maletear.,negativo
lanza apuesta,positivo
"tema debe quedar lado agenda futuros congresistas educacion. proyecto #educacionporimpuestos trabajado congreso pasado. iniciativa gasto,y potenciaba participacion empresa favor educacion.",negativo
rrata.,positivo
asco ustedes iglesias curas pedofilos violadores,negativo
quiere pasar situacion embarazo olbigarla hacerlo abuso,negativo
protesta masacre hermanos bolivianos?,positivo
imagino nadie sigue...,positivo
"delito hace forma clandestina, eso, delitos, ademas, hacen protectoras mujeres ustedes venden misoprostol, ayuda contencion pueda vivir niño nacer #salvemoslasdosvidas💙",positivo
"tantas mujeres abortan peligrosas condiciones cada causa clandestinidad condenadas. destino aquellas mujeres silenciado. consecuencia declaro formar parte ellas, declaro haber abortado. #abortolegalya #basta",negativo
mexico enviamos cariño apoyo amigo #aliadovstrata,positivo
"obstruccionista moralista eres, preguntado dueña señora hizo 3’650,000 dolares???",positivo
salio cloaca fuerza popular!,positivo
"excelente trabajo!!👏🏼📌el pl2634/2017-cr, (tambien autoria) propone velar libre competencia mercados eficiencia economica, proteger consumidores, sido gran contribucion #fusiones",positivo
hola! ¿cual definicion familia?,positivo
"hermano, ¿con plata oligarca financiaran elecciones 2020?",positivo
"suena bonito dice creeria sino informada delos planes genero enlatinoamerica mundo,qbajo lafachada lucha contrala violencia ydiscriminacion lamujer..han introducido muybien ideologia desdelas escuelas, hipersexualisan niños",negativo
"recien sera implementado aqui meses, supone ejecucion inmediata? #vizcarraincapaz",negativo
"proyecto educativo nacional, positivo pais, particular menos favorecidos acuden escuelas publicas. mienta, ideologia genero existe. existe sector educacion enfoque genero promueve igualdad genero derechos mujer!!",negativo
loca ministra! marido tambien metido laideologia genero!,negativo
"respeto futuros congresistas vida familia ""ten cuidado mismo, doctrina, persiste ello, pues haciendo salvaras mismo oyeren"" timoteo 4:16",positivo
numero usted?,negativo
apoyo varon cristo.,positivo
keiko presidenta 2021!!!!,positivo
"excelente, seguimos lucha, ideologia genero!",negativo
"afan descalificar candidatos, republica"" hace gran favor causa vida familia.",positivo
"hecho habra nueva generacion, arimborgos, valgan pena comision educacion. felizmente. cuidado fanatic quieren seguir poniendoles cabe educacion",negativo
demorar hacer huelga medicos. sarten mango.,positivo
