full_text,sentiment
"apristitas dignos viudas mega corrupto narcoindultador compulsivo cobarde, loco odebrech.",positivo
"sumale antero florez, aldo mareategui javiervillastein",positivo
"llego hora, ahora estaran temblando piernas",negativo
viene noche,positivo
"mega corrupto, mega delincuente, mega cobarde. muestra desprecio dejado apristitas mega conchudazos deberan rendir cuentas justicia peru",positivo
bien arrepintio candidatura. sintio rechazo electores paso atras.,positivo
"bueno mayoria recibido dinero bajo misma modalidad. ppk, seguro mas.",positivo
fujiapristas alcantarilla,positivo
apristitas sinonimo cutra cobardia.,positivo
sipan tranquilo llegar hora codinomes aunq tambien metido notas norte,negativo
😁😁😁😁😁😁😁😁😁,positivo
jajajajajaja..ladron,positivo
aprista ladron..,positivo
fujiapristas alcantarilla,positivo
"fujiapristas alcantarilla, nadie quiere cerca",negativo
dijo cierto. fujiapristas alcantarilla nunca mas!!,positivo
"señora debe purgar carcel perpetua, daño hecho peru fujiapristas alcantarilla",negativo
"ahora porq querian bajar alimentacion saludable, malditos fujiapristas mando ....",negativo
deben alejarse delincuentes alanistas ayayeros desaparecer imagen panzon ladron,positivo
"tarde! misma cochinada fregaron peru, ahora haran desfilar paso polka 👩🏻‍⚖️",negativo
debe nieto,negativo
"apristitas quieren soltar teta impunidad dinero facil. vagos, viudas mega corrupto alan garcia.",positivo
terrorismo enquistado azucarera lambayecana policia hace oidos sordos opinan,positivo
"apristitas sinonimo cutra cobardia. viudos mega corrupto loco odebrech, loco petroaudios, loco narcoindultos.",positivo
"primero deberan pasar retiro cupula actual,lease abranle dirigentes bases,veras años vuelven tener fuerza 80’,",negativo
"fujiapristas alcantarilla, creen cojudos",negativo
fujiapristas alcantarilla nunca,negativo
renovacion todavia entra pulpin comienza estafando legado? cagaste capitan maricielo mejor retirate seguir hablando estupideces debe denunciar,negativo
"apra tenia intelectuales ahora puros idiotas, puro idiotas leido coquito",positivo
fujiapristas alcantarilla,positivo
fujiapristas alcantarilla,positivo
