full_text,sentiment
floro; mundo dice mismo.,negativo
unica revolucion busca dejar esta.,negativo
flash mundial quisieron ordenarme sacar fotos videos descritora erotica quisieron prohibir propuesta apoyo gays prostitutas dije respeto exijo respeto libertad expresion medioevo borrar esencia puntera,positivo
"chistoso, partido chupes.",positivo
"periodo 2016 2019 hemis ejecutivo. decidio prescindir bancada vizcarra tambien. periodo 2016 2019 mayoria congresistas invitados, ahora partido, inscritos trayectoria partido.",negativo
verguenza cambien rumbo cada momento. cada parecen transformer,negativo
"parece partido partido pedacitos pequenos! cancelen mejor participacion ridiculo, tiempo meditar cambiar rubro, venta humo solo funciona guaripoleros",negativo
fueeeera,positivo
"pues epoca parlamentarios tambien tenian ejecutivo, ahora ejecutivo, entonces pueden ofrecer alcance manos? mucha coherencia.",positivo
diferentes candidatos ideas...ademas parlamento tampoco ejecutivo.,negativo
sinverguenzas. saben mayoeias quieren revolucion usan. salidos solo significa corrupcion impunidad!,negativo
"serio? #castrochavismovizcarrista? sea, coherentes pues, torpes, hazte favor cierra tuiter vengan periodistas declares diles afonico.",positivo
seguira defendiendo indefendible?,positivo
"bueno poder podemos decir monopolio, candidatos partido, solo lobby pues general lista candidatos promotores impedir tipo accion, ahora puede creer?",negativo
obstruccionismo fujimorismo principio congresistas partido #contigo sido obstruccionistas blindado corruptos chavarry hinostroza. juan sheput congresista presento acusacion chavarry,positivo
significa voluntad hacer cosas correctamente congreso anterior aliaron fujimorismo.,positivo
revolucion robo?,positivo
"recuerdo candidatos mayores promotores pase, ahora podria creer? llevan años discurso eleccion hora hora salen mismo, heresi",negativo
abuela sera ¡¡¡¡,negativo
"actitudes definen persona, partido politico. demostraron actitud. eso, votara ustedes.",positivo
"monopsonio estructura mercado existe unico demandante comprador, mientras pueden existir varios oferentes. requiere reforma salud urgente reglas claras mercados, medicamentos competitivos",negativo
existe monopolio afps industria farmaceutica. pueden crear leyes abran mercado fomenten competencia. medicinas genericas hechas india pakistan pueden competir mercado peruano abaratar medicinas.,positivo
"""contigo"" nombre arrancado frase ahora ""revolucion"" atraer disconformes incautos... tramposos!!👎👎👎",negativo
¡estos pasaron frescos!,negativo
representantes participantes activos apoyar corrupcion. merece seguir partido politico.,positivo
opiniones monopolio farmacias,positivo
revolucion imbeciles jajaha miwrda,positivo
"#larevoluciones cambio, reforma leyes beneficien ciudadano. crear leyes sirvan mejorar condiciones laborales, mejor calidad educativa sistema salud pensiones permitan vivir dignamente.",negativo
rctmre,positivo
¿revolucion? consiste? expliquen,positivo
"#larevoluciones cambiar, modificar, reformar leyes beneficien ciudadano. #larevoluciones seguridad, mejor educacion, sistema salud pensiones permitan poblacion vivir dignamente sentirse seguro poder salir calle.",negativo
"llorones abra ocurrido nombre partido ""contigo"", huyyyy slogan bcp?",positivo
xddddd #verguenzaajena,positivo
"cojudeces publican, estan perdidos huevo ceviche.",negativo
jajajajajajaja pisaron fondo sarta ineptos!!!,positivo
revolucionar partido mierda desaparecer santiamen.,positivo
"sido revolucionario, sido genocidio.",negativo
😂😂😂😂😂😂😂😂😂😂😂😂😂😂,positivo
😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,positivo
ustedes realmente kontigo esquina) señora heresi; sheput; gilbert violeta (naranja) sido huelepedos fujiaprismo. q.e.p.d.,negativo
disolver disolver contigo.,positivo
pena.... sido revolucionario.,negativo
"puede castigar homosexualidad. delito. derecho vida llevar vida sexual mejor parezca. existe libertad sexual peru, partido contigo respeta todas libertades.",positivo
"pena muerte peru aplica solo casos traicion patria. proponer pena muerte violadores narcotrafocantes seria demagogico. forma, menos salgamos corte jose.",negativo
pueden proponer darle pena muerte pasteleros homosexuales? seria revolucionario.!,positivo
ridiculos satelites fujiapristas. traidores. contigo esquina,positivo
revolucijajajaaaaa🤣🤣 anda revolucionenme rabo😉🤣putosmafiosillos,positivo
revolucion!!??? plop,positivo
"indeseables heresi compañia tratando tomar ventaja exito pelicula revolucion tierra"". ¿alguien puede creer corruptos contigo sepan siquiera termino revolucion?",positivo
revolucion rojete mierda.,positivo
videoclip heresi haciendo ridiculo?,positivo
jajajajjajajajajjajajajajaj,positivo
fiuraaaaa sarta topos.,positivo
"jaja revolucion? puro topo aliado, blindador obstruccionista! #fujiaprismonuncamas",positivo
"csm, llegue aqui",negativo
conmigo cagando.,positivo
coge diccionario deja quedar huevon,positivo
🤢🤢🤮🤮🤮🤮🤮🤮,positivo
🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮,positivo
"revolucion corrupcion, regresan fuerza, pendejos, cancheros, recargados... vayanse mierda, respeto merecen...",negativo
"vuelvo decirlo mas, violeta partido suficiente saber cuales seran intereses ustedes defenderan, lista menos importa equipo conforman ustedes garantias bueno",negativo
"jajaja igual, votar ustedes",negativo
jajajaja,positivo
#larevoluciones votar misma #corrupcion siempre? #odebrecht #lavajato,negativo
produccion kongresal cero aporte alguno cero dignos confianza leales bancada bueno llorones vendidos,positivo
sandra podrias explicarme revolucion hablan? pues entiendo esto. gracias,positivo
jajajakkaka,positivo
seguro imbecil colgandose documental.,negativo
m....!!,positivo
graciosos. menos buen humor partido.,positivo
jajajajajaja ridiculo #markvito huelga hambre.,positivo
jajaja revolucionarios? jajaja cuidado llaman terrucos.,positivo
"😂😂😂😂😂 bien conchudos no?... pasan tres ""felipudinis"". ""revolucion"" suena igual ridicula humala llama ""gesta"" caminata locumba... parecen mark vito ""huelga hambre""",positivo
sarta delincuentes .... paso,negativo
parasitos!!!,positivo
¿cual revolucion? querido revolucionar hecho congreso disuelto. increible crean frase solo palabra conquistaran votos rebeldes. ustedes sistema,negativo
encima traidora patria quiere infiltrarse tipo fujimierda!!! sinverguenzas!!!,negativo
mejor publicidad hora visto!! buenos publicistas todavia!! simple efectiva!! bien ustedes!!,positivo
"pudieron hacer tres años, ahora quieren hacer uno, mucha coherencia.",positivo
"entiende elige pueblo, puede postular derecho. lees constitucion troll",negativo
partido reubicado inefable sheput?,positivo
aqui! ¿contigo? mejor,positivo
wacala!!,positivo
"fuira aca, vainas votaria ustedes bien contrario, favor botaran congreso.",positivo
"guardala recuerdo, enero 2020 desapareceran mapa politico, pasen valla electoral.",negativo
