full_text,sentiment
ahora encontraron responsable culpar!!,negativo
denegatoria factica,positivo
disolvio congreso obstruccionista manera constitucional. basta.,positivo
"miente miente miente... miente... menos toledo mentia borracho, demagogo supero. empleos amiguis",negativo
“andale!!!”,positivo
acuerdo perfectamente ghilardi entusiasta ayayero,positivo
parte robo ratalan,positivo
ninguno pues. congreso sigue obstruyendo pues!!!,negativo
👏🏻👏🏻👏🏻👏🏻👏🏻,positivo
"dictadorcillo puro pla,bla bla.....y corrupciòn bla,bla,bla pensàndo bla,bla bla! pasado años seguira años restate, dictadorcillo nulidad.",negativo
pinocho nariz tanta mentira crecera,negativo
cero impunidad #colombia presidente anuncia hara respetar procesara revoltosos. osea #chile #caviares,positivo
jajajajajajajajajaja circo!,positivo
años? puras leyes cojudas.,positivo
incomoda periodista. todas entrevistas difunto preguntas fonologicamemte suavecita. profesionalismos. despues queja gente ordenes,positivo
"cero hospitales, cero colegios",positivo
"jajajaja, buena broma",positivo
creer ncapaz,negativo
ametido mala,negativo
estan sueños,positivo
won..!!,positivo
"cero cero,nada puro cuento.",positivo
quemado!!!,positivo
quisiera verlo lugar señor vizcarra,negativo
🤣🧐🤣🧐🤣🧐😂🤣,positivo
aprende rechuchatumadre.,positivo
pasmarote miente concha!!! incapaz cacaceno....🤮🤮🤮,positivo
propias contradicciones dejara carrera electoral,negativo
"jajajaja.......me ca..igo risa.....mil nuevos colegios......que buen chiste!!!!!.....ah, cierto.....y ahora obstruye construirlos?????",positivo
looking,positivo
"beneficio duda. cumple, boca muere pez.",negativo
jajaja risa falso piensa subestima gente cree estupida gente,negativo
"puedes creer eso, ahora congreso, sera excusa, tendra, incapaz gestion, realidad. pagaremos consecuencia.",negativo
"quiza incapaz cuente dentro mil, inaugurar, pintado paredes, renovacion comedor, verguenza gestion, congreso cerrado, fiscaliza?.",positivo
mismo tiempo ¿cuantos hospitales colegios ayacucho reconstruyo alan despues terremoto?,negativo
"presidente vizcarra, prometedor,definitivamente campeon. pareciera acompañan ponen condicion, ""poner trabajar quinta generacion"" hacen quedar mal, pesimo. sarta sinverguenzas. acaso sabe?",negativo
"jajajaja,sigue chiste vizcarra",positivo
sabia discapacitado capacitaba...,positivo
"cuanto jodieron año, congreso?",negativo
puro floro vizcarrata,positivo
lista 1000 colegios,positivo
esperaremos gobierno alan fujimori toledo ollanta. decepcion. deje terminar vizcarra,negativo
cero,positivo
🙋🏻‍♂️hay preguntarle,positivo
sigues picon disolvieron,negativo
pinocho queda chico,positivo
"sinverguenza impresentable corrupto incapaz dictador, punto finalizar 2019 colegio hospital, farsante, mentiroso dictador",positivo
estan?,positivo
calla mierda. tres años mafiosos fujiapristas obstaculizando desarrolo pais. quieres? mandraque?,negativo
"bueno cierto, tambien gobiernos regionales",positivo
"comprobar queda plan escrito promesa incumplida participacion realizar obras,solo labor fiscalizar,hacer leyes...",positivo
decrepitacion accion,positivo
jajajaja😆😆😆,positivo
