full_text,sentiment
comprar dejen escribir tonterias entonces diremos &amp; vizcarra jefecitos,negativo
"persecucion politica, justicia debe distinguir politicos siquiera ""dinastia fujimori"" creido intocable",negativo
vuelva nacer llega temprano reparticion cerebro.,negativo
"persecucion diras justicia,",positivo
"quieren? hace regalos quieran pruebas confesiones ""aliados"" ahora hablan",negativo
"keiko deberia indignarse rasgarse vestiduras glave, villaran, etc. crean, tibiecita politica.",negativo
"bueno, quieren ""taper"" quieren, quieren peru piden castigue ejemplarmente delitos cometidos disfrazar ""aportes campaña"" amañados!",positivo
creo ahora indiferente pueda suceder ella. poder perdio manera torpe,positivo
temen?? odian? mejor guardadita sapa!,positivo
"muerta vida, nervios.",positivo
jajajajajaa,positivo
"personal quiero odio menos temo tarde temprano justicia siempre llega, pagar delitos haga vive señora? hizo campaña? saca dinero educacion mantener familia? diezmos?",negativo
traduccion quiero..pero roche decirlo..mejor escribo plural,positivo
cuantos pelagatos???,negativo
"quieren bien presa quieren peruanos...y presa razones politicas, presa obstruccion justicia !!!...pedazos caca!!!!",positivo
queremos siiii pague pitufeadas jorgito hecho apruebas quieren,positivo
"nadie teme, odia, desprecia corrupta inutil, politica delincuente. quieren banda.",negativo
"favor! chistes fernando armas, dejen hacerse victimas, acaban cerrar congreso corrupto, blindador toda maña, vienen panfleto? favor!",positivo
"tocar, pronto caer.",positivo
tambien creemos persecucion...,negativo
quieres cenizo.,negativo
pendejo cabeza blanca,positivo
keiko libertad,positivo
