full_text,sentiment
increible,positivo
"caradura, fujiaprismo puso muchas trabas epoca ppk...tu sabes bien trabas caradepalo, ineficiencia ineptitud empiezan congreso gente calentando asiento asegurando bolsillo",positivo
cerrarae poder judicial,positivo
"topos,nunca tu...comorenderas.",positivo
jajajajajajajajaja tipejos risa,positivo
defendio toledo firmas falsas aliado fujimoristas aferrarse escaño congreso ahora dice sera distinto alla descerebrados !!!!,negativo
"haces carrera culpando vizcarra, pareces aprista hicieron carrera defendiendo megaladron",negativo
seguir viendo revista porno 😄😄😄😄,positivo
quiere dejar mamadera persona digna casa sabiendo pueblo quiere sinverguenza,negativo
dejas accion popular apra,negativo
jamas...!,positivo
gracias.,positivo
ud.tbm acomodarse hacer igual envidioso..bu sque trabajo..o solo quiere ganar nero raspandose aguajes siendo congresista ????,negativo
vizcarra incapaz.,positivo
sheput proyectos importantes propuesto tres años medio estubo congreso.,negativo
dios loco,positivo
"mistica puedes tener, acomodarse pueda, mistico, parece solo interes personal, hace tiempo dejaste tener futuro politico pensamos alguna vez...🙄🤔",negativo
ratas juntan.,negativo
"corrupto pretende ingresar nuevo congreso, claro viene cana",positivo
next,positivo
"¿esa pronuncia ""k""?",positivo
pobre sheput. mentiroso sinverguenza fujimoristas,positivo
paso,negativo
fin....!!! comentarios....!!! kkkkkkkkk kkkkkkkkk kkkkkkkkk kkkkkkkkk kkkkkkkkk kkkkkkkkk......,positivo
vete loco,positivo
partido lagrima..... puro prontuariado,positivo
ajajajjajajajajajaajja fujiapristas encaletados...,positivo
aprende rechuchatumadre.,positivo
"votar contigo, solidaridad nacional",positivo
"despues agrupacion politica, sera siguiente, politico, oportunista, peor todo, sirves despues despotricas regala curul cargo",negativo
#sinti,positivo
tener pudor.....,positivo
fuerza popular apra morado,positivo
recontra retuiteado,positivo
estimado ojala salgas elegido nunca,positivo
jajajaja camaleon,positivo
"gracias hacer conocer lista votar shepus,hersi impresentables.",negativo
solidaridad? contigo? repugnantes partidos,positivo
chismoso selectivo,positivo
voten.... mismo,negativo
identifiques digo,positivo
jajaja... sigue pensando sera nuevamente congresista. aterriza,negativo
traidor,positivo
panquecon piensa vamos votar,positivo
agradece linaje delincuencial,positivo
"cara jebe disuelto, ambre poder.",positivo
"gordo presidente, premier, ministro hizo millonario haciendo negocios empresas contrataban mientras funcionario?",negativo
correo paso,negativo
a.-para denuncien. b.-porque cobarde. c.-todas anteriores.,positivo
"ineptitud inicio ppk, congreso dejo gobernar, vizcarra mago soluciono problema raiz cerrando congreso empieza termina mal.",positivo
ciego quiere ver! hace ciego!,positivo
dictador cerrar poder judicial tambien,negativo
debias solidaridad nacional alli clan,positivo
shhh,positivo
considere digno quita meritos,positivo
¡lloron!,positivo
llama tener verguenza vete ctmr,negativo
corruptos blindadores mafia aliados transfugas,positivo
"explicaron, obras procesos judiciales paralizadas recursos presentados cautelares. entiendes?",negativo
dice topo fuji?,negativo
increiblemente despechado manito verguenza becerril.,positivo
serio?,positivo
"señora objetiva, señor peces gordos sabemos hizo solo deuda pendiente justicia hace años toco aceptelo justicia igual todos......",negativo
"valorar sheput heresy lamentable entendidos materia, sepan sujetos misma calaña fujimoristas.",positivo
quiere llenar barriga...,negativo
"verdad, lugares metida corrupcion mirntra problemas, trabad, retrazos cualquier tramite, plata corruptos habra.",positivo
viene cierre poder judicial,positivo
"cualquier pretexto bueno, querer tapar incapacidad.",positivo
jajajajaja,positivo
"¡no!, gracias.",positivo
"cambias milagros sabemos poder judicial toda corruptela retwui publicacion atacando presidente, honesto bueno",positivo
"facil pues, criticar negativo",positivo
"señor diario chisme completo favor, señores chismosos",positivo
"concuerdan importante educacion, lucha ello juan miramientos fijo presupuesto.",positivo
jajaja,positivo
"verdaderos peces gordos, podrias contar sabes miedo",negativo
patadas voto parasito,positivo
"lleno amargura. critica siempre negativa nunca constructiva. paso?. dieron queria?. ahora vuelve postular congreso seguir haciendo mismo: criticar, obstruir. #elpaisnolonecesita #elperuprimero",positivo
"conchan, apoyaste empresa.",positivo
dices contigo fujimori explicame sigues keiko kenyi fuerza popular twiter....,negativo
igual partido pasara valla electoral,negativo
"cierre!!!. jajaja, despues culpara sunat, disuelve, luego seguro social, disuelve, despues disuelve nuevo congreso. finalmente termina gestion.",negativo
"favorecio millones grandes empresas leyes perjudicaron pueblo, jueces, jsupremos, magistrados #cuellosblancos favoreciendo deben retrazando procesos judiciales, olvido?",negativo
entoncez pase cautelares? cometer delito? critica facil alguna propuesta coerente?,positivo
keiko= kontigo,positivo
despues tantas rabietas finalmente primero lista. pase siguiente.,negativo
"mejor preguntate mentira saldra keiko tapar tooodas aportaciones ocultas descubriendo ahora, manos votar personas comprometidas pais luchen corrupcion junto vizcarra #flamengo #finalcopalibertadores",negativo
"gracias saludo. gustado vayas candidato partido. peru necesita personas inteligentes capacitadas igual, exitos.",positivo
"camaleon politica desleal cucarda, agrupacion politica nace korrupcion enquistada congreso lleno impresentables lobbystas, creo ciudadano pueda votar partido pies cabeza",negativo
since buscate trabajo,positivo
paso!!,positivo
estara dictador vizcarra carcel,negativo
pasa,negativo
ojala salgas elegido. seria bueno dediques trabajar hacemos,positivo
pedalea nomas!!,positivo
joven!!!!,positivo
medidas cautelares abogado sabe eso!,positivo
jajajajaja pareja corrupcion..,positivo
"dicen taitas, puro verso",negativo
increible verlo llorar usted dias,negativo
mire like 🤢🤢🤢🤢,positivo
pura envidia,positivo
logo basico. paint,positivo
chibolo,positivo
increible estes carcel traidor..,positivo
mierdas hecho. quieres segir mamdera. incompetente mierda,positivo
hago aparte felicitarte jose antony postulacion congreso #contigo. joven hace años visto dedicacion partido fiel ideas espero sepan valorar referentes,negativo
ahora pues veremos lecaros bien puestos,positivo
deja llorar buscate trabajo,positivo
votara madre!,positivo
#yasabemosporquiennovotar,positivo
ratas aprofujimorismo.,negativo
casense!!,positivo
marca lagrima.....,positivo
jajajajajajajajajajaja,positivo
nica,positivo
saben deven elegir.,negativo
"lamentable hombre supuestamente educado letrado usted desinforme poblacion solo atraer voto cierto sector. usted sabe bien señor sheput referia señor presidente, prefiere aprovecharse ignorancia gente. lamentable",positivo
"buena mermelera claro mucha pena presidente, dilinquido responder justicia, acaso vejez sinonimo evadir justicia.",positivo
increible postules nuevamente.,positivo
