full_text,sentiment
"saludos estimado pobre diablo, sigue apoyando ignorantes discutiendo alguien conoce!!! jajaj clasica!!! toma taper...",positivo
"jajajajaja bueno dice distinguido caballero intelectual troll, gente inteligente dejo exhorto marcar escribir numero saludos.",negativo
debatir pobre diablo amiguito!! vaya debatir estan nivel intelectual,positivo
"dichos donadores📺institucionales, ayudarian transparentar💰lluvia millones ergo, 'pruebas' confirman🕳️lavado activos porque, todo😴los receptores🐾serian cutrerazos",positivo
"rochoso acoso🤖cojuridico dichos👻prefabricados llegaran👾tergiversados desmentidos ergo, ameritando🤬tan torpe🕳️hostigamiento ¡📺via, allanada 'ro$kza💩mediatik'",positivo
"vaya llorar keiko, dijo seguiria mismo infierno, bueno alli premio vividor traidor peru. saco cara corrupta patada igual fuerte patada dada vizcarra.",positivo
naranja tenias ser. punto,positivo
trabajas gobierno mejor comentes peruanos jodidos estafados,negativo
queda tiempo dejen congreso favor trabajen favor necesitados dejen criticar criticar.,positivo
😭😭😭👆🤣🤣🤣🤣,positivo
"cierto sra, aqui nadie pagar cada gota lagrima derramada tanta gente humilde, campesinos hmnos indigenas selva años corrupcion perdieron oportunidad tener mejor calidad vida",negativo
"escondete quitan piel,debe unico util tambien escondete",negativo
"multitud, gritando, jajajajajajajajajajaja",positivo
desinformada total...eso pasa solo googlear,negativo
"sera dios cipriani,",negativo
"tira saqueadores, ahora nuevamente quieren embarrar nuevo congreso presencia parasito vivir impuestos.",negativo
cuantas incubadoras pueden comprar 3.65 millones dromero,negativo
gino espero comision permanente impida postular voto familia saludos norte peru.,positivo
kakas...,positivo
beteta habra discurso ininteligibles solo entiende. serbia. seria interesante escucharla hablar ingles jajajaja,negativo
"sustento justificacion, congreso pago viajes?",positivo
"haces tontito ¿los comision permanente (ademas corruptos, vividores conchudos)?",negativo
verguenza congresistas mierda,positivo
congresistas? cuales?,positivo
"puede quedar asi, profesores deben denunciados espectorar ministra",negativo
salir jajajaja,negativo
huevos podridos fujiapristas!!!,positivo
korruptas ladronas,positivo
recupero cuenta.,positivo
hijos escriben cartas cierto! ...leerlo llorando moco tendido hacerlo publico? ..eso señora pecado mire mire...no publica niños hacen contrario respalda apoya privado! fin!! pobre familia!,positivo
soles pasajes miooo! seguro lacras viajan primera clase,negativo
deja gastar plata kongreso disuelto viajes kongresistas disueltos aparente viaje autorizado realizado cumple funciones presidente congreso,positivo
matado vizcarrata,positivo
