full_text,sentiment
gracias,positivo
gracias,positivo
"debio penalizar delincuentes hagan destrozos camuflen trago drogas instrumentos sea. hacer piensa, robar piensa bien",positivo
nunca entendere creo ley. pesimo sentido. pareciera carcel. prohiben todo.,negativo
ojala pudras carcel,positivo
pedimos exigir mas...su media neurona podia,positivo
"fustrado, lavese boca twiterear...boca buzon",positivo
daniel cuentas voto!!! porfavor deroga modifica luciana,positivo
puta mare maleado,negativo
porqueria leon. espero proximo congreso ponga agenda derogue,negativo
mira cagada hecho!!!!! paga vida tarde temprano.,positivo
usan peru... prenderse cochinada... desraticen barras hablamos,positivo
pobre imbecil sabe deporte; gente .....,negativo
espero cuenta puede amiga hincha quiere. limita cuidarlo meterle golpe huevas. espero pronto dejen lado corrupta podamos volver tener banderolas tribunas,negativo
"tremendo puede entrar gorris lentes, gracias rctm",negativo
denunciamos bloqueados parasito luciana leon,positivo
ratita... hija rataza!,positivo
"cosas mejorar habran siempre, evento armo dias. negativa banderas, gorras lentes cosas, solucion deroguen bendita madre enredo intragable",positivo
"llamados""hijos corrupcion""su etica totalmente tergiversada acto delincuencial justificado crecieron premisas gozaron dinero ilicito.y vienen nietos corrupcion",negativo
"robo, vaya incongruencia ordenamiento juridico pais....",positivo
debe derogar pronto absurdo,negativo
jodiste ocioso oficio hermano iguales papito sinverguenzas mantenidos porqueria politicos pario espectro casta politica,negativo
"ningun estadio mundo, prohiben banderolas. malestar hinchas nacionales ahora internacionales,",positivo
why? #copalibertadores2019,positivo
"pues municipalidades hacen quieren....y sabes vengas huevadas cojudo, fujimorista aprista futbol metes politica huevas,",negativo
ordenanza municipal nunca encima ley. dile jefa invente mejor terminara cana nivel argumentos.,negativo
"habla vivir pero... usted nadie usted cobro soles estado!!!... ¿que decir exijo responda aqui ahora. criticar, intachable.",negativo
volvio ineficacia apristas.gracias malograrla buena aprista,positivo
jajajaja habla alguien quedo entrada #finalcopalibertadores final pudo vivir euforia partido culpa inepta luciana. votemos personas comprometidas luchen corrupcion junto vizcarra. #flamengo #gabigol,positivo
"exacto, luciana leon solo interesan cosas, siempre tamalitos medio. elecciones, votemos personas comprometidas pais luchen corrupcion junto vizcarra. #finalcopalibertadores #flamengo",negativo
terminara cana tambien maldita,negativo
culpable espectaculos futbolisticos verdadera fiesta. tamalera corrupta,positivo
cabecilla #losintocablesediles alias “little luciana” delincuente (pronto prision) #libertadoresxfox #finalcopalibertadores #libertadoresenlima #flamengo #gabigol #monumental #peru #gloriaeterna #riverplate #river,positivo
"pobres diablos. metan golpe puedan seudo ""hinchas"" dejan familias puedan estadio.",positivo
cagon rcdtm,positivo
"disueltos dejan saquear estado, viajes?? igual viaje heresi eeuu entrevista jaime bayly decir pasear dinero.., disueltos dejan fregar..",negativo
dale gracias onagi policia solo acata.,negativo
estupida ley!,positivo
"nombrando oyarce ustedes tambien generalizan segun gonkas burlamos muerte oyarce generalizando desadaptado borro cerro, quedan mejor solo repudian persona justificarse",negativo
#estupidaleyestupidaluciana,positivo
"pendejos, obvio chaparon policias",positivo
gracias luciana amigo brasileño puede,positivo
generaste. verguenza.,positivo
descartan siempre,negativo
agradezcan congresista,positivo
cagadas leyes peruanas..todo caos. gracias,positivo
llooren siempre gallinas,negativo
fuerza kriminal keikobrecht ratapristas alianza aprofujimorista,positivo
ratapristas,positivo
luciana igual caer! junto demas delincuentes,positivo
ratapristas,positivo
pequeño cerebro solo pobre.,negativo
"buscado bien, matado fiesta #finalcopalibertadores votemos personas competentes elecciones trabajen equipo junto vizcarra lucha anticorrupcion #libertadoresenlima #anitta #tini",negativo
ahijada delincuente suicida,positivo
gracias mierda estadio gente puede entrar gorra lentes,negativo
