full_text,sentiment
"ahora pues piden informe gastos,",negativo
encuentra baloo ganas canasta navideña!!!!,negativo
"mientras tanto, podias cubrir estilo vida tenias diezmo quedabas ""chihuan"".",positivo
jajajajaja,positivo
todas preocupa,positivo
"jajajajaja arañandose comiendo mantequilla, desayunos ""chihuan"", mientras keiko familia comiendo caviar desayuno, almuerzo cena!!! pobre finalmente hizo honor apellido, quedo chihuan!!!",negativo
patetica,positivo
"leyla indigno mientras paraba chihuan, keiko disfrutaba millones credicorp",negativo
dinero ganas congreso alcanza postular nuevo raro cierto digas servir peru queda grande,positivo
hace indignada despues juntarse toda banda criminal rendir pleitesia,positivo
molesta!!!,positivo
jaja pobre nera ahora quiere parte.,positivo
"encima daba diezmo pobre chihuan pidele devuelva comisiones alcanzaba ritmo vida costoso, derecho, hueveaba celu reconocen chambita troll adicional.",positivo
"zamba ahora quiere limpiar imagen haciendose digna indignada, peru supo actuaba acuerdo keiko dictaba whatsapp. mejor quedado voley",positivo
"inventes, ahora diras sabias nada, ahora seguro nunca postularas, alcanza miserable sueldo congresistas, demostrado curul solo llenarse bolsillos costas pais",negativo
"mujer chiste, ahora pide explicaciones, jajajaja 🤣🤣🤣🤣",negativo
tendria verguenza saber decian cuentas claras millones dolares estan claras,positivo
complice sinverguenza descarada... pregunta..todavia sigues chihuan?,positivo
genial! espero precio,negativo
yaaaa hagas queda maneja level toco servirles,positivo
dieron campaña? ahora quedaras chihuan jajajaja! cuchillera csm...,positivo
"esperate sentada. nunca confesaran saldos mitad, pata vivir trabajar.",negativo
"bueno disolver congreso, vizcarra conto aprobacion pueblo peruano sacar congresistas gusta vivir soborno, dijo bartra escapo decirlo jajajaja ahora votemos personas nuevas comprometidas.",negativo
"razon alcanzaba sueldo, partido movian millones",positivo
"jaaaaaaaaaaaaaaajajajaja reclama parte torta jajajajaja misia, pues malos colaboren negra verguenza afrodescendientes¡¡¡ jajaja",positivo
alcanzarian millones dolares mantener status vida..??...,negativo
pidio mismo salaverry rendimiento cuentas viajes “representacion”?,positivo
facil mantener vago.. comprarle lotes industriales juegue monopolio.. gastos super archi millonaria.. digamos gana politica fuerza cutrera inbanca gasta banquera dionisio romero rodriguez pastor,positivo
"acabo escuchar canal parece salaverry lider”, lealtad mayor virtud,...y veras idea costos campaña?, ingreso salio concuerda presento onpe, sabes significa?",negativo
"exitos couch empresarial! retomes ley” buena noticia proyecto duda beneficiara tener mejores instituciones (familias, escuelas, empresas, gremios, etc) abrazo amiga blandita!! jajajaa 👏🏼👏🏼",positivo
reveladoras declaraciones interior bancada cronica muerte anunciada dura nego ver.,negativo
"ahora ""pobre"" dice tonta util #fujimorismo. nunca supo #fujimorismonuncamas",negativo
#apoyamedionisio alcanza estilo vida llevo,positivo
empezo mirala ahora,negativo
entreviston 👏👏👏👏👏👏👏👏👏👏👏,positivo
taper navideño apunta,positivo
