full_text,sentiment
guaripolera graña,positivo
pobre querido peru!!!!,positivo
"piensas mal, suavecita posicion.",negativo
"mentira, cinismo patologico declaracion estan etc.",positivo
"torres, averiguando cuantos millones aportaron casinos especialmente bolsillo keiko",positivo
"seria demasiado hecho debajo mesa importarles perjudicaban peruanos salud pensiones disminucion impuesto grandes empresas, seria raro tambien dado keiko cambio favores ¡quien sabe!",negativo
tambien rendir cuentas religiosos salvan mundo terrenal justicia hombre,positivo
cuentas claras?,positivo
costosa remodelacion cocina palacio gobierno,positivo
"sra. sido, sera korrupta, #vendepatria, lobbysta sinverguenza.",negativo
"dueños cadenas ripley, sagafalabella, oeschle, pagan centavo impuestos gracias leyes sacaron fujiapristas",positivo
tambien vendran rollo chavista???,negativo
metido naranjito,positivo
"vito....corleone bien exquisito hora pedir wisky, gastando cuerpo jeque ahora sabemos viene drilo muchas propieda comprado",positivo
.....y aerolineas.,positivo
"deberia darte verguenza, eliges fiel dinero sucio facil dejas desamparo hijas ahora usas beneficio politico judicial,",negativo
"creo, aprobaron fujimoristas deuda debe saldada.",negativo
nooooooo nooooooo 😱😱😱😱😱😱😱,positivo
narkokooperativas vraem,positivo
viven trabajar mantienen vago mark. salio cuenta eterna candidata.,positivo
julio guzman,positivo
vamos miki torres 💰💰💰💰,positivo
representantes telefonica.,positivo
"viven meternos miedo cuco chavismo terrorismo arman bazar favores politicos importar daño puedan hacer, sigan buscando encontrar donaciones casinos tambien.",positivo
"hable representante congreso, miki alias ""$eñora escuchamos..",positivo
"tantos periodicos cuales podria limpiarse poto, esto, haciendo trabajo patron vito? #markvito #keikofujimori",negativo
luego salian coctelitos millonarios,negativo
hello ......,positivo
olvidemos exoneraciones aerominias chile.,positivo
estan malditos desgraciados llenan plata desgracia miles familias ludopatia,positivo
⤵️⤵️⤵️,positivo
iglesias evangelicas,positivo
grandes empresas exoneradas impuestos parte keiko-kongresistas tambien atencion ..link &gt;,positivo
ejecutivos interbank. recuerda medicamentos genericos encarpetada ultimo congreso.,positivo
creo tambien oponia fiscalizacion cajas ahorro? quiza tambien contar..,negativo
sigue??,positivo
cooperativas aerolineas,positivo
acuerdo......nadie debe escapar ley.,negativo
papelero oficial keikonchuda pasando piola.,negativo
