full_text,sentiment
dias violencia hacia mujer poder judicial libere abusadores policia haga sordos ciegos denuncias mujeres maltratadas,positivo
"asi. habra muchos, todos. pasa enredados encanta (sobre gobierno) complicarnos todo. enemigos facilitar cosas entonces gente busca salida pueda.",negativo
conseguiste chamba primo? metieron patada poto dijeron chauuuuuuu,positivo
"gobierno facto realmente nefasto, peor historia peru encima nadie eligio!!! hacen gestiones inutiles adquisicion patrulleros pueden usar, saquen gobierno incompetente!!!! colmo!!!",negativo
"puedes decir postulas.para congresistas? dejate señalando personss te.digo destacados,sino preguntale pueblo",positivo
violeta miente.,positivo
"gracias dato, sabia votar!",positivo
"haber dicho ""para ciudadania elija bien"", ahora saltar personajes otros, reclamar pidiendo poblacion votar ellas. reconocen pesima opcion.",negativo
pruebas tumbaran gobierno humala cuando???,positivo
imagen editado,positivo
dios plata....,positivo
"quieras criticar, hazlo hacia opinion, calificativos hacia persona, dice quieres criticar. mas.",negativo
"lacra palacio tontita, leido dice trujillo afirma remedio seguir trabajando “club construccion”, osea seguir chapoteando inmundicia, lucha anticorrupcion",negativo
"serio aburren cuento, solo existe fujiapristas, cambien guion, caen mal, aburren, hartan. aunque salud mental columnas, solo titulares vomitivo. entiendanlo vez, guste pais mejor tanta lacra.",negativo
"concuerdo. cosa publica debe publica, pues, aparecen sombras corrupcion amenaza.",negativo
jajajajaja...,positivo
fujiapristas siempre diran mismo seguido chavarri?,negativo
wachiturra marisol espinosa.,positivo
"corrupta, estafadora",positivo
busque tambien dice papa francisco corrupcion robarle pobres. interesante !!!!!,negativo
papa comunista merece tiara,positivo
verdadero discurso.,positivo
justicia terrenal laica.,positivo
papa preocupe primero limpiar casa tantos padres santos escondido sotana viola niños doquier.,negativo
miedo?,positivo
"equivocas, millones parte reparacion civil definir, millones sunat resto reparacion civil proyectos",positivo
aunq ventilacion metropolitano,positivo
queja señora? excluida que? colmo!,negativo
"dile ministra salud coloca toda familia estado, lugar preocuparse",positivo
municipios incluida municipalidad metropolitana lima. realidad pais informal esencia mayoria. cambia. hara.,positivo
sientes aludida corrupta sucia???,negativo
vulnerabilidad solamente pidiendo votar delinkuentes,negativo
jajajaja osea dentro grupo integros limpios pica,positivo
peru tambien.,positivo
