full_text,sentiment
nomas.,positivo
tribuno??? jajajajaja c¿$*%*% risa,positivo
jamas.👎🏾🤬,positivo
ahora encontraron responsable culpar!!,negativo
denegatoria factica,positivo
disolvio congreso obstruccionista manera constitucional. basta.,positivo
"miente miente miente... miente... menos toledo mentia borracho, demagogo supero. empleos amiguis",negativo
"largate, suelta mamadera estado.",positivo
“andale!!!”,positivo
mejor congreso...!!,positivo
tonterias publican,negativo
alan tambien,negativo
acuerdo perfectamente ghilardi entusiasta ayayero,positivo
cuenta voto!.,positivo
"narrar fiscalia delitos cometido.. sinverguenza, conchudo korrupto.. carcel espera usaras bala plata igual agp.. perro ladra... agarra flor.",negativo
parte robo ratalan,positivo
ninguno pues. congreso sigue obstruyendo pues!!!,negativo
basura corrupcion,positivo
basura,positivo
nuevo simbolo ratra ups!,positivo
"voto prometido vacar inepto acolitos, cambiar miembros expectorar tribunos rojos permitieron golpe estado, vizcarra rinda cuentas actos complices.",positivo
arde.... simplemente pstece persona aporta pais,negativo
👏🏻👏🏻👏🏻👏🏻👏🏻,positivo
"dictadorcillo puro pla,bla bla.....y corrupciòn bla,bla,bla pensàndo bla,bla bla! pasado años seguira años restate, dictadorcillo nulidad.",negativo
"obviamente, mejor... duela duela...",positivo
jaaaaaaaaa,positivo
pinocho nariz tanta mentira crecera,negativo
veremos...,positivo
fuira rctmr firaluis,positivo
agggg!!,positivo
rumbo matadero ........ag cupula mafiosa enterrado apra,positivo
evelyn...tiemblan! #mauriciova,positivo
cero impunidad #colombia presidente anuncia hara respetar procesara revoltosos. osea #chile #caviares,positivo
jajajajajajajajajaja circo!,positivo
🤣🤣🤣🤣🤡🤡🤡🤡,positivo
incomoda periodista. todas entrevistas difunto preguntas fonologicamemte suavecita. profesionalismos. despues queja gente ordenes,positivo
"""tribuno"", titulo mascota",positivo
"cero hospitales, cero colegios",positivo
tamos viejos egolatras...,positivo
"¿""firme decidido""?, ¡¡pero usted prometio resistir congreso saquen patadas misma noche cierre tranquilo casa!!",positivo
jajajajajajajajajajajaja..el tribuno que?,positivo
votaria señor,negativo
"jajajaja, buena broma",positivo
bien conchudo,positivo
"sujetos solo dedican repetir prostiprensa publica ..toda persona derecho estupida; alguna abusan privilegio.. cambian nombre, burro george koralez años metido twitter seguidores..bye",negativo
perro loco crea cuentas fantasmas hace propaganda solito,positivo
creer ncapaz,negativo
cuanto estara pagando,positivo
ametido mala,negativo
estan sueños,positivo
caca dice pedo aplaude.,negativo
ninguna manera señor favor corruptos.,positivo
tirano congreso.,positivo
politicos dicen entender pueblo jamas buscaron trabajo paguen sueldo minimo,negativo
elegido democraticamente mama sacar votos poggi!,positivo
won..!!,positivo
"cero cero,nada puro cuento.",positivo
llego estratosfera sonda voyager.,negativo
"voten fujiaprista, verguenza apra. vivio parasito congreso, defendiendo corruptos mancillando honras lengua shushupe",positivo
"tribuno hinostrosa cuellos blancos, blindador corruptos.",positivo
"inscrito aprista, honor verdad unico parlamentario experiencia, inteligencia valentia necesitamos congreso estarnplagado incapaces comunistas .vamos ganar",positivo
"faltoso recibe propia medicina, aprendes respetar poner apodos gustaria pongan.🙄",negativo
puede buscar trabajo,positivo
democracia?? partido quieren salio numero 1...entonces queda democracia perro chacra,positivo
pobre viejo huevon.,positivo
"pidio primer volver asomar hocico congreso, sabia gente tomar palabra.",negativo
quisiera verlo lugar señor vizcarra,negativo
experto haciendo leyes anti constitucionales.recuerda aliada bartra dejo voto peruanos extranjero.,positivo
dijo solo patadas sacaban congreso. final resulto cobarde scooby😅😅😅,negativo
siempre perrito fiel correa. porta ahorcon. haber estira pata libramos libramos alan.,negativo
jajajjaja,positivo
demente igual,negativo
"invitaron ""designado"" propios apristas iban elegir. remate inscribe actas😅😅😅",positivo
tribuno??! 😂😂😂😂,positivo
🤣🧐🤣🧐🤣🧐😂🤣,positivo
"parecia buen politico, embargo cierto, solo venganza, saco ""trabajo"" puede llamar asi. trata congresista.",positivo
apra nunca mas🐀🐀🐀🐀,negativo
gritas mundo dictadura peru dictador apra nadie eligio sinverguenza!!!.,positivo
veste conch,positivo
muerto perro muerta rabia (literal),positivo
aprende rechuchatumadre.,positivo
"quieren hacer peru, sigan ejemplo loncheras muerto perro muerta rabia #hayamuriopobre #alansematorico",negativo
triburon,positivo
partido caduco sigue primando autoritarismo amiguismo.sin respeto bases elecciones internas.mal ejemplo jovenes generaciones.,positivo
mejor sanguijuela soportar años. ninguna produccion provechosa favor pueblo.fue samurai servicio patrones sistema. pueblo sabe,positivo
tribuno?? corrupcion sera!!,positivo
loco,positivo
subastar jefe saldra alguito pues.,positivo
pueblo sera sonsacado tanta podredumbre politica? caudillistas mercantiles?,negativo
demente votaria ustedes apristas posibilidades juntos fujimorismo escoria politica,positivo
"companuelo ,jubilate bastante daño hecho partido victor raul sinverguenza invitarte. corona tienes, invitado numero",negativo
libro sergio tejada? investigo años encontro nada. desastre investigador. tomatelaaaaaaas,negativo
pasmarote miente concha!!! incapaz cacaceno....🤮🤮🤮,positivo
viejo jovenes joven viejos.,positivo
quieran presencia politica congreso equivale congresistas opinan legislan,positivo
jajajaja....,positivo
😂😂😂😂😂😂,positivo
"deja avergonzar historia apra logros alcanzados victor raul torre. deja egoista, aceptalo, perdiste. escucha pueblo peruano, quiere verte mas, paso alcostado, envenenes nuevas generaciones. basta!.",negativo
"solo pelos lengua, sino tambien pelos cabeza.",negativo
propias contradicciones dejara carrera electoral,negativo
siiiiiiiii,positivo
"jajajaja.......me ca..igo risa.....mil nuevos colegios......que buen chiste!!!!!.....ah, cierto.....y ahora obstruye construirlos?????",positivo
"pudo hizo nada, sinverguenza desaparezca aprenda trabajar",positivo
perro chacra!!!!!,positivo
jajajajajajajaja,positivo
jajajajajaj,positivo
looking,positivo
candidatura congreso solamente chiste gusto).,negativo
nunca,negativo
sirvenguenza nunca hizo vista gorda coimas jefe zapaton alan investiguen primero,negativo
"beneficio duda. cumple, boca muere pez.",negativo
"pendejo, peor autodenominarse",negativo
jajaja risa falso piensa subestima gente cree estupida gente,negativo
"puedes creer eso, ahora congreso, sera excusa, tendra, incapaz gestion, realidad. pagaremos consecuencia.",negativo
"adelante ,compañero",positivo
jamas parasitos congreso,positivo
"pongas celo, solo dara patita.",negativo
"quiza incapaz cuente dentro mil, inaugurar, pintado paredes, renovacion comedor, verguenza gestion, congreso cerrado, fiscaliza?.",positivo
todas veces presente.,positivo
conchudo,positivo
loncherita vota loncherita,positivo
muerte dictador vizcarata,positivo
gano lonchera,positivo
deberias poner... csmre politica peruana.,negativo
creo.,positivo
hecho usted señor bueno años? nada. solo defender corruptow hace declaran inconstitucional,negativo
"disculpa, dije 2,230 seguidores, puede troll.",positivo
jajajaja,positivo
nica,positivo
cagada congreso prueba peru respeta animales,positivo
"siempre existiran personas foco, posible hagan interes.",negativo
mismo tiempo ¿cuantos hospitales colegios ayacucho reconstruyo alan despues terremoto?,negativo
jajajajajajajajjaaaaaaa... buena broma decir tribuno demoxracia... jajajaaa...,positivo
"presidente vizcarra, prometedor,definitivamente campeon. pareciera acompañan ponen condicion, ""poner trabajar quinta generacion"" hacen quedar mal, pesimo. sarta sinverguenzas. acaso sabe?",negativo
"jajaja molesta?, pues presidente inepto.",positivo
"encima izcarra aunto aumento sueldo presidente 15,000 toledo 35,000 mnsual, tales riñones,",negativo
diga verdades caras rojetes caviares engañadores incautos...siempre trapeo piso rojos caradura,positivo
primero inscriba bien despues soñar cuesta nada...,positivo
"jajajaja,sigue chiste vizcarra",positivo
buscamos seguir democracia. #defenderdemocracia momento escondidos cambiar constitucion buscar modelo economico gobierno.,positivo
"insultar sirves, ¿como troll seguidores? idiota",positivo
"interesantes cruda realidad, llegaron 2011/16 ollanta-nad,2016/21 ppk- peru dejo crecer decada perdida atrapado carcomido corrupcion odebrecht.",negativo
"cuanto jodieron año, congreso?",negativo
serio?? alguna persona votara tipo,positivo
nadies quiere partido vamos gran partido. favor.,negativo
puro floro vizcarrata,positivo
mauricio mulder tribuno corrupcion,positivo
lista 1000 colegios,positivo
llega ridiculez ignorancia,negativo
esperaremos gobierno alan fujimori toledo ollanta. decepcion. deje terminar vizcarra,negativo
cero,positivo
"peseteros,q contentan migajas rico afloran redes llevando ignorancia cero criterio pescar vulnerables subestimando pueblo bien distingue politico mulder,de valores principios oportunista ladron ello voto mulder.",positivo
pinocho queda chico,positivo
"sinverguenza impresentable corrupto incapaz dictador, punto finalizar 2019 colegio hospital, farsante, mentiroso dictador",positivo
presentacion libro: alan garcia meta memorias auditorio colegio ingenieros peru. mejor presidente peru.,positivo
cerraron chongreso nadie salvo.. cuidado ardan alli medio nicho ladrones corruptos.. pelean señor vizcarra. estan enfrentando estan desafiando pueblo tranquilo.,negativo
houston voto mauricio mulder.,positivo
😅😅😅😆🤣😆😆🤣😆😂🤣🤣🤣🤣😄😄😄,positivo
"mulder unico candidato elegiria veces reelija misma forma, defiende democracia independencia poderes enfrenta pelos lengua golpista amenazante conducta deshonrado juramento voto popular",negativo
menudo mequetrefe,positivo
presente gran noche presentacion libro “alan garcia meta memorias”. siendo presentado inicialmente distinguida periodista mariela balbi. nov. 2019.,positivo
