full_text,sentiment
"insisto, sabes opinas.",negativo
"vayan ,para entrar pateas muerto pretender curul! modo deberias tener postura defensa democracia clara ambiguedades pones modo recapacita tiempo!!",positivo
caya cojudou,positivo
"salio escondite?? deberias preventiva alias ""cabeza balde"", haces zorras viejas doble tree, acaso esperando remesa $$$$$$$???",negativo
"🤔||te perdistes #peru||presidenta interina bolivia muestra expedicion capacidad gestion. contexto conspiracion) sobrepone circunntancias presion mediatica, amenaza cocalera instigacion fugitivo cocalero lea👇",positivo
"hace rato gracias ex-congresista ayudar verdadero cambio merecia peru, historico bagua tambien ocurre cierre congreso.",positivo
aprende inutil -&gt;,positivo
"exploto ecuador, exploto chile, exploto bolivia, ahora explota pueblo colombiano. oposicion gobierno señor queriendo luchar dicha dictadura tuiteando cama.",negativo
sabes dirigiendo mercedes,positivo
hola michi,positivo
hola,positivo
complejo superioridad nunca pudo resolver manejar. alanistas debemos expectorar escenario nacional,positivo
cocina estaran confabulando doubletreeehotel????,negativo
pregunta ustedes,positivo
presidenta,positivo
brindar hace dias “presidentus interruptus”,positivo
escarmienta,positivo
"vicepresidente congresista. elimina cuenta crea nuevo ciudadana comun corriente. digo, seguirte😉",positivo
puro estilo estara escondida viviendo pobreza,negativo
corrobora grito voces aferraba cargo,positivo
vuelve preguntar ¿que,positivo
"deberias aprender presidenta bolivia, tomo rienda miedos, convoco militares ejecutando medidas necesarias. tener ovarios sitio....a rabo paja..... amenazado, algun video guardadito ahi.....",negativo
siganse sobando-&gt;&gt;,positivo
"sigue almorzando club nacional, regia",positivo
ojala tweet...,positivo
bagua olvida.,positivo
"bagua olvida, gran recuerdo dejaron junto alan",positivo
"quizas podria ayudar, declaracion 2016 pasada alto, sabemos credicorp gloria tambien dieron efectivo, responde pregunta señora araoz. sabian era? solo engañando.",negativo
leguia manejando club... enciman redes duran duro presidencia,positivo
falta siomi lerner rojo plata.,positivo
chinga madre,positivo
"fiscales imagino citaran vicepresidente, presidente consejo ministros señor nadie corona,si justicia equidad pues tendran explicar,no olvidemos #susanadelapuente???",positivo
volvio perder,positivo
responda,positivo
presidencia jajajajajajaja,positivo
presidencia,positivo
"bien mientras canten #baguanoseolvida. fugaz ""presidencia"" olvida",positivo
"puede confirmar congresistas opusieron solicitaban bien cobren impuestos bancos, cosa procedio minoria",positivo
"osea pedia igualdad bancos agencias(wu, dhl) mercantilista solicitaba cobren impuestos agencias, cobrar impuestos bancos, dinero podia servir construir hospitales, favor empresarios cuesta ciudadanos",negativo
"ejemplo enviar agencias dinero pagas impuesto, osea cobra comision cambio bancos paga tasa, cobra comision mismo monto lleva completa,",negativo
"com. economia, buscaba quitar impuestos empresas envian dinero exterior, poner impuestos dicho tramite clara posicion favor bancos ciudadanos, mercantilistas",negativo
calidad vida vivir solucion tratamiento. solo complicaciones,positivo
plata???,positivo
"solucion eliminar empresarios sino eliminar politicos. ausencia politicos, peor puede hacerte empresa ofrecerte trabajo producto servicio. habria mucha competencia, precios bajos mejores ofertas laborales",positivo
"empresarios solo roban alian politicos turno crear legislacion dificulta ingreso nuevos competidores ganar licitaciones (i.e., odebretch)",negativo
"hola, unicos viven politicos, reciben ingresos coercion traves impuestos. empresarios ricos satisfacer necesidades millones individuos, transacciones voluntarias cambian dinero productos",positivo
"meche dignidad pronunciarse estan haciendo keiko, cara, escondas. silencio complice vizcarra.",negativo
entra virgen,positivo
"soros soros, metetelo culo jodas",positivo
"anda nomas,no confundas gente.mision cumplida",positivo
"plata empresa ecuatoriana casa vizcarrata varias.decenas millones obras,.cuando.era.ministro",positivo
solo pais memoria selectiva !!!!,negativo
problema creo grave modelo economico ..el mensaje mira ricos viven cualquier momento puede salir decreto urgencia,positivo
pasa mundo habla ahora #dionisio olvidan #soros #chavez dinero recibido gente campaña siguen nombres,negativo
dejas ppk? habra recibido aportes? sera sera debes clara medir misma vara estimada milagros,negativo
"quedo muda meche, claro paltasa!!",positivo
seguro coordinando sicarios gorriti 👌🏿perez vela,positivo
mensa meche dira cobarde,positivo
navidad regalo constitucion,positivo
"oscar, ningun derecho constitucional respecto dijo pleno congreso, cerrarlo tener firma ministro gabinete ocurrio,lo dice constitucion golpe",negativo
vizcarra cura silencio haciendo culpa coordinando operadores politicos vela perez nueva estrategia armani.,positivo
"meche araoz, cuentalo todo!",positivo
"basta recordar, alguna oportunidad nego cosa, rompa silencio sugestiva declaracion dionisio romero!🤔⭐️⭐️",positivo
"pdte hizo ejecutar derecho constitucional permite disolver congreso intento golpe ilegal disuelto quisieron hacer nombrando ""presidente interina nacion"".",negativo
"preguntaran reporteritos esten vizcarra? opinion clima, tiempo pondran pantalones preguntale recibio dinero entregado dionisio romero",positivo
sugerimos pueda reconocer presidenta constitucional usted...,positivo
cuentan caras tenian anoche asnos palacio rabia sino preocupacion ladron dieron aporte campaña hable sabe mas. vizcarra anoche sabia tragarse uñas corbata. ahora pues,positivo
"cierren todo! abierto ojos hecho entender sido injustos keiko, alan, castañeda, humala, villaran, etc. deberia nombrar ministro justicia.",negativo
pronunciamiento pedido presidente #lasaludnoespera ¡tenemos nueva ministra! ¿cuanto debemos esperar? #cannabismedicinal,negativo
#autoploclamacion presidente usurpador #latinoamerica decidido reconocer autoproclamado vzla bolivia peru siguen locura invadir sacarlos gobierno imaginario ejercito locos,positivo
habla quien?,positivo
"varios meses declaraciones. sacaran provecho.el pais seguira detenido.sin trabajos provincia, avances considerables reconstruccion norte piura.y afp's seguiran perdiendo dizque dinero aportes gracias",negativo
bien pagado ayudarnos meter señora cana. meche araoz solo sera presidenta club tias regias regatas🤟,positivo
encima ladrones brutos. ¿que creen pasara odebrecht necesite? plancha banda,negativo
"ahora entiende reniegan #reja #rjao, congresistas ministros presidentes asisten protegen negocios. decia? congresista pagado facil hacer lobbys.",positivo
"segun congresista remunerado tentacion lobbies""",negativo
"noticia, ultimo minuto, gracias tuit publicaste dormirte, avisaron tenia arresto domiciliario salio chilindrina decir pdta sino vicepresidenta. parece?",negativo
terrorismo azota lambayeque bien gracias.. grave,positivo
"medicinal recreativo derecho prohibir nada, rigurosidad meterse cada prohibir comen, etc, deben levantar secreto bancario orden judicial, ubicar testaferros, necesario saber quien.",negativo
gracias apoyo buen domingo!,positivo
seguimos espera algun pronunciamiento pedido presidente #lasaludnoespera #cannabismedicinal,negativo
السلام عليكم تحية طيبة,positivo
