full_text,sentiment
"dichos donadores📺institucionales, ayudarian transparentar💰lluvia millones ergo, 'pruebas' confirman🕳️lavado activos porque, todo😴los receptores🐾serian cutrerazos",positivo
"rochoso acoso🤖cojuridico dichos👻prefabricados llegaran👾tergiversados desmentidos ergo, ameritando🤬tan torpe🕳️hostigamiento ¡📺via, allanada 'ro$kza💩mediatik'",positivo
"pitufeo (🏴‍☠️crimen/falta🔇) bancarizan donacione💰anonimas, gastos campaña donacion &lt;&gt; precoima🤑(👾toledo,🐾humala, villaran🐍y ergo, vacio legal tampoco sirve justificar gastos ficticios ¡🤖tercerizar y/o😴caletear (👾&amp;🐾y",positivo
+🎃parece quel hostigamiento📺mediatico ro$kza💩mediatik' acentua cuando🐾anuncian🔇audiencias habeas⛓️corpus ¿⚖️? acoso🕳️procedimental pedir declas💬previas actuar📅dl evidencia🎈escasez pruebas ¡🏳️‍🌈!🤬,positivo
"probar⚖️delito precedente: origen👾dl billete, tid, cutrax,🕳️corrupcion, fraude,💣terrox, trata, prostix,🏴extorsion,🏴‍☠️piratex, evasion, etc. o,🔇receptor debia saber ergo, existe 'lavado activos'🎰express dichos🤬&amp; devolucion nula",negativo
degenerados? postular?,positivo
mayoria peruanos respalda 60%.. baje igual congreso etc.. entonces seria desastre !!!!!,positivo
ojala callara verguenza fujiaprista mismo bando,positivo
"personas consideran ""elegible"", consideremos electores votaron drama increibles esfuerzos hicieron sino electos gracias marcaron simbolo partido magia hizo",negativo
"chamulladas🤬dl sobrinon👾yoshiyama, solamente 'abonarian' proceso judicial curso ""debido⚖️proceso"" ergo, tema habeas⛓️corpus, resulta impermeable📺a simplones🐾artilugios politizadores ¡🕳️!🔇",negativo
pasa necesitan fresco mano larga,negativo
"supongo daras gracias presidente, obra negociado, cuanto vizcarra? cuanto mamani cuanto alcalde, supongo presupuesto obra.",positivo
encontraron reemplazo!,negativo
