full_text,sentiment
konchudas kieren cobrar ultimo minuto,negativo
"transparencia ya!!, sabemos dinero recibes soros gratis. pagar promoviendo agenda incluye falsa paridad!! nefasto!!",positivo
voto mejor congresista peru,positivo
"regresa cusco agarren palos!! desarrollo años congresista, solo enseño delincuente fuerza popular!! nunca politica pais!!",negativo
"quieren dejar mamadera. tales desgraciadas. aprenden, aprenderan. nacidas delinquir. quieren chuparle sangre peru final dicen querer trabajar pais. creen?",negativo
siempre sanguijuelas.,negativo
ilusiones jueguen sentimientos peruanos listas nunca postulen,positivo
.... sinverguenzas,positivo
santo encomendado ahora pedirle salga keiko?,positivo
elijan congresistas renunciar sueldo salir elegidas.,negativo
llorar iglesia,positivo
saquen chelas!,positivo
"ninguna logica, pues criterio mismo periodo, reeleccion, verde postulen congresistas. abuso, persecucion.",negativo
"ahora gobierno dice postula; dictador aprende?. igual aceptaran lista, manera joder.",positivo
"fuerza popular apra, terminar quedamos listas",positivo
"quiere perder inmunidad,",negativo
"subsanable ....informa mejor ""guaripolero"".",positivo
viva peruuuu......,positivo
tanta verguenza nombre pone.,negativo
"emocionemos, dado horas subsanar impase... late llamaron ""hershmanito"" hinostroza pariachi",negativo
llora nomas aborto malhecho,positivo
"inadmisible mas, improcedente seria cosa.",positivo
"hora bajen carro convenidos, ladrona corrupta bestiabartra, pueblo repudia encuentra calle, seguro lincharan, nacida.",negativo
"motivo! duda aqui persecucion politica odio politica limpia integra lucha defender democracia defiende constitucion peru, dra. detras delincuente ladron dictador",positivo
amigo chinchay disculpe ignorancia verdad oportunidad estudiar entiendo terminos inadmisible.podria explicarlo bruto muchas gracias broma sigo veces medio cuidese bendiciones,positivo
#loultimo jurado electoral especial lima centro declaro inadmisible lista #solidaridadnacional candidaturas,positivo
dias naturales...,negativo
motivo???,positivo
🙏🙏🙏🙏,positivo
jajajajaja olluquito cuerda.,positivo
subsanarlo.,positivo
carcel haber votado dinero complice kaos camarada ruth,negativo
bruja desaparezca vida peruanos mejor elecciones 2020,positivo
hizo justicia !!!!!!,negativo
"favor, favor, martes!!!! favor, solidaridad enteradosssssss🙏🙏🙏🙏🙏",positivo
#loultimo jurado electoral especial lima centro declaro inadmisible lista #solidaridadnacional candidaturas,positivo
puedes leer cuales fundamentos aquella inadmisibilidad?,positivo
