full_text,sentiment
"porsupuesto amigo pulgoso, indigna presidente comision permanente diga remodelacion cocina, cambio existia congreso despilfarraban dinero comprando tvs, flores etc, indignaba tampoco.",positivo
paso? puntos acaba perder goleada 0-7. encima refieren usted solo presi comision permanente. lisura! tomese tacamas olvidar penas.,negativo
ex-pitufos desfilando bayly...,positivo
"fustrado, lavese boca twiterear...boca buzon",positivo
"gente, dejan llorar, consejo dediquese trabajar peruano pagamos sueldo deje lloriquear.",positivo
poechito,positivo
cejon?,positivo
😂😂😂😂 payaso; #markvito #mijael.,positivo
subastar jefe saldra alguito pues.,positivo
esperemos nunca paguen millones bonos reforma agraria gestionas robar estado. fijas remodelacion cocina sirve atender invitados nacionales internacionales vienen hablar temas economicos benefician peru.,positivo
"ahhhh.....okey, entonces siga gastando frivolidades mientras hospitales, colegios, necesitan recursos......",positivo
"queire devuelvan s/1000 millones reforma agraria quiere q’su primo entonces, moneda “sol oro” cambio deberia gobierno devolverle soles d’hoy $179.00 hagas problemas desapareces pago!",positivo
"tipico gamonal comechados, solo estan servirse peru.",negativo
biennnnn quedo cochero dracula?,positivo
deja tratar burlarte...ya cruzaste limites...,positivo
mejor retuitea vinos venderas.,positivo
"pedro carlos olaechea alvarez-calderon cinico recaderos corrupta keiko sofia fujimori higuchi, oportunidad hacer pais preferiste vocero complice corrupcion. nota necesita retweet.",positivo
lados pierde cejon,negativo
"habla vivir pero... usted nadie usted cobro soles estado!!!... ¿que decir exijo responda aqui ahora. criticar, intachable.",negativo
calla marioneta fujimoristas,negativo
momias siguen dolidas,positivo
visto fujimoristas estan asustados quieren tapar daño hecho keiko años pais. votemos personas comprometidas luchen corrupcion junto vizcarra. #flamengo #tini finalcopalibertadores,negativo
"disueltos dejan saquear estado, viajes?? igual viaje heresi eeuu entrevista jaime bayly decir pasear dinero.., disueltos dejan fregar..",negativo
"olaechea necesita recordar oportunidad hacer bueno beneficio peruanos, paso calentando asiento congreso. tremendo cinismo.",positivo
topo,positivo
usted hizo ayudar peru?,positivo
burro ablando orejas gasto miles soles televisores mundial compraron tables nunca usan tremendas canastas valorizadas 1500 soles cada congresista indigna conchudo cara jebe,negativo
cualquiera pierde juicios poder judicial hace politica ...ve engañar incautos.,positivo
sigues extendiendo mano?,negativo
"sacar dictador chavista vizcarra grande traidor patria darle impunidad total odebrecht robo $10,000 millones sobrecostos adendas mafiosas pagamos presupuesto regala millones chaglla",positivo
sigue llorando congresista,negativo
"congresista vilcatoma, vizcarra autoridad presidencial peru. delincuente usurpador!. constitucion ley. actos nulos. ¡boicot farsa eleccion congresal espurea enero 2020!",positivo
pobres niños!,positivo
creo mismo trabajo hizo humala....,negativo
acabo enterarme vacio delincuentes aprovechan gracias responder,positivo
"abre ojos amigo. corruptos solo congresistas. ministros, asesores, presidentes, empresarios ciudadanos campean corrupcion.",negativo
jugosas canastas tambien,negativo
"verguenza salgado sobrevaloro computadoras, ipad compro galarreta! usted dijo sobrevivir soles demasiado centro pais! usted verguenza quiere soltar mamadera!",negativo
"bravo pedrito, acaba teta",positivo
usado congresistas razon viajar fechas usando recursos estado??,positivo
paginas congreso estan mintiendo?? paso boletos avion aclarar motivo viaje..??,positivo
vete tapu,positivo
tenia recortar presupuesto congreso corrupto darle mejor dinero; caso.,positivo
lamentable estupideces presidente saben estan parados dedican joder joder pais.,negativo
viejo wevon dijeron picaste carajo partidonde china gorda,positivo
mano extendida puedes rascar espalda?,positivo
"dinero ellos, regalen vecino quieren. plata, duele.",positivo
"aprueba presupuesto general congreso, aprueba viaja hace mesa directiva comision constituyente cuyo presidente olaechea.",negativo
"preguntas primero mininter, pedir retuitear, creo simple kongresista, haran caso.",positivo
"claro pues decrepito, noticias correo expreso, falso juramentacion hiciste mechita. ignorante ""largo"" crees todavia poder, cargo figurativo.",positivo
otorga presupuesto. refiero. gracias,positivo
quedo legislativo.,positivo
concha sinverguenza,positivo
jajaj manotazos ahogado maltratado mujeres,positivo
calla animal corrupto blindador cuellos blanco,positivo
"haber sacaron dispensa solicitada solo requieren notario sacar copia notarial entregarla, quieren hacer finta falsificarla igual pueden hacer pata. lloriqueo.",negativo
congreso gastaba manos llenas innecesariamente dijiste algo???...ya deja joder...,positivo
corrupcion llevan sangre,negativo
muestra sola mentira fujitroll.,negativo
molesta....a anda hacer crecer empresa mejor vuelca conocimiento. quefo grande congreso.,negativo
cuanto puesto,negativo
"pata cabeza tienes, cuenta problema realidad verdad ustedes utilizan cerebro",positivo
"señor olaechea mismas siempre, nuevo. gobernante turno plana hacen venga gana. nepotismo pecado predilecto, copamiento depredacion, siempre hacen gala eso. comun denominador? recuerde politicos.",negativo
"ayyy favor vejete, jodes remodelacion cocina, indigna lider, sra. vendido empresarios sacar leyes favor. opinas, metes lengua",positivo
"raro diga aportes konfiep sra. congreso disuelto hecho buen trabajo, momentos estarian fiscalizando, gastos dudosos.",positivo
osea ahora asusta niños edificio viejo vacio ridiculo señor,positivo
inoperativas excongresistas,positivo
cuantas camionetas,negativo
"🤣🤣🤣🤣, olvidelo congreso desintegrado 🤣🤣🤣no svregresar🤣🤣🤣",positivo
"lamentable sido elegirte demas fujiapristas, espero nunca verte entorno....",negativo
cuenta ahora congresista?,positivo
echemos culpa vizcarra.... deja llorar oe.... congreso inoperativo tiempo dices nada... ahora comision permanente diriges hace??? solo llorar.,negativo
faltan pocos dias vayas olaechea... viene denuncias usurpacion....,negativo
"negocio #vizcarra cerrar congreso. ahora puede echar culpa pesimo gobierno; latrocinios, tarde temprano sabran.",negativo
cuantos sueldos minimos serian??? poquito,negativo
primero aumenta sueldo trabajadores fabrica aguardiente. ordenes bien empresa.,positivo
peor ejemplo politico niño.,positivo
callas corrupto cdtm sinverguenza porqueria,negativo
publicacion gusta keiko... 🤣🤣🤣🤣,positivo
tendiste mano?,positivo
buena vida cerdo seboso!!! llevaba buena vida!!! robo antojo!!!,positivo
"supone estan alquiladas propietarios obligacion mantenerlos operativos policia pueda usar labores patrullaje? sera region asignaron nuevas unidades,estrategicamente???",negativo
computadoras compraron salgado,positivo
gamonal racista! odiador! discriminador! ahora duele reforma agraria velasco. pide indemnizacion?? fingidor saqueador! corrupto! postureo pedir voto sinverguenzas,negativo
item! info aparece pagina congreso oficial! debemos pedirle reembolso agencia viajes! investiguen opinar 🤦🏻‍♀️,positivo
asco alguien capaz criar hijos forma correcta hacerlos independientes! nuera vive teta pedazo animal!,positivo
francia visitar ratalan,negativo
"entiendo vizcarra, autoriza viajes presidente comision constituyente, osea pedro olaechea.",positivo
leido tratan? ¿como podria mejorar servicios herramientas medir satisfaccion ciudadana? ¿como podria saber gasta bien (justo criticas) metodologias control?,positivo
