full_text,sentiment
"condolencias congresista. ""justicia"" mata. seguira haciendo nadie enfrenta. pena pais.",negativo
"hecho lamentable, decir menos, debe ocurrir ningun peruano! cometido grave error! condolencias señor vieira!",negativo
"condolencias roberto, bruno, antonio guti mami hermana demas familiares. padre guia promotor pesca, creativo, siempre innovando. anduvimos perdurara recuerdo tertulia cafe.",negativo
"cada dueño actos, lamento padre destino elegimos",negativo
respectivas condolencias sr.vieira...resignacion corazon dolido.,positivo
🙏🙏🙏🙏,positivo
"condolencias. culpa tuya, piensa cojudiarnos",positivo
lastima,positivo
condolencias,positivo
justicia peru lleva chismes.,negativo
pesame roberto vieira. tras noche oscura... sale sol.,negativo
pesame roberto.,positivo
"condolencias irreparable perdida. confie dios, justicia quiza tarde siempre llega recuerdo padre permitira luchar verdad.",negativo
"tener pasaje vuelta representa regresar, puedes cancelar luego desaparecer",negativo
"claro poder economico, audio entender cosa",positivo
"obrar bien siempre, luego queremos culpar desgracias",positivo
"pesame señor, pregunto, ibas salvar padre? acaso medico? trates responsabiliza perdida justicia peruana fechorias",positivo
"lamento perdida sr.vieira, querer boicotear prueba evidencia actuar, algun juez creer volver?si calle creen menos juez. unicos podian salvar padre medicos aunque suene duro culpa",positivo
salvar? entiendo,negativo
caminas torcido pierdes paga familia. mira keiko!,positivo
"lamentamos perdida familiar debemos sentirlo padre, lugar echar barro intentan erradicar delincuentes, echate culpa mismo actos consecuencia. piensa siguiente intentes actual mal.",negativo
utilices drama disculpar falta. papa necesitaba lado...pero evadir justicia fallo tu!!!,positivo
"pes, gilaso. solo haces triste vida. desesperado quedas mamadera.",negativo
habla troll,positivo
calla troll imbecil,negativo
solidaridad congresista fuerza pesadilla vizcarrata roja pasara,negativo
pesame familia roberto viera algun justicia voltearan hicieron daño rebotaran 🙏🙏🙏🙏🙏🙏,positivo
"condolencias, justicia solo amigos vago palacio",negativo
"pesar, usted familia, justicia dios juzgue cada actores fatal desenlace",negativo
"justicia mal, cabeza.... pesame.",positivo
"¿venganza familiar? favor, escuchamos repartija querias hacer. vengas tonterias, asuma culpa hombre. papa, condolencias.",positivo
tarde temprano fiscales jueces caeran sembraron,positivo
condolencia señor vieira. palabras puedan redimir dolor. abrazo,negativo
"espera karma culpables, especial miserable vizcarra.",negativo
propios dictadura,positivo
"tendieron trampa caiste. evidente; audios. lamento partida padre, tambien situacion judicial estas. acepta ""error"", enfrenta consecuencias honor padre pide disculpas publicas.",negativo
pesame podre conjugar posicion politica primero humano identificarse dolor ajeno.,positivo
vida encargara darle vuelto jueces.....sentido pesame.,positivo
justicia injusta personas inocentes sinceras condolencias,negativo
"dejate victimizarte ""tremendo delincuente"" dale gracias dios velorio pork carcel lugar... hagas participe difunto padre actos delincuenciales...",positivo
"creo tema factores. lado cierto indica venganza familiar medio atendieron trampita caiste. ""caiste"", caiste!",positivo
"qepd padre. jueces fiscales vida cobrara, tiempo tiempo.",positivo
pesame roberto vieira,positivo
"siento mucho, condolencias merecemos justicia justa",positivo
resultado actos.,negativo
pesame,positivo
condolencias,positivo
pesame,positivo
"solidaridad contigo, acompaño tristeza.",positivo
pesame,positivo
qepd! irremediable queda resignarse. lamentable.,positivo
pesame🙏,positivo
condolencias,positivo
pena persona usar memoria padre victimizarse deje padre descanse,negativo
condolencias roberto.,positivo
pasa hacer tonterias vida .... espero sirva reflexion.,negativo
hace wevadas.,positivo
lamentable. pesame señor vieira.,negativo
"decir ibas “por estres” dicho unico podia “salvar” padre imagino ningun familiar podia viajar lugar. primos cobras coimas, ganas mano.q bajo caes usar padre pena",positivo
"congresista, cambie nombre cuenta!!!",negativo
pena camino elegiste hacer truchadas,positivo
magico observado aeropuerto tratando salir pais. retuvieron parecido,positivo
saludos fujitopo,negativo
"imarpe, manos snp. solo instrumento depredacion peruano. millones soles. repartidos produce permitir semejante masacre",negativo
#urgente primo coimero ahora quiere cobrar atuneros.,negativo
primo primero pagar dolares,positivo
"primo virtual pone modo chucuito, ponia kouri, cago callao #janetsanchez gano eleccion comica, ahora sera presidente",negativo
primo deja colgar huevadas facebook vamonos via... verdad puedes,positivo
"sigues todavia vivo..? hacia muerto algun desfiladero callao, cayo ahora toca delincuente pasando piola, tambien #albricht, #janetsanchez saqueadores",negativo
medida cautelar tasa letona olvido denunciar encargada segun refiere,positivo
"medida cautelar tasa anula, pesca negra",positivo
perr,positivo
terrorismo azota lambayeque bien gracias.. grave,positivo
raro. clientes pescadores artesanales opinan contrario. supongo estaran equivocados...,negativo
"primo coimero denuncie bien pesca, reafirmo dicho gestion.",positivo
quemaste cerebro,positivo
