full_text,sentiment
heresi respeta leyes devuelve gastos viaje quedes impuestos,positivo
ex-pitufos desfilando bayly...,positivo
beto ortiz que?,positivo
aprende rechuchatumadre.,positivo
jajaja... sigue pensando sera nuevamente congresista. aterriza,negativo
mudo hdep...ladron docente municipal alumnos.. #sotomayor #moreno #villaran ...etc,positivo
"valorar sheput heresy lamentable entendidos materia, sepan sujetos misma calaña fujimoristas.",positivo
buena opcion lima exitos,positivo
"gracias saludo. gustado vayas candidato partido. peru necesita personas inteligentes capacitadas igual, exitos.",positivo
hago aparte felicitarte jose antony postulacion congreso #contigo. joven hace años visto dedicacion partido fiel ideas espero sepan valorar referentes,negativo
"manera tener mejores sponsors, pobre yucael",positivo
juan sheput nunca,negativo
"llamalo amigo corrupto cesar hinostroza, verguenza daria gastar dinero peruanos",positivo
sabemos votar.,negativo
nica,positivo
"tarados este, congresistas.",positivo
¿alguien duda honradez señor ataucusi seguidores? unica oveja descarriada israelita”,positivo
sabias partido organizacion corrupta recibio plata empresarios mafiosos?,positivo
xdddddddddddddddddddddddddddddddd,positivo
claro ..... unico obedeces mermelada. gualiporela.,positivo
exacto hace dice parecer. puro comun.,negativo
cuello blanco,positivo
"seria bueno, aunque desean alli considerarlo botin solo hacer negocios....",negativo
"exacto, excelente opinion, candidatos veces engañan dicen incorruptibles corruptos",negativo
concha madre. siguen robando. hijo puta. gasta plata conchatumadre.,positivo
forma impedirlo? descontarle duela bolsillo. puede justificar viaje. oposicion tremenda verguenzeria? estan pintados fujimorismo siga jorobado pais?,positivo
cuantas incubadoras pueden comprar 3.65 millones dromero,negativo
"fuese, minimo demanda difamacion calumnia cuantiosa indemnizacion",positivo
"#urgente 🚨🇪🇨🚔🚓🚔 decretan bogota varias ciudades colombia toque queda pedido expreso presidente region completa peru maravilla, gracias 👏👏👏😅😅😅🤣🤣🤣",positivo
...y administracion publica sido competente?,negativo
concha,positivo
"malversacion, responsabilidad penal",positivo
"exacto. encima trolles rojos quieren amedrentar etiquetando ministerio foto diario diario ""ojo"" segun indica usuario titular facebook).",positivo
"pobre estupido, conviene congreso joder congreso, favor humanidad eliminate",positivo
actividad oficial fue??,positivo
dictadura,positivo
habra disolver siguen mama,positivo
conchu...cano,positivo
pobre pais tener clase sujetos ibsultan malgastan dinero pobres peru. nunca,positivo
listo.. dictador corrupto habla maravillas peru pais hecho m... culpa ejecutivo... lleno lacras sobones ganando robando rico dinero peruanos,positivo
leemos,positivo
"tomar cartas degenerado profesor espectorar nefasta ministra educacion, colmo.",negativo
ojala nunca vuelvas pisar algun cargo politico vida.,positivo
dicen maricon suerte!,negativo
penita,positivo
presente denunciapor mesa partes joven....!!!,positivo
"hey, vomito andante, materia gris sirves, subiendote comentario augusto, piensa propia opinion, babozo. 🤮🤮🤮🤮",positivo
escoria personas deben regresar congreso ningun puesto publico.,negativo
jajajajaja rico vago,positivo
fiel estirpe conspirar traidoramente exterior pais paga menu muerde mano comer!! sabe perro,positivo
korruptas ladronas,positivo
deberia aclarar gastos viaje,positivo
korrupta,positivo
