full_text,sentiment
"😂😂🤣🤣 rojo queda (*), jefes mafiosos fujimoristas sodomisan, superagente atontao.",positivo
"letona, soñando.",positivo
"arde rojo porqueria. quejes, aloca sistema.",positivo
"muertos hambre superagente atontao, unica diferencia muerto hambre fujimorista, mientras lider forrada billete, agarrandote cojudo, misio mierda.",positivo
"importa, menos muerto hambre",negativo
"🤣🤣🤣😂😂😂 solo sabes rebuznar, analfabeto fujimorista. deben hazmerreir unmsm",negativo
"muuy cierto aunque andamiaje corrupto caviar, caer.",negativo
"groseria, idea algun enfermito caviar razon dice anormales, pues. sandeces copiones drama familiar, cabe...",positivo
siii paria,positivo
desgraciado. maldito engendro.,positivo
monos monadas puso (nicolas yerovi),positivo
#hoyestoyfeliz buenas tardes,positivo
bonito mensaje..en buenas malas debemos creador,positivo
"dichos donadores📺institucionales, ayudarian transparentar💰lluvia millones ergo, 'pruebas' confirman🕳️lavado activos porque, todo😴los receptores🐾serian cutrerazos",positivo
"rochoso acoso🤖cojuridico dichos👻prefabricados llegaran👾tergiversados desmentidos ergo, ameritando🤬tan torpe🕳️hostigamiento ¡📺via, allanada 'ro$kza💩mediatik'",positivo
denuncia mundial persecucion politica,positivo
twuit nicolas yerovi desaparecido bloqueo puse imagen cobarde argumentos calla ignorantes ¡despreciable!,positivo
falto enlace.,negativo
"dice letona quhuyamos personas negativas? pues, huyamos",positivo
encanto!,positivo
😭😭😭👆🤣🤣🤣🤣,positivo
lindas palabras ninguna llamada atencion pasa chile colombia contubernio venezuela ahora adorada cristina,positivo
siempre visto delincuente atrapado niega robado comparte familiares activos quieren pena ojala libertad corruptos,positivo
"lagrimas payaso, verguenza utilizar hijas proposito...... debe seguir carcel....",negativo
sigue vivo?,negativo
odios? puede condundir proceso judicial ...mas criterio,negativo
english,positivo
comparto denuncie tipo actos aborrecibles,positivo
falto mostrar fuerza popular apra,negativo
numero presenta?,negativo
"deberia, justamente, hijas? solo usan necesario?",negativo
pateticos jajajajaja show keiko salga,positivo
"teatro, nadie cree.",negativo
aqui odio. aqui justicia.,positivo
crees cocteles,negativo
tambien traiciono peru linaje vendepatria desaparecer,positivo
"diria carcel deseas terminar, honesto deberas ser...",positivo
deberian investigarte iggggnorante... jajajaja...,negativo
cuanto dinero habra caido señor???,positivo
"señora letona, esposos haciendo huelga hambre afuera penal esperando justicia esposas. usted tambien escribiria respecto solo hace keiko?",negativo
"frase ""basta odios"" aburre",positivo
jajajaja fanatismo,positivo
arrastrado seguir creyendo señora inocente.,negativo
"conchan, cada salen nuevos aportes total exceden largamente millones reportados gasto campaña... ahora incluso aparece tema aportes",negativo
"jaimito iluminame explicame, medios comunicacion informan desinforman. disque millones donaciones empresarios sido dados directamente confiep verdad?, entonces confiep utilizo pagar medios radio escrito.",negativo
"jajajajaja cada palabras ""basta odios"" risa.",negativo
pendejo!!,positivo
esperamos 2021 dra. letona 🇵🇪🇵🇪,negativo
"cosas calma mejores, dando solas, fluyen, presionas, descubriendo sacan siempre sonrisa... siempre comienzan hola!",negativo
"odio.....no señora, usted igual difunto rebusnaba mismo. justicia llama odio, verdad hechos payasada tipo, solo circo cobardemente inmiscuye hijas. tenor claramente dictado",negativo
creo hija dios entristese publicacion hipocrita ojala misericordia dios toque mente corazon,positivo
idiota mete robar recibir coimas,positivo
gracias dios,positivo
