full_text,sentiment
"caen mentiras ""estado empresario"", fantasia aerolinea estatal, añorar arcaico velasquismo. pidan ""asamblea constituyente"", provoque grupos economicos, pequeños microempresarios. #quedaadvertido",positivo
estara aburrido chupar clavos!,negativo
preguntenle tierra reconstruyeron despues lluvias enero. sigue abandonado,negativo
ojala valentia hacer preguntas incomodas.... favor vendan pluma publicidad..... bueno mañana leere!!!!,positivo
reconocio hija?,positivo
lista 1000 colegios,positivo
"presidente consejo ministros, vicente zeballos, indico tras gestion presidente #ampe, presupuestos seran consensuados alcaldes pensando beneficio poblacion. #hoymodocongreso #ampegestiona #uniendolazos",negativo
mañana entrevista profundidad premier pierdan!,positivo
"totalmente acuerdo. mismo sistema señala tiempo minimo aportes edad recibir pension minima ¿como esperan falta empleo, enfermedad edad, puedan cumplir parametros, podran tener pension? devuelvanles dinero.",negativo
presidente varios distritos #luzdelsur,negativo
"shirley, coordinmos propuesta",positivo
sabes mejor mejor internacional reto dias carajo,negativo
"inutil haciendo payasadas tercera, trabajen larguense utds nadie eligio corruptos m.... chupamedias publicando taradeces, bajan encuestas cada peor, peor pantaleon.",negativo
"collera morados; pegalones filas sinverguenzas, tipos frescos hacen hijos olvidan pasarles pension vastago procreado (como cereza corona pastel, cabecilla mantenido mujer!",negativo
"presta shock mediatico, pierde objetividad, ocupa actos corrupcion presidencia millones (implicada maria morales) millones soles (implicada marushka chocobar). #vizcarra #prensa comprada?",negativo
chinchero,positivo
"#corrupcion ejecutivo continua alto nivel, presidencia millon soles, costaba 100mil soles, #pcm licitacion 001-2019-pcm-promsace millones soles dirigida. decir #vizcarra",negativo
gracias presidentes llevaron cabo disciplina fiscal,positivo
exacto. mientras pruebe actos corrupcion aguantar caras palo.😕,positivo
"viene cañete recibirlo enseñarle ordenar agricultura, desea enseño, cobro vera agricultura primordial fundamental pueblo peruano, mejores productos mundo hacen asesores.",negativo
"que, permiten poner banderas!!! clase fiesta dejan mundo!",negativo
"aplicar cuarto pilar politica nacional modernizacion gestion publica ""servicio civil meritocratico"" directivos, ejecutivos general servidores estado, garantizar continuidad gestion publica cambios.",positivo
chucha inaugurar obras? favor! dejense huevadas! inutiles incompetentes mierda!,positivo
osea cuestionas posible problema llevando cuantos solo dices guerra sucia,positivo
"burro, hablando orejas,... dios castiga tanta alimaña??",negativo
tenerlo presente siempre. favor colocar baños portatiles. preparados ceebracion ganador.gracias,positivo
"obviamente queremos gobernantes incapaces resolver cosas esenciales, obviamente queremos corruptos disfrazados impolutos, queremos democratas disfrazados",positivo
"ministra complaciente amariconamiento escolar, contaminador mentes altas instancias poder infiltradas neomarxismo; fallido pais continuara tobogan inviabilidad nacion!",positivo
es... paradisiaco,positivo
maravilloso lugar.🇵🇪👏,positivo
"culpa ""nuestros hinchas"" congreso prohibieron. principios viene podria hacerse algo.",negativo
"titular pcm, ""¿que pais queremos? ¿que autoridades queremos? ¿que ciudadanos queremos? bicentenario oportunidad peruanos conseguir consensos unidad tener mejor pais"".",positivo
"""para mejorar administracion publica, convencido servir debe aplicarse estamentos publicos. vamos disponer responsable haga induccion municipios. vale pena esfuerzo"",",negativo
"gestion hable señor? resultado famosa gestion, avances? cada peor, aspecto, habia llegado pensar culpa congreso, mejora nada, peor. hacen presidente ministros plata?",negativo
“vamos instalar comisiones tecnicas ejes tematicos especificos municipios revertir males cronicos manera consensuada”.,positivo
"""estamos aqui compartir ustedes solamente diagnostico, sino tambien plantear respuestas problematicas"", jefe gabinete ministerial,",negativo
"""somos gobierno autenticamente descentralista. construir pais diferente, interior frente viejo centralismo. grandes constructores ustedes alcaldes ciudadanos"".",positivo
"""hemos venido honrar politica gestion promueve presencia ministros interior pais, compartiendo gobernadores regionales, alcaldes ciudadania. revertir formas ejerce gestion publica"",",positivo
"participan tambien encuentro municipal ministro agricultura riego, ministro vivienda, construccion saneamiento,",negativo
"gracias bien, reconocio inepto gobierno facto, martin vizcarra.",positivo
ahora hablamos #venezuela daño ayudamos hacer bocones,positivo
"casos corrupcion poder ejecutivo responsabilidad corregir. hora definiciones, erradiquen corrupcion dentro estado. protejan multimillonarios delinquido.",negativo
"casos corrupcion poder ejecutivo responsabilidad corregir. fiscalizacion tributaria, tarifas energia, club construccion sigue contratando estado, peajes ilegales.",positivo
"lucha corrupcion bandera autentica, entonces empecemos casa. dijo suicida peruanos primera segunda? escandaloso tarifas preferenciales energia grandes empresas!!",positivo
¿acaso corrupcion altos directivos sunat eviten fiscalizar principales contribuyentes? ¿acaso corrupcion maltraten contribuyentes microscopicos protejan conglomerados multimillonarios?,positivo
¿hasta esperaremos sunat fiscalice principales contribuyentes evadido delinquido anchas? ¿cuando multaran cerraran holding dionisio romero? ensañan chinganita barrio!,negativo
"deben investigados intromision confabulacion libre eleccion pueblo, quisieron mantener estatus intereses.",negativo
estan transmitiendo final libertadores mundo sorprenden puedan gresar banderas. jodan pues. quedando nivel mundial. jode bandera? malogran fiesta futbol,positivo
"creo deberia ""por alcaldes sigan arrodillando golpista cambio obras sobretodo coimas"" #ineptosdelgolpista #elineptodelgolpistadeshopping",negativo
atentos alguna jugada favor corrupcion,positivo
zorritos,positivo
"#tumbes ¡por trabajo articulado gobiernos locales beneficio ciudadania! titular pcm, inaugura congreso nacional ordinario alcaldes peru ampe 2019.",positivo
"inicio segundo congreso nacional ordinario alcaldes peru, organizado ampe, presencia presidente alcalde molina, alvaro barra; tambien acompañan, presidente concejo ministros,",positivo
"[tumbes] ministro, junto presidente reunen alcalde zorritos miembros tratar temas agricultura region. #minagrienaccion🤝",positivo
vivo| #tumbes: premier lidera congreso nacional ordinario ampe 2019 malecon turistico zorritos #tvperuinforma,positivo
decir premier,positivo
"#envivo presidente ampe, junto directiva, reunen presidente consejo ministros, vicente zeballos #hoymodocongreso #zorritos #tumbes",positivo
"entiendo diseña implementa politicas anticorrupcion. elegimos, acudir confiep todo? funcionarios? mejor entreguen poder privados vayanse casas.",positivo
"puede liderar lucha decisiva anemia desnutricion cronica infantil peru, midis, produce minsa intereso propuesta enviada hace año. solo pedimos oportunidad demostrarlo, consumo anchoveta.....",negativo
"premier, tambien podemos exportar conservas anchoveta, quinua papa erradicar anemia desnutricion paises sufren mal. primero comencemos nuestro, pregunte dra. talledo enviado anteriores premieres...a ordenes",positivo
apoyo disolucion.,positivo
alguien confirme premier postulando partido. parece mario zuleta( tambien postula partido “ojo morado”.,negativo
"asi, lucha corrupcion, tambien puede tener lucha frontal decisiva anemia desnutricion niños infancia, madres gestantes lactantes...solo pedimos oportunidad demostrarlo...digan presidente, enviamos propuesta",positivo
entidad demostrado sucio trabajo realiza debe disuelto!! hora paguen impuestos!,positivo
"lima requiere habilitar nuevas vias ampliacion j.prado malecon checa separadora industrial, dejo ceres,ojala hagan,es urgente",positivo
"sigue firme ""pero ninguna reforma concretas existe cambios verdaderos sigue entes justicia todas entidades pasa señor",positivo
ahora profugos denuncian essss democracia mierda vivimos hacen gana,positivo
"ayer casi 11pm manejaba matucana, pronto señal radio interrumpe, bandas 110mhz (1/2) era..",positivo
defensores ladrones odebrecht!!!!,positivo
camet pasa estan calladitos encima siguen trabajando quellaveco ganando obras millones protege casa obrainsa justicia debe igual todos.,negativo
seguro empezaron casa,negativo
realidad nadie atreve revisar manera afps administran fondos aquellos aportamos afps cada exaportantes contamos ningun beneficio decir apropiado dineroque hastacuando,positivo
jodan! miembro anticurrupcion hermanito #cuelloblanco jose lecaros ??!!,positivo
esperemos termine pronto.,negativo
seria bueno👏👏👏,positivo
¿como haran proceder esencia misma?,positivo
"moran permitan poblacion usar armas pasa brisa bolivariana,asi podemos defender casas.mas vale prevenir lamentar.como cuenta fuerzas orden estan siendo suficiente paises hnos.",negativo
dejen chamba ministerio publico poder judicial busquen inversiones privadas ahuyenten,positivo
sentados personas representan supuestamente combaten?🤔😏 vaya lucha...,negativo
"seria ilustrativo indagar, difundir positivo, proponer sistema canada. ¿como generan pensiones? ¿como administra fondo? ¿que ocurriria fondos individuales acumulados? edad jubilacion, años aportacion, etc.",negativo
"presidenta confiep participando reuniones anticorrupcion ???, jodan",positivo
corrupto cuando??? mencionan.,positivo
"gobierno corrupto; puede luchar corrupcion corrupcion gobierno...tenemos presidente denuncias fiscales...el fiscal rios calisaya, solo espera vizcarra salga poder meterlo preso...asi terminan dictadores",negativo
asi? entonces quite inmunidad vizcarra. gobierno corrupto inepto,negativo
"comision ""alto"" nivel resolver nada, debe comision permanente tecnicos pueda proponer politicas anti corrupcion hacerle seguimiento resultados hacer ajustes correspondientes, demas pura propaganda.",positivo
confiep =alto nivel corrupcion.,positivo
corrupcion gbno. gbno corrupcion.,positivo
"poder judicial serio asco! tipo jueces corruptos, comprados, titeres corrupcion, nunca avanzaremos pais, menos sociedad. #vayansefueratodos #funcionariosvendidos",negativo
dijiste,positivo
"soportar abusos cuellos blancos banca afp, debemos recuperar fondos, devolucion ahora!!!!",negativo
pasa pension hijo najajajaj buen chiste,positivo
