full_text,sentiment
"fustrado, lavese boca twiterear...boca buzon",positivo
dira batman mueres siendo heroe vives suficientemente mismo aplica usted señor,negativo
"habla vivir pero... usted nadie usted cobro soles estado!!!... ¿que decir exijo responda aqui ahora. criticar, intachable.",negativo
nauseabundo entrevisten siempre mismo tontuelos:,positivo
"disueltos dejan saquear estado, viajes?? igual viaje heresi eeuu entrevista jaime bayly decir pasear dinero.., disueltos dejan fregar..",negativo
"dichos donadores📺institucionales, ayudarian transparentar💰lluvia millones ergo, 'pruebas' confirman🕳️lavado activos porque, todo😴los receptores🐾serian cutrerazos",positivo
"rochoso acoso🤖cojuridico dichos👻prefabricados llegaran👾tergiversados desmentidos ergo, ameritando🤬tan torpe🕳️hostigamiento ¡📺via, allanada 'ro$kza💩mediatik'",positivo
"siempre votare ...no aprista,pero siempre representan",negativo
acabo enterarme vacio delincuentes aprovechan gracias responder,positivo
usado congresistas razon viajar fechas usando recursos estado??,positivo
paginas congreso estan mintiendo?? paso boletos avion aclarar motivo viaje..??,positivo
obligan bancarizaciones pequeñas empresas.....y transacciones???...,positivo
"aprueba presupuesto general congreso, aprueba viaja hace mesa directiva comision constituyente cuyo presidente olaechea.",negativo
otorga presupuesto. refiero. gracias,positivo
camet pasa estan calladitos encima siguen trabajando quellaveco ganando obras millones protege casa obrainsa justicia debe igual todos.,negativo
corrupcion llevan sangre,negativo
muestra sola mentira fujitroll.,negativo
congreso solo palabra voto keiko,negativo
"👏👏👏💪💪🙌 mejor explicado. nunca, aprende vitochito!",positivo
"señor garcia, entregas efectivo modalidad comun, recuerde vladivideos. pregunta:como financiaba usted campañas? aparentemente,todos politicos recibido ayuda economica,usted nunca recibio nada?es pregunta seria,seria formidable repuesta igual",positivo
"vitocho, hagas loco rasgues vestidura, practica normal quizas fernando belaunde habria recibido ayudadita, pongas manos fuego nadie, aparentes ingenuo viejo ello.",positivo
item! info aparece pagina congreso oficial! debemos pedirle reembolso agencia viajes! investiguen opinar 🤦🏻‍♀️,positivo
asco alguien capaz criar hijos forma correcta hacerlos independientes! nuera vive teta pedazo animal!,positivo
francia visitar ratalan,negativo
"entiendo vizcarra, autoriza viajes presidente comision constituyente, osea pedro olaechea.",positivo
