full_text,sentiment
desepcionaste votare ti... dra... blindaje descarado,positivo
ufff milagro culparon fujiapristas...,positivo
cada pueblo autoridades merece: elige. despues quejen.,negativo
desquiciada,positivo
gentusa jamas nunca mas.,negativo
bien desesperada llegar congreso toda costa sera desesperacion? miedo? gente bien jamas elegiran conocen topo,positivo
fujimorista???,positivo
jajajajajjajaa,positivo
"dictador, demas inutil, bruto. afirmacion lugar colera, lastima.",negativo
"interesantes cruda realidad, llegaron 2011/16 ollanta-nad,2016/21 ppk- peru dejo crecer decada perdida atrapado carcomido corrupcion odebrecht.",negativo
"cada dueño actos, lamento padre destino elegimos",negativo
intereses condoroto,negativo
callate enferma.,positivo
noooooooooooooooo,positivo
voluntad pueblo ejecutada presidente peru,positivo
"disuelta kkasena sra. acuerdas tambien denunciado condorito?...es chilenooo, chilenooo.... cobrabas 25000 soles hacer tremenda payasada tonteria",negativo
"condolencias. culpa tuya, piensa cojudiarnos",positivo
justicia peru lleva chismes.,negativo
calladita quedar despues elecciones congresales,negativo
"mejor deberia callarse usted,porque habla, defecando",negativo
ponen cada facil elegir #frenteamplio,negativo
"procurador anticorrupcion christian salas confirmo palabras respecto ministro humalista daniel figallo señalo sabes odebrecht, pone saca presidentes, cuidado despiertes leones""",positivo
comechados asco!! entiendanlo lumpen politica. oportunidad solo hicieron ridiculo.,negativo
foto habla solo....vaya dupla....se junto hambre necesidad.,positivo
nauseabundo entrevisten siempre mismo tontuelos:,positivo
llegado martin vizcarra corrija todavia,negativo
"tener pasaje vuelta representa regresar, puedes cancelar luego desaparecer",negativo
"trata puedo salvar trata darle calidad vida acompañe tiempo deseo legitimo cualquier hijo. solo pedi juez tener impedimento salida realizar viaje ayudar padre enfermo.,tenia pasaje vuelta",positivo
"disculpa, escondo? rosa batra? miedo? explicame mejor quieres decir",negativo
aprenda doña,positivo
"obrar bien siempre, luego queremos culpar desgracias",positivo
sabes vivir manera gorda loca?,positivo
gorda loca elecciones??,positivo
"pesame señor, pregunto, ibas salvar padre? acaso medico? trates responsabiliza perdida justicia peruana fechorias",positivo
"miedo dra. rosa bartra, escondes “carnem”",positivo
"lamento perdida sr.vieira, querer boicotear prueba evidencia actuar, algun juez creer volver?si calle creen menos juez. unicos podian salvar padre medicos aunque suene duro culpa",positivo
salvar? entiendo,negativo
caminas torcido pierdes paga familia. mira keiko!,positivo
"saludos estimado pobre diablo, sigue apoyando ignorantes discutiendo alguien conoce!!! jajaj clasica!!! toma taper...",positivo
"lamentamos perdida familiar debemos sentirlo padre, lugar echar barro intentan erradicar delincuentes, echate culpa mismo actos consecuencia. piensa siguiente intentes actual mal.",negativo
utilices drama disculpar falta. papa necesitaba lado...pero evadir justicia fallo tu!!!,positivo
opines... verguenza ocasionas topa,negativo
topo,positivo
hacer decir tenias historial buena fiscalizadora. ahora??? haran pedazo comentario..😞 consigue asesor,positivo
vilcatoma muerta enterrada cemento.,positivo
quemaste...ridicula .atorrante..,positivo
gusta poder,positivo
quieres voto vilcatoma? quieres oportunidad? mejor callate 🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫,negativo
"actual pdte gano pulso desprestigio mediocre supo altura defender instit igual alarcon/contraloria,chavarry/fiscalia, jodan ahora tibios/ debiles.",positivo
señora volvio completa loca...,positivo
"yayita bipolar? gemela diabolica? hecho transplante cerebro? escucho, creo. literal, creo!",negativo
¡atencion peruano! #peruteamo,positivo
"jajajajaja bueno dice distinguido caballero intelectual troll, gente inteligente dejo exhorto marcar escribir numero saludos.",negativo
debatir pobre diablo amiguito!! vaya debatir estan nivel intelectual,positivo
inadmisible jajajaja,positivo
"ociosa poner tantos verdad, disuelta, hace nada.....",negativo
"jajajajajaja, quisiera consulta legal contigo, tendrias volver estudiar",positivo
jajajajajaja pobre loca,positivo
olvidar. #terrorismonuncamas,positivo
"sueña condorito nunca llegar congreso, gente comida abrio ojos!!!!🤮🤮🤮🤮🤮",negativo
unico candidato encaja lista solidaridad nacional juega propio juego renunciara castañeda metan preso. ver!,positivo
"condorito chilenoooo, señores chilenooooo.",negativo
hacer condorito?,positivo
"trabaje casa, favor""",positivo
"congresista vilcatoma, vizcarra autoridad presidencial peru. delincuente usurpador!. constitucion ley. actos nulos. ¡boicot farsa eleccion congresal espurea enero 2020!",positivo
jajajajajajqj jajajajajajja jajajjajajaj vilcaloca chilenaaaaa!! !!!!!!! jajajajajajja jajjajajajajaj,positivo
loquita poder,positivo
🤷‍♀️,positivo
"nota estudioso adjetivos utilizas comentarios, jajajajaja ,quien ignorante troll pagado? cara debatimos argumentos claro ,dudo estudioso cara",positivo
¿alguien duda honradez señor ataucusi seguidores? unica oveja descarriada israelita”,positivo
"vota, decide vota poblacion, removiendo candidato favorito.",positivo
"comodin comodin comodin encubridora, blindas personajes nefastos creo vuelvas kongreso transfuga",negativo
habla locumbeta,positivo
parte obvia??? seguro osea habia dudas 🤦🏻‍♀️🤷🏻‍♀️,positivo
loca concha madre,positivo
gilasa condorito espera,negativo
sra.condorito usted saluda conviene. favor retirese politica carece etica.,negativo
jajajaja jajajaja jajajaja,positivo
seguir haciendo cantinfladas no...anda trabaja friegues,negativo
"luego trabajo, sostengo familia robar nadie trato mejor todo, logre cosa, saludos bendiciones",positivo
diria mulder: fuira,positivo
yeni zonza,positivo
"pobre payaso gente peru cada cagada congresista!!! puede esperar tanta gente ignorante pues, estudiar.. solo imbeciles animales equivocan veces",negativo
tambien puede hacer huelga hambre,negativo
huyyy huyyy... patita cuy...!!!,positivo
"pasa rpp, entregaron maletin $200k? candidatos entrevistar, dejen bombardearnos fujiapristas.",negativo
miente siempre miente,positivo
mintio peru,positivo
mandas abogado goro abogados perno 😡😡😡🤬🤬🤬🤬 pistolera,positivo
gente repudia,positivo
apoyo dra. siempre haber balance oposicion.. bueno malo.. sabemos.. damos todos.. toca bien sino tambien.. democracia.👍,positivo
muchas empresas.. conviene dicen nada.. solo congreso.. ojo.,positivo
entorpeciendo borregos gusta metan idolos barro barro hediondo.. deberian apoyar contraataque tipo corrupcion.. apoyan solo odio..,negativo
gollorias estan años.. 12.. tenias protestar hace mucho.. ventana red.. quieres bien pais critica dedo acusador..,positivo
sabes trabajar?? debes mejor padre abuelo marido.. imagino!!.. mejor ciudadano.. tambien trabajo.😉😉😉,negativo
"bueno, apenas queden figuritas, leer, supongo parecera propaganda. agrego quede claro.",positivo
"sirviendo goro, blindar mafiosos servir pais nunca hiciste procurador anticorrupcion contrario uniste ella, señal transparencia",positivo
"falta argumento viene inmadurez, gente gobernado quiere mas...",negativo
congresistas pais? bueno...⬆️,positivo
inconsebible periodistas sigan entrevistando impresentables barrera mulder nunca hicieron pais,negativo
"exploto ecuador, exploto chile, exploto bolivia, ahora explota pueblo colombiano. oposicion gobierno señor queriendo luchar dicha dictadura tuiteando cama.",negativo
adios solidaridad adios vilcatoma adios fuerza popular,positivo
adios vilcatoma,positivo
"caso congresistas pidieron licencia, insubsanable, plazo vencio noviembre,no documento fecha cierta anterior presentada resolucion inadmisibilidad. decir,para game over.",negativo
minuto 7:43,negativo
ojala ratas elegidos congreso...,positivo
xmillon,positivo
xmillon,positivo
"acomoda posiciones conviene. primera sabotear el.acuerdo, ahora campaña.y capaz hacer decir engañar votantes. miseria humana, escasez principios. tenemos.el poder decirle fuera!!!",negativo
pueden subsanar,positivo
curul,positivo
fujimorista comodin!,positivo
jajajajajaja! doña tremebunda reventon acido lisergico! 😂😂😂😂😂😂😂😂... condoritoooo chileeenooo...! 🤣🤣🤣🤣🤣🤣🤣🤪🤪🤪🤪🤪🤪👍👍🤪,positivo
fujimorismo? dira,positivo
quedar salga sancion marido contratos ilegales. peor contraloria denuncie trafico influencias.,positivo
"ahora admiradora amiguisima domingo perez, puedes seguir promoviendo tumben acuerdo odebrecht?",negativo
hacen propaganda publicando fotos,negativo
"wasonsa disuelta, seguro quiere denunciarla",negativo
jajajaaa jajajaa..... segundas oportunidades sra. condorito,positivo
largate inepta anda sigue leyendo condorito mirando diskoverykid avanzado..,positivo
kksenos nunca mas...,negativo
congresistas kksenos ahora estan flotando evitar terminen kloaca.. pregonan.. defensores democracia... mds.. 2020 terminara disolucion,negativo
ahora paren joder !!!!!!!,negativo
"cientos diplomas entregados cambio likes face... haciendo proselitismo tema anemia, cientos visitas goro otros... leyes?",negativo
escoria.,positivo
ninguno representa! tambien consciente solo puede postular marco partido politico servir! ahora servir que? intereses pueblo? creo congresistas perfectos verdadera conviccion luchar corrupcion!,negativo
extrañamos! queremos magnificas intervenciones congreso. #condoritoeschileno,positivo
alguien descifra jeroglificos favor comparta,positivo
"tropezamos veces misma piedra remedio, seguro seras congresista.",negativo
descubrimiento inepto..desde cuenta poblacion sufraga..ponte gobernar vago congreso culpes incapacidad,positivo
partido politico credicorp regalarte tarjeta credito saldo🤣🤣🤣🤣,positivo
"votamos pueblo, repudia queremos representes solo verguenzas babosa!",negativo
nadie cree! largate mierdaaa ahora pone suave casi escucha creemos! vamos botar nooooo! entiendes? noooooooooooo !!!!,negativo
mira payaso derecho opinar cara cobarde escondes perfil falto respeto nadie opinion,positivo
"jajaja bruta! ignorante, jamas permitiremos regreses, parasito! solo queda desprecio pueblo.",negativo
vieja!!!!,positivo
"creo mongolon entiende, mejor digasmole callate boca carajo ministro interior, delincuentes acorralados.",negativo
gilaza!!! dando diezmo puntualita. 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,positivo
"venga cosas favor ¿lucha corrupcion? jajajajajaja usted quiere tener toda seguridad gollerias tiene,mejor quedese casa",positivo
yahaira 😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥🤦‍♂️,positivo
serio? vizcarra maneja todo! engañes pueblo😡,positivo
"trabajando dijo! mejor dicho terminar negociados quedaron pendientes belaunde lossio,sinverguenza vilcatoma talvez meter familiares trabajen entidades costumbre😡😡😡😡",negativo
"vida, ahora toca: ""invocar condorito""",negativo
"solita puso soga cuello, anteriores votar cree actuales (antis) haran???? jajajajajajaja",negativo
"vilcatopa irrespetuosa, luego llora ponen sitio.",negativo
"asuuu cambio bella dama, calle dura.",positivo
fujiaprismo satelites nunca mas!,negativo
jajaja recontra genio,positivo
verdad critico castañeda cara palo ehhh,positivo
menos reconoces presidente.,negativo
🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕 fuck youuuuu!!!!!,positivo
yeeeeee!,positivo
puede.,positivo
oportunidad años?,positivo
viendo ella....,positivo
vilcatopa,positivo
vilcaloca puede?,positivo
sigue llorando,negativo
cara ganas vomitar,positivo
asxo,positivo
asco,positivo
asco2,positivo
asco,positivo
asco,positivo
"vieja csm..no otra, ganas discrepar canalla...",positivo
congresista condorita 😀😁😀😁😀😁😀😁😁😁😁😁😂😃😄😅😆😄😃😁😀😀😉😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😋😂😂😂,positivo
voto rata gorda jajaja,negativo
calla loquita atrevida,positivo
cierre boca,positivo
🤥🤥🤥🤥🤥🤥🤥🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫,positivo
alejandose patrona sinverguenza despues protegio congreso puede genio condorito chileno,negativo
pudrete ladrona servil fujiapristas basura,positivo
cree dijiste loca derritio,positivo
"condorita anabelle ahora estan suavecitas,... supuesto pantallas, pretendiendo estafar nuevamente electorado.",negativo
solidaridad pasara valla electoral,negativo
disueltos deben postular orden peruano,negativo
"mismo sra. nadie olvidado desvarios...ni condorito votaria chileno,es chileno.",negativo
conchuda miserable,positivo
vizcarra calla?,positivo
pudrete!!!,positivo
cinismo maxima expresion,positivo
"vilcaloca, vizcarra respaldo gente chileno",positivo
🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕,positivo
"fresca!!! acaso quedo claro peruano dejo tonto, lucha corrupcion hablas?, reunias chavarry sabiendo corrupto encima blindaste, esposo cobra estado, sabiendo abogada, ilegal!",positivo
oportunidad hizo,positivo
sra. vilcatoma extraña ahora admire prevaricador perez.,positivo
🤭🤭🤭🤭,positivo
"viralizar esto, joda mas. nadie hace falta",negativo
favor viralizar hacerle llegar nefasta double face.,negativo
"paso congresista, cierto dice presidente, cuidado pobladores ponemos gobierno sacamos, ejemplo votaremos usted ningun fujitrol nunca",negativo
"recuerda dieron cargo faltaban votos ahora necesitan dieron patada poto, hayyy ricooo",positivo
deben quitarle celular niña.,negativo
🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮,positivo
sentimos dimos oportunidad supistes aprovechar botaron ofrecieron pertenecer presidencia congreso regresastes convertistes huele pedos 🍊ahora llorar creemos,positivo
🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫 entera reincidente ...sancionara vizcarra #jee,positivo
vieja loca,positivo
deja fumar tarado.,negativo
"ahora sorprende saber kloaca quiere codearse hace chavetera keiko caiga acuerdo, suerte jamas veremos denuevo congreso",positivo
vilcatoma carita deberia verla tomarla cuenta,negativo
postulas sinverguenza,positivo
fuerza popular nido ratas abandonaron barco estan partidos,negativo
infantil.,positivo
"tipico, medios solo entrevistan impresentables, nuevos candidatos?",negativo
aburres,positivo
"claaaaaaroooo, mereces, sigas jodiendo ejecutivo, denunciando censurando ministros, pidiendole actas concejo ministros, blindando amigos corruptos, clarooo hacer falta, sabes ¡¡¡jodeteee",negativo
modo maduro cuidado,positivo
doña tremebunda cada loca!!!! solo salio cordura decirle presidente!!!!👇👇👇,negativo
olvides medicamento.,positivo
vendo litio plus premium...en presentacion nueva ...con magnesio huacatay...chupetin supositorio medium kl...se acaban.,positivo
"señora ahora muestra sorprendida, abrumada, tanta ""lluvia millones"", podria denunciar responsables tantas veces hacia disuelta?? denuncie señora creeremos. sino postulando webas🎃",negativo
😶😶😶😶😶😶😶😶😶😶😶😶😶😶😶😶😶😶😶😶😶😶😶😶😶😶😶😶😶😶😶😶😶😶😶😶,positivo
apagando!!!!,positivo
vilcaloca digo cada loca,negativo
estara anabelle vilcaloca. loca,negativo
"callese usted,señora incompetente.",positivo
"bruto. libreto, verdadero presidente facto corrupto",positivo
original.,positivo
insulto jovenes,positivo
condorito 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,positivo
familia llamas eso? tambien serian complices organizaciones criminales,positivo
callate presentas entrevistas vestida cordero. queriendo hacer olvidemos hiciste bancada naranja: joder boicotear,negativo
"sigue pensando perez ""buen camino""?",negativo
calabaza comodina,positivo
noooooooooooooooooooooo!!!! parte entiendes!!!!,positivo
malcriada!,positivo
bien conchuda querian licencia dejar cobrar ladronas mierda sabemos mierda basuras,positivo
terrucos,positivo
"loca! quieres regresar haces mierda, anda psiquiatra.",negativo
"dios mandado infierno, sata dado leña queme sola",negativo
lastima,positivo
susy mejor naca,positivo
jajajajajaja,positivo
condorito. plop!,positivo
gracias,positivo
dice presidente corrupto aceitado odebrecht,negativo
corrupta 🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫,positivo
"anda sirve tamales, queda mejor... muerta hambre",positivo
asco,positivo
jajajajaj,positivo
libertad expresion derecho constitucional,positivo
"bestia, gorda",positivo
vacancia,positivo
jajajaj viene inocentes,positivo
"vilcatonta, puedes aclarar deseas expresar?",positivo
