full_text,sentiment
mierda asquerosas,positivo
"pornografia, digame, enfermos?",positivo
vean brazucas flamengo confundir transformers ahora estan bien arriolas copa.,positivo
"unicos excluyendo proceso electoral, punto elecciones tratan ciudadanos decidiendo congresistas super poder voto determina cierra puerta nariz.",positivo
"verdad, mismos. hora empiece vincular frecuentemente, despues peruano promedio lleve sorpresas.",negativo
#terrorismonuncamas !!!!!!!! #fueracomunistasdelperu !!!!!,positivo
6??? numero seria excellent!!!!,negativo
retuiteo lacra publicitarla,positivo
desempolven pinochito arrase mogosos,positivo
"insisto, sabes opinas.",negativo
derecho manifestar entiendo rayos exponen niños ambiente?,positivo
"disculpa sentenciados alimentos violencia lideran lista partido morado, julio guzman, regiones.",positivo
rosquete desesperado sabe mantener maridos,negativo
"vayan ,para entrar pateas muerto pretender curul! modo deberias tener postura defensa democracia clara ambiguedades pones modo recapacita tiempo!!",positivo
asco!,positivo
porq detienen... actos pudor niños familias calles... respetos guardan respeto... ninguna derecho fastidiar.,positivo
afirmacion entonces informacion seria bueno buscar expedientes cada crees rollo pensar quieras 🙃🙃🙃🤣,positivo
"problema votar dos, votas toda lista, sentenciado pueden obtener curul tambien.",positivo
gentita enferma apoya toda pobredumbre llamada izquierda.,positivo
cortito ideas comentario repitiendo dicen,positivo
declaran improcedente candidaturas gino costa alberto belaunde,negativo
vale recordar palabras,positivo
¿que opina,positivo
"importante aporto miren reportajes votaba defendio lucho, pocos vale rescatar congreso patetico.",positivo
aporta ahhhh. imbecil!!!!!,positivo
"voto lima, muchisima pena estes lista partido rabo paja, lider deja desear ...no tiempo renunciar continuar lista.",positivo
ojala puedan nuevo congreso cambiar tipo elecciones ...los partidos politicos suficiente maduros preseleccionar mayoria candidatos,negativo
"nadie vote fujimorsmo, algunos, accion popular, etc. saquen ahorros",negativo
jajaja. estan incongruentes angurrientos...,positivo
"señores,no cloaca",positivo
"jajajajajajajajajajajajajaajajaja., candidato aborto mafionalismo",positivo
razon gusta morado sera color dejan golpes,negativo
justo tener vivir tener agenda hagamos marcha,negativo
"pucha ""jee lima centro declara improcedentes candidaturas gino costa alberto belaunde""",negativo
tiempo salirse,positivo
"bien denuncias, acuciosos filtros, frieguen, lastima defensor casos, puede involucrar imagen, tiempo renunciar",positivo
"mora,saco sunedu,partido morado .numero",positivo
"podria solucionar ello, favor? votare usted!",positivo
"parecer», afirmacion igual agradece dato representante provincia pfff",positivo
veremos coherencia,positivo
puede.,positivo
c.c.,positivo
pues gente decente #tumbes.,negativo
coherente gusta jugar rudo jugar limpio. interesa llegar parlamento cualquier precio.,positivo
tara distincion clases sociales economicas.,positivo
"tres tristes tigres, llorando plañideras piconas, quitaron chamba ademas rajando gente buena debe volver congreso verdad, disfruto loca, ustedes nunca volveran congreso, rufianes!!!",negativo
peruanos padecemos culturalmente tara.,positivo
"problema eugenio dejar cosas ultima hora plaga nacional. cultural, falta ella.",positivo
"punto vista lejos, deje felpudini impresentables",negativo
necesidad quedar bien diablo.,positivo
buena hora rosquetes sido separados./! ojala nunca vuelvan congreso..!,positivo
"acuerdo,en anforas realmente pueblo” decide quiere represente,no encuestas menos truchas demosle oportunidad regresar congreso “holgura” economica contrate amigui",positivo
cosa. punto prohiban hacerlo. consecuencia dicho actuado carril depende cada uno.,negativo
"ellos, querian congreso? querian reeleccion? consecuentes? creerles?",positivo
"pena necesita billete poder vivir holgado, pobre hombre.",positivo
atentos debate.,positivo
excelente. tenemos.que tomar cuenta votar. region. juicios alimentos dicen,positivo
valentin paniagua fusilado pensarlo veces,negativo
"ninguno deben competir demuestren coherencia decian respecto cierre congreso. decian pueblo queria todos"" apoyaron cierre. pues. ¿que hacen postulando? nadita consecuentes.",positivo
buenos compañeros,positivo
"honor verdad, puedo aceptar permita miembro comision permanente postule congreso. resuelve puede flexible fechas licencias. pienso deben competir.",negativo
cuadros o... rejas guzmala.,positivo
100% acuerdo alberto. esperemos pais entero cuenta esto.,negativo
"morado, mejores cuadros? cuadros cocina?",positivo
limpiecietos decian,positivo
finalmente color provenia hematomas conyuges elegidos dale campeon!!! financiamiento oscuro deberian alejar coraje,negativo
"parece conchudos formaron parte peor congreso historia, lancen reserva moral, creen solo pueden postular? decencia deberian retirarse politica toda generacion corrupta politicos!",negativo
reeleccion congresistas??,positivo
"1984 george orwell, resumen mundo “luchas sociales”. europa cuenta implementacion leyes “igualdad” traen desigualdad. educacion real clave, adoctrinamiento.",positivo
"respeto procesos fechas periodo democracia interna designar invitados. candidaturas pepi patron, jose elice demas invitados, improcedentes, deberia cambiar. argumento clarisimo",negativo
"verguenza mismo vientre alquiler, personas?",negativo
recontra seguro,negativo
"acabamos familia, gracias fotos 🥰🥰🥰🥰 reeeadmiro respeto. gracias apoyo oportunidad. gracias exitos siempre!!! 🙌🏻💪🏻",positivo
paniagua abrio carceles terrucos!! viejo inepto falto caracter!!,positivo
permanente ¿que carajos pasa?,positivo
"🤦🏻‍♀️q triste realmente tenia involucrarse politica tannnto importa pais invierta dinero educacion, escuelas muchas cosas necesita pais.",positivo
"pura verborrea. regimen japones termino 2000, gran fuga fuji. fujimontesinismo corrupto infiltro aparato estado. ningun gobierno posterior intento remediar problema, contrario permitieron seguir control grupos mafiosos.",positivo
"medias tintas. seguimos asi, significa aprendido desastre kongrezoo anterior. menos resigno volver caos. romper corrupcion procesos.",negativo
¿que paso?,positivo
pura verdad.,positivo
votare independientemente partido encuentren. peru partidos serios menos confiables. solo queda votar politicos demostrado hechos velar intereses ciudadania.,negativo
puede postular?,positivo
dime partido politico postulantes cuestionados,positivo
deberian paso costado,negativo
