full_text,sentiment
congresista alcorta! extrañando compañeritos????😂😂😂😂😂😂😂😂😂😂😂😂😂,positivo
efectivamente... etica importante tergiversan hechos ocurridos. entiende,negativo
creo nadie respete!,negativo
primero hacemos respetar mismas!,negativo
quieren respeto solo mujeres sino humano promuevan paises mejora educacion dejen injerencia comunista promuevan cosas buenas inviertan necesita dejen publicar mensajes fondo.,negativo
"equivocas, fujimori arrebato vidas 😁😁😁😁😁😁😁😁😁 ahora quieras aceptarlo problema",positivo
autoria mierda,positivo
nueva publicidad vean fujimorista,negativo
"prefirio comerse cana,hacer sufrir hijas proteger ""padrino"" dionicio romero.? mela",negativo
pasen cajero,negativo
"comentarios encontrando cuentas ""insignes"", normalmente medios mueven visualizaciones precandidatos, ahora estan:",negativo
corrupcion borran corrupcion jefa,positivo
".... mvll nobel corrupcion"" ....ni diablo robado tantas vidas mvll peru",negativo
sucede cerda.,positivo
seasap,positivo
oportunistas caviares,positivo
"comodines, intereses personales encima siempre.",negativo
horror candidateen martha chavez mulder.,positivo
"karla kalle aprista, twitter cuenta clase persona",positivo
"memoria sufren amnesia, descsrados",positivo
tendran pagar comunistas bienes libertad disponer tesoro publico creando impuestos. dado cuenta dictadura debe legislar impuestos.,positivo
democracia congresistas elegidos peruanos elecciones.,positivo
"imbecil, manera tragamonedas paguen impuestos. 🤮🤮🤮🤮",positivo
"claro, congresistas legislan exonerar tributariamente empresas poderosas? favor.",positivo
insinuando votar,positivo
casinos buen tema,positivo
jajjaja ministra inepta,positivo
casinos? estaran felices,negativo
dije .presentaras!!,positivo
cambiado cartel tantas veces... menos hara empresa. next,negativo
"exacto falta trabajo campo, metropolitano, corredor azul, clase politica nunca subido transporte publico",negativo
"verdad llame metropolitano, corredor azul, tambien colores. existen diferentes numeros c.azul 301,2,3 ende diferentes paraderos arequipa vias cada lado.😑 chanchos vuelan dormir disminuye estres",negativo
jajaja pais leyes tontas sacan ustedes... crees poner letrero. soluciona.,negativo
naranjas dios!!seria escandalo,positivo
what happening hong kong only beginning social implosion china will world-wide terms economic unrest,positivo
