full_text,sentiment
ahora preocupas jajajajajja,negativo
"lamentable, luego disueltos ponen plan dizque apoyo comportan buenas inocentes personas hicieron region peor peru, bueno saber gente sabe clase individuos son.",negativo
contado mama keiko hecho acusada encarcelada?cuentenle verdad misma saque conclusiones.,negativo
manipulacion.,positivo
"siente,que llevo diezmo sueldo,teniendo millones guardaditos...yo,me sentiria estafado cojudo,es opinion. keiko,se hizo jajajaja",positivo
"escrutinio pusieron propios padres, verguenza defender inocencia niño temas legales. deberian pedir bien padre deber hacer show vaya cuidar hijas. padre queda grande palabra.",positivo
"lastima escudan niña mejorar defensa, puede ocultar actos ilicitos. engañaron militantes partido, obstaculizaron investigacion, ahora buscar pena usando hija, peor. #fujimorismonuncamas",positivo
"nunca supe carta keiko torturaron madre, menos hija aboga madre aunque dirigida mente miserable puso reparo usarla.",positivo
llama kyara...,positivo
verguenza deberia darles...,negativo
justifica utilizacion publica niños.,negativo
bien arrepintio candidatura. sintio rechazo electores paso atras.,positivo
"bueno mayoria recibido dinero bajo misma modalidad. ppk, seguro mas.",positivo
fujiapristas alcantarilla,positivo
jajaja mande carta papa mejor exorcisen keiko diabla.,positivo
pregunta?... sabe tenia dirigirse tc?.... inteligente niña..????..... puro sentimiento familiar.?!!..... claro tenia hacer ahora justo decidir libertad... alejandria cuento???,positivo
ministerio mujer poblaciones vulnerables deberia tomar carta asunto denunciar fiscalia niña caso mediatico judiacilizado. todas aquellas personas exponen,positivo
"apelando ingenuidad verdad hechos. miserables creer exponiendo niña, libertad.",positivo
"pensar niños saben escribir pirque escuelas pueden aprender, robado sarta politicos delincuentes, lo,unico buscan saquear peru tapers, loncheras, tamales",positivo
vienen huelgas,positivo
"carta escribio. carta pudo salir mano niño colina, grupo hija presidente defiende, asesino cruelmente cadaver padre. fujimori estan vinculados corrupcion. junto ellos,",positivo
"sera sucesora keiko? enseñen defender ladrones miserables, padres favor niña tiempo cambiar vida",positivo
pitonisa???,positivo
"¿por mejor regresas amenazar gente papa jodiendo pais, mafiosa?",negativo
"chela? brindis, puchos resacas! chela ""hacer algo"" nochecita, saludo sabor consistencia cuzqueña pequeña botellita pone mesa, heladita quedarse perdiendose ocurre, cotidiano tantos!!",negativo
necesita madre,positivo
¡¡¡¡¡ !!!!,positivo
"entiende siempre poderes legis,ejec, judic,tc, d.del iglesia hacen vista gorda c/inequidad pensionistas: 20530=cedula viva c/aportes 12.5 años reciben 99.72 veces s/.500.00=jefe 19990 c/aportes c/+d años reciben s/.500",negativo
todas demas niñas madres estan presa cometer delito poquito dinero vaga keiko recibia millones daba gran vida sinverguenzas,positivo
"sabe quiza opinan mismo padres, dicen proyecta lleva dentro!",negativo
"blindadoras, vendieron rratas asquerosos cerda.",positivo
pobre justicia #peru,positivo
poder judicial palaciego.,positivo
"usar hijo” calle, microbus, paradero lugar publico pedir limosna; exponiendolo cualquier peligro calle, usar tiempo conseguir trabajo, hay!! falto principios.",negativo
"los.hijos caracol desean mismo nadie haria tanta publicidad, cambio prensa pagada milloncitos recibio telellorona mark vito rebota medios. hartos tener todos.los.dias familia fujimori .en.primeras planas.",negativo
"descarado menor. bueno, sabemos familia hijos. hizo respecto susana.",positivo
deja trago alcoholica porqueria,positivo
pena usen hija lastima,positivo
"carta dictada, manipulada miserablemente conveniencia, recuerda chat congresista preguntaba: aplaudimos jefa?",positivo
pensaba keiko mira ahora justa razon padres solo queda rezar,negativo
bien dicho!,positivo
"millones dolares, compre madre...",negativo
29.5 millones miserables... #nopasaranlavalla... fujimoris puros shows... haciendo ridiculo...,positivo
vayan mierda show rediculo,positivo
"puede defender argumentos validos, llegan bajeza ruin utilizar propias hijas, propio fujiratas",negativo
"señora! cualquier persona quiere proteger incluso vida, hijos. exposicion solamente victimizarse. inutil papa? niñas, momentos, naturalmente deben duros ellas? claro, huelga",negativo
pobre niña... envuelta ruin... tanta manipulacion,negativo
"simplemente niña sufre madre derecho escribir carta, carta personal hecho publica motivo criticas burlas derecho sucede pais keiko familia.",positivo
"cartas padre preso marido dice hace huelga hambre ahora sacan carta niña obviamente deja decir! señores, padre preso hora haga cartas abuelita, tia, perro, empleada, gato enviarlas medios suelten.",negativo
"niños deben protegidos. deberia privado, publican show. pobres niñas culpa alguna corrupcion familiar fujimori, cargaran estigma, lamentablemente.",negativo
carta demas niños niñas? proteccion menor primordial. puede avalar show,positivo
niña! vulnerar derechos exponerla. falta total respeto abuso,negativo
#jojojo #feliznavidad! #kiara #carta #keikofujimori #ernestoblume #blume,positivo
unico cierto aqui hijos tendrian pagar crimenes padres. justicia. ciega indolente muchas veces.,positivo
"fujimori utilizo hija keiko dañar madre, ahora keiko esposo usan menor hija salve carcel, quedara corrupta traidora patria. familia!",positivo
mejora redaccion alejandrita.,positivo
"ahora procesos pendientes resolver hacer cartas mano, hacen hijos, mejor",positivo
"duda sera grande, miserables aquellos burlan valentia coraje!",positivo
fujiapristas alcantarilla,positivo
estan decir? pretende volver congreso.,positivo
maestria que? obediencia. paro siento? aplaudo grito? plop!,negativo
"menos sale hablar, tonterias esta. estan impresentables congreso movian indicaba pagando favorcito?? decir?",negativo
justifica autocracia,positivo
parece sobona gobierno golpista disolvio. calladita bonita aramayo.,positivo
felicitas general directora hospital policia hecho tambien? hospital lastima mayoria medicos ganan vendiendo descansos medicos mientras pacientes mueren atencion; gran jale hizo presidente,positivo
"extorsionadora, puede mejorar",negativo
"creer,,donde siento",negativo
espera respuesta.......sin animo discrepar,negativo
disculpe podria acercarse hospital policia preguntar abastecimiento medicamentos....,positivo
"fujiapristas alcantarilla, nadie quiere cerca",negativo
dijo cierto. fujiapristas alcantarilla nunca mas!!,positivo
"cree hara algo? ministra salud ¿que hizo salud policias??? ¿termino construccion hospital policia? implemento personal salud sanidades policia, soluciono desabastecimiento medicina insumos",positivo
precedente,positivo
