full_text,sentiment
quieren pais caotico rojos aman violencia,positivo
perdon lavo lamo tapers,positivo
solo lavan activos ustedes,negativo
gracias evito lavado.,positivo
"bla, bla...asi ustedes. quejan ustedes mismos hacen. cambia discurso cuñao, desgasto três ultimos años. anda lame taper dije dejalo limpio mascota.",negativo
problema adjetivos usados frases peroyativas. incluida izquierda recibieron dinero fuentes solo conocen caso izquierda dijo parte provenia mineria ilegal fuentes arguir colectas rifas,positivo
"anda lamer taper fujimoco inmundo. susana nadie defiende necio. creyo puede culpar existen fujitroles, existe gente creyo discurso. acaso sabias lavaba platita?",negativo
gracioso indique izquierda sabia pensaron saco tinka gadto campaña? andaaaas,positivo
acuerdo,positivo
"susana angurrienta mentirosa, aprovecho izquierda beneficio propio. nadie defiende contrario fujimoristas apristas prefieren cambiar paradigmas aceptar error pedir perdon peruano pobre.",positivo
"vamos cambiar. sistema soporta mas. empresarios parias quieren vamos hacer, apareceran alguien dice venezuela, pena venezolanos defiendan. patria cuida defiende",positivo
keiko tambien,negativo
creen salvadores peru,negativo
"supuesto, aquellos comparten ideologia tambien oposicion politica recibir algun tipo consideracion caso llegar gobernar. tactica empresarial generalizada siglo",negativo
opinion huanuyo: residuos solidos deseados ✍escrito alberto quintanilla chacon,negativo
keiko ponia venta pais dionisio romero comprando. claro.,positivo
apropio extensas tierras selva acusaciones deforestar ilegalmente...grupo alicorp,positivo
queria salvar peru haciendo tratos arberto tambien.,positivo
izquierda secescapa millones alcaldesa abra. humala chavistas odebrecht,positivo
encima ley??? 2011 delito aportes campaña?,positivo
"sienten??? jajaja estan encima ley, salen decir rompieron mano paso nada, sigue igual, pais mierda",negativo
hizo obtener ventajas economicas ilegales?,positivo
"""sienten"" estan encima ley. demuestra modelo economico peruano lejos, liberal. modelo oligarquico rentista, basado apropiacion ilegal riquezas pais.",positivo
"sube baja mundo indecente esforzado inocente sabe trabaja. pasaste caja cobraron propina, enyucaron bien fina banco plata pal' bolsillo china.",negativo
"hizo salvar peru, deberiamos agradecidos condecorado orden congreso.",negativo
bienvenido #bkp #bcpnuncamas,positivo
muerden lengua miserables rojetes culos abiertos. ratas comunistas.,negativo
dice aportes chavismo amigo humala?,negativo
ahora sentido...,negativo
"claro, debian recibir plata venezolanos brasileños odebrechteros. alli pasaba nada, irian formar parte andamiaje caviar odebrechtero.",positivo
simple entender favor favor paga ....,positivo
"pobres diablos postulan nuevamente congreso, acuerdo cierre mismo. falta coherencia!!!! amerita programa dominical efectos evidenciarlos",positivo
personas indecisas. muchas estan esperando presenten todas listas decidir voto.,negativo
sorprende.. ideas acciones brillantes oscurecidas defensas torpes atornillamiento defensa supuesta democracia maduro.. entendera izquierda consecuente,positivo
condenados repetir historia.,positivo
"encuestas truchas, medida acerquen elecciones iran ""sincerando"".",positivo
nivel corrupcion?,positivo
"preocupante fuerza popular segunda lista preferencia... fin, puede cambiar semana elecciones, esperemos listas oficiales decidir",negativo
mismo siempre cada eleccion informa grado corrupcion integrantes cada bancada apra medios comunicacion prestan juego manejado intereses rasguen vestiduras queda saber votar amigo,negativo
apoyaran maduro cuarta reeleccion estaria mejor igual derecha conviene delito,positivo
izquierda nunca aparece encuestas eleccion anterior volvera soprender.,positivo
"sorprende, intereses juego status quiere perder poder, posible.",negativo
"dispersion juntos, peru libre goyo lado afecta, incluso frente amplio. punto, involucrado tema mendoza-cerron, paso",negativo
"izquierda lacra sociedad, pueden tener propuestas buenas sectores vulnerables sirve proponen modelo devastaria pais, luchan inversion privada, pais miseria todas propuestas desague",positivo
guardando fuerzas money 2021.,positivo
sorprende intencion periodismo ocultar partidos alternativos sistema mismo television,positivo
tambien quintanilla dammert. ojala vuelvan tambien.,positivo
mencionados solo tentando reeleccion.,negativo
"renunciaron principios podian lista funestas alianza, salvo resto pretende regresar lumpe ocasiono crisis, ojala ningun logre",positivo
especialmente recordara peajes,positivo
"recuerde partidos vienen atras, comparto gente valiosa partidos",negativo
sorprende. malisimos.,positivo
dejando espacio impresentables...,negativo
"sorprende izquierda lista. representantes hicieron gran papel congreso pasado, esperemos logren ingresar parlamentarios mismo nivel.",negativo
"complices corruptos, ahora hablen pyes carajo rojos.",positivo
"keiko libertad basta enzañamiento politico, terminran corrupto toledo basta seguir odios cada fortalecen carsjo.",negativo
fujimoristas carajo.,positivo
"nadie dice nada, corrupto complices corruptos.",negativo
"acuerdo, basuras politicas deberian presentarse reeleccion 2020, realidad nunca deberian hacerlo. protagonistas cierre congreso, verguenza nacional, peor",negativo
calla mierda...,negativo
encanta echar gasolina fuego. constitucion igual puede avanzar.,negativo
"usted queria reeleccion inconsecuente dice defiende, adoctrinados cada reunion, trabaja nuevo orden haciendolos vulnerables adherencia facil nuevo orden verguenzas",negativo
quintanilla gobiernos izquierda chile hicieron? tuvieramos constitucion hubieramos insertado mundo permitido recursos congreso gaste merecerlo sido parte nunca opuso ganar,positivo
bolivia venezuela tambien?,positivo
¿que opinan?,positivo
copiones?,positivo
hecho constitucion peruana partes copia constitucion chilena...,negativo
nueva constitucion. conversan grupo puebla.,negativo
claro. olvides marcha venezuela represion.,positivo
nueva constitucion.,positivo
"señor quintanilla, apena vaya postular nuevamente pensaba politico diferente. ansias poder llevado realizar alianzas cuestionables defender indefendible. espero reflexione.",positivo
"cada dia, fujimorismo. habla fujimorismo. acordamos velorio",negativo
agarren flor maceta todo...,positivo
exacto sinverguenzas pobres diablos,positivo
"acompañan asisten programas politicos entrevista enteramente solo dedicada frustrada alianza gobernador junin...que manera joder, pasada chincha",negativo
