full_text,sentiment
union familias corruptas tontos utiles defienden.,positivo
ahora dinos dicto texto sacaste? sabes mierda,positivo
"parece sentada congreso aprendio cositas legales, ejemplo debe saber bien prescripcion, sabe",positivo
"chihuan hizo descargo mañana canal pidiendole ctas correcta #señorak sol, juega peru decia",positivo
"diran independientes. asumen ninguna responsabilidad propia, menos ajenas.",positivo
seria interesante saber opinan declaraciones abogada,negativo
"creo, tome nombre emitir opinion. crea quiere decir demas tampoco. ubiquese!.",negativo
"hablas oe... cuenta escribe viejito??? congresista, pagado peruanos",positivo
"viejito monopoly, penderejete toda bancada",positivo
peee... señor abogado gana juicio,negativo
keiko,positivo
keiko,positivo
votos poder desparacer partidos criminales.el pueblo poder pueblo quita.,positivo
pasenle cojudaso amix detesta. convencido huevas representa venezolanos.,positivo
"ahora necesita,no pasarse sino tomar desinfectante marido juestes korruptas aunque desinfectante limpiaran basuras",negativo
indignante cuanta plata desperdicio sueldo especimenes tres años.,negativo
"bueno tragara tierra volverlos minina, conchas haran oidos alan (gordo)",positivo
estan decir? pretende volver congreso.,positivo
prueba legal deshonestos? basta vomitarlo ventilador sino presentar pruebas. caso contrario difamacion.,negativo
trabajando mesero mesera yunaites preguntale,positivo
diran impresentables pusieron servicio keiko fujimori pagar favorcito usando congreso??? demas? sera trago tierra?,positivo
"menos sale hablar, tonterias esta. estan impresentables congreso movian indicaba pagando favorcito?? decir?",negativo
hacer ahorristas? autorice hagan aporte nombre. aportar campaña alguien despues orden persiguieran apellido,negativo
atencion ursula letona diran ahora injustamente presa,positivo
quiza corruptas mujeres... mejor dicho,negativo
error idiota...como habeas corpus define korrupta keiko culpable....eres imbecil repasa coquito. el.habeas corpus definira prision preventiva ajusta demanda judicial justa...tenias fujimorista,negativo
"jajajajaja, mismo argumento metio congreso, plop!!!!",positivo
"malas juntas,",negativo
#reyconbarbaytudela #panorama zulema tomas #cuartopoder,negativo
-.-.-.-,positivo
-.-.-.-,positivo
-.-.-.-//,positivo
-.-.-.//,positivo
"bellas son, lucianita leon sabemos podemos dejarnos llevar preciosidad. veneno puede oculto frasco hermoso",negativo
tipejo este!!!,positivo
mayoria peruanos respalda 60%.. baje igual congreso etc.. entonces seria desastre !!!!!,positivo
mesera millonaria,positivo
hija general chacon....agradece ejercito aprovecharon...para vivir comodamente. quiero opinar,positivo
"ahora resulta argumento cuestionar acto, proceso, accion tocamos constitucion. decir cruzar calzada tambien debemos hacer mencionar constitucion. parece contitucion marco legal general, integral especifico.",negativo
"derecho nada, primero vean manejaron congreso irresponsablemente seguir indicaciones jefa, señora ""k"", segun cesar (alias hermanito) ningunearon dicho congreso, miembros comision permanente.",negativo
bueno chistecito,positivo
