full_text,sentiment
"basta sola posicionar nombre, ¿por asoma casi leido nombre. semana baja visualizaciones, posicionadores alcance medio. raro, semana baja.",negativo
"votar foto, digo ojala voto vaya felon felpudini dictadorzuelo",positivo
pensado. traidores nunca,negativo
carlos ramos pronuncia caso proxima semana deside,positivo
????????????? modo sindrome felonia contagioso. 😁😁😁😁😁😁😁😁😁😁😁😁😁,positivo
"¿cuanto plata habra tocado dinero efectivo, contante sonante? creo sido mensos defender indefendible, gratis.",negativo
crees tonto feliz pro-puerka??,positivo
"dejes pindinga, cuenta hay.",positivo
supuesto. ahora golpeando pecho,negativo
creo momento barriendo suciedad!,positivo
siempre comodin seguira buscando acomode mejor robar gana; olvidar formado politicamente apra.,negativo
ahora podra salvar,positivo
tampoco topo,negativo
mencione pidio aferrarse semaforo lugar octogono querian confundir consumidores? explicacion octogono semaforo:,positivo
"bueno, salga explicarlo. jajajaja. viene noche.",positivo
"señora, respete vayase csm.. boca castiga!!",negativo
mmmmmm,positivo
habla salaverry,positivo
unico creia señor. grabenlo fujiaprista siempre debajo manga cambian nunca,negativo
salaverry chiquito caia pesado.,positivo
obvio keiko,positivo
puso mayor enfasis gobernantes turno dice dicho platita leyes perjuicio trabajadores,negativo
diga debe comer.,negativo
ahora kojudo pinta decente,positivo
chavo palabra.,positivo
"ahora pues, salga hablar, diga verdad. hecho querido sabandijas, importarles nadita pueblo, pais; daño hecho, pretenden llegar congreso.",negativo
¡habla! salvas repudio ciudadano hartos politicos sinverguenza vividores pueblo,positivo
mismo postulando presidencia 2021??🤦🏻‍♀️,negativo
"judas, cobarde, miserable, deshonesto, oportunista d.salaverry creen, señalar.",positivo
mayordomo turno.,positivo
"miserable, encima salio justificar semaforos alimentos.",negativo
sorprende despues enterarnos empresas aportan campañas protegerse puede esperar.,positivo
habla ubi.,positivo
duda cabe! natacho fujimori! cumplia orden dudas murmuraciones!,positivo
"yujuuu.. pendejaso, estas, escondido 🐭???? mmmm..... seria bueno, bueno, salir aclarar #senorak dijo tumbaras octogonos perjudicando pais favoreciendo muchachos alicorp plop🐭 habla habla?",positivo
seguro mismo podria responder pregunta,positivo
pasaran.,positivo
daniel salaverry congresista presento proyecto implementar semaforos remplazo octagonos proyecto beneficiaba directamente empresa dionisio romero. ¿fue orden,positivo
"aportes bancarizados: ""eso corruptela, necesariamente delito"" decreto urgencia aprueba control funciones empresariales",positivo
"calla pito, judas",negativo
respeto equivalente tolerancia!?,negativo
seguidor gustoso apoyarlo potencial campaña presidencial espero noticias saludos,negativo
"caso portales noticias generan visualizaciones nombres, caso misma ayuda pesos pesados redes, (entre ambos superan 6millones seguidores)",positivo
nombres leidos pre-candidatos nuevamente supera luego empatan posibles lecturas nombres.,negativo
acumulado 11-17nov pre-candidato mencionado (luego veremos porque) seguida puesto casi empate tecnico demas pre-candidatos casi nada.,negativo
"semana pico miercoles, mientras sabado movido bajos picos semana cuanto cantidad menciones twitter, demas demasiado bajos.",negativo
felon,positivo
daniel mucha gente espera noticias ...queremos trabajar 2021,negativo
tarde.. hechos consumados,negativo
prision tambien estara contigo..🥴,negativo
presidente..!! 🇵🇪🤛🏼,positivo
"jajaja serviste pais? jajaja manera arrimandote, uniendote mafiosos corruptos gran mayoria congreso luchaba, hiciste ganar popularidad ignorantes, dignidad traicionaste votantes",positivo
osea vieja,positivo
"ignorancia cague risa jajaja, bestia mierda piensa informate primero hables estupideces",positivo
"traidor mierda inteligente cuales delitos cometidos chavarry, acaso llamada telefonica saludos delito? congreso puede acusar alguien tener pruebas, blindaje, judas",positivo
leiva falsa,positivo
"tipico ""machito social""",positivo
cobarde carachita!!,positivo
traidor corrupto salaverry,positivo
curuju!,positivo
aja!!,positivo
urresti,positivo
puro teatro! malo!,positivo
#marckctm,positivo
quemaste cerebro,positivo
curuju!,positivo
agua sucia #lapestilencia,positivo
