full_text,sentiment
nuevo peru posible.,positivo
anda toledo conchudazo toledista,positivo
bien cambie saludo parece apuñalando alguien,positivo
friegues. ppc.,positivo
falso,positivo
partido morado nuevo,positivo
"solo queda honor presentacion, minimo ideas comunes plantear soluciones reformas impasse constitucional pais. sera mismo,c/u defendiendo rincon interes personal, trascender antiguos tribunos",positivo
edmundo........excelente.......nuestros candidatos lima provincias haran bien.........a seguir adelante !!!!,positivo
traicionan peru! avalando fraude concurso junta nacional justicia corrupcion? esperan consuma fraude solo interesa votos? ¿prensa periodistas analfabetos? concurso publico dejaron expulsar prueba conocimientos?,negativo
esperemos pongan candidatos pusieron surco,negativo
"acuerdo👍 pretenda pasar piola, satelites keiko-alanismo👎 hace tercio. voto vainas👎 #atvnoticiasmatinal",negativo
unidad hace fuerza adelante felicitaciones candidatos accion popular,positivo
"seran buenos representantes pido cuadren alcalde surco, partido, incompetente. peor alcalde surco.",positivo
bien!,positivo
"momento tiempo agradeceria, exterior proposito venia citacion.",positivo
trabajo mesa partes ¿cuantos sellos recibido tienen? salen karitos sellos,negativo
pueden modificar objetarla caso edmundo,negativo
malo,negativo
es un buen congresista,positivo
