full_text,sentiment
vete casa bueno desleal.,positivo
congresista republica existe...ahora miembros comision permanente.,negativo
"cosas hacen pais bananero, mediocre doble moral, hipocritas. ordenanzas municipales quedaron??",negativo
hora hace viajando?,negativo
"""son 1773 servidores publicos certificado, laboran regiones pais. cifra elevara 2195, gracias recibiran certificados. solo #cusco profesionales"", indico titular sector",negativo
ministro venimos trabajando arduamente proposito implementar departamentos pais politicas publicas favor lenguas originarias hablantes.,positivo
"""debido condicion representantes nacionales"" caso bancada liberal, (titular) (1er suplente) piden licencia, ultimo suplente seria ministro quedaria representacion 🤷‍♂️",negativo
hueveo,positivo
"declaraciones feria libro ricardo palma muestran desconexion ciudadano, invita comprar libros originales estan precios prohibitivos politicas gob. nota tufillo virreynal cada palabra dice.",negativo
👏👏👏👏👏👏,positivo
felicitaciones,positivo
"musica acompaño acompañara humano, musica viene corazon cerebros, intentando sensibles humanos. musica alma; pocos entender realidad, convertirla melodia.feliz dia.cesar.",positivo
"ministro hace entrega diploma plato conmemorativo reconocimiento labor vida #franklinpease, sra. mariana mould vda. pease.",positivo
"eliminar maltrato animal tambien, corridas toros!! pancho, ponle alto crimen",positivo
debe hacer regular contenidos radiales aportan cultura musical nacional. necesita difundir. ello importante radios locales vean obligados colocar menos 15-20% musica peruana.,negativo
discipulos loca,positivo
"efectivamente, señor ministro, musica solo despierta emociones sino sentimientos. musica debe utilizada humanizar.",negativo
"totalmente acuerdo ministro, celebremos especial.",negativo
dejo importante potente mensaje inauguracion,negativo
cursos musica colegios?,positivo
celebrar alguna banda patronal algun rincon pais.,positivo
"osea toooodo ministerio alquiler, agua telefonos, seguridad, coctails, secretarias, burocratas, asesores ministro viajero meses solo preparen ley? pasaste conchudo vago",negativo
"ministro oportunidad hablar importancia acceso libro lectura, espacios publicos, medio bibliotecas, traves espacios privados. #40feriaricardopalma",negativo
ministro renovado compromiso lectoras lectores peruanos. ello presentara plan nacional lectura peru. culturas tema #40feriaricardopalma,positivo
¡festejemos existencia libros! recuerda ministro cultura,positivo
"encontramos inauguracion #40feriaricardopalma miraflores reafirmar compromiso fomentar habito lectura. 💪🇵🇪📚 ministro mesa autoridades, palabras bienvenida.",negativo
#40feriaricardopalma agradecemos personalidades presentes mesa honor: jorge albertis escritora,negativo
apoye....tome acciones...,positivo
