full_text,sentiment
gino costa ejemplo claro politico conchudo.,positivo
votare independientemente partido encuentren. peru partidos serios menos confiables. solo queda votar politicos demostrado hechos velar intereses ciudadania.,negativo
"creo desesperacion ultimos tiempos igual heresi sido furgon cola fujimorismo primero traiciono ,tus intereses ahora tirar barro menos belaunde costa renunciaron bancada",negativo
maldito ineptos.. vaya gente idiota cree excusas,negativo
genial!!!! votare ellos!!!,positivo
"leyes interes presento llorona?, anda sigue arrastrando cadenas anima pena",positivo
"cultura muerte disfrazada ""opcion humanitaria"". cultura despreciar vida disfrazada ""vivir sufrimientos"". cultura genocidio disfrazada derecho"". puras mentiras patrañas. acerquense dios, espiritu, verdad.",positivo
pobre ignorante escuda haciendo puchero detras fanatico religioso merece ningun tipo reconocimiento respuesta.,positivo
"gorgojo, volviste humanitario prolibertades??? acomodandote.",positivo
¡¿por alguien chongrezoo hiciste algo?!,positivo
"#fujitroll portapliegos kongresista rosas, huye descubre verdadera identidad jajaja jajaja jajaja jajaja risas nomas producen publicaciones",positivo
caso costa????,positivo
razon haras mismo.,positivo
"solo persona integra, tambien emprendedora, voluntad mejorar cosas, perseverante alcanzar objetivos, amilana adversidad, conocimiento practico gestion publica academicamente excelente. peru necesita.",negativo
care' palo miserable,positivo
necesitamos reforma constitucional.,positivo
"deberia aplicarse fujimorista sobones naranjas vivamos democracia. sirves nada,no hecho pais ,entraste poder partido terminaste complice topo fujiaprista.",negativo
"quieren morir dignamente, quieren revivir indignamente",positivo
votare partido figuren congresistas fujiapristas buscare lupa.,positivo
pucha pena violeta 🤦🏻‍♂️🤦🏻‍♂️,positivo
tipejos principios,positivo
mientas.,positivo
calla mierda. trol asqueroso,negativo
"pregunta seria. serias capaz matar alguien. crees facil matar, podrias vivir tranquilo sabiendo matado uno, personas, serias feliz asesino. espero respuesta",positivo
importante personas sufren cada paises aplica,negativo
sacan admin estupidos,positivo
"dolor corazon deseo ella, puedes padecer tanto, inhumano comentario",positivo
"mientras vida esperanza, nunca pierde",negativo
viña,positivo
ahora llamara progre,negativo
sabes hablas,negativo
"candidatos contigo siguen idea? parece interesante pronuncien. pocos quieren tocar temas sensibles, que.",negativo
"hace rato ley,bien! ojala alguien partido pueda llegar plantearla",negativo
"sigo entender decision vida/cuerpo, etc. derecho decidir aspectos.",positivo
"seria increible movilizarnos hizo españa, hace meses:",negativo
"simple; personas saben sufrimiento esconde detras personas. derecho vida digna, tambien elegir muerte igual.",negativo
"""dignificar"" muerte pfff, capaz desconectarla personalmente realmente importara.",negativo
"hablas pruebas, gente desinformada solo lanza piedras vacio.",negativo
"entonces siga sufriendo mas.... tipejo hijos metas, sarta fanaticos religiosos.",positivo
"gilbert, puro bla, bla, estes congreso solo dedicas hacer cosas importancia.",negativo
"entonces sigan sufriendo ""dios decida"".",negativo
promoviendo muerte ciudadanos suicido. verguenza.,positivo
buen dato...no sabia alberto candidateando...mi voto el...,positivo
nadie quiere amigo. caballero acepta condicion congresista dignidad.,positivo
idiot's hecho? solo baño trans webas,negativo
jajajjaja calls mierda,positivo
"voto gino costa, alberto belaunde. obvio presidente guzman, solar. ojala anime",positivo
espero gente sepa elegir bien veces solo votamos candidato inteligentes votemos gente trabaje doble discurso cambie partido camiseta deberian leales propias palabras.,negativo
"investiga publicar algo, caera cara equivocas ahora...",negativo
floro; mundo dice mismo.,negativo
"funciona ""lealtad""",positivo
"razon lideres descarados huevonean pueblo, prometiendole sabiendo internamente estan haciendo contrario. ¿luchar lobbys? jajajajajajajaja",negativo
"congresistas discriminados, ninguneados menospreciados dentro mismo partido largarse. parece perfecto largado jefe cree tener ultima solo estan relleno votos.",negativo
"piensa quieras voto, hablo quiero igual",negativo
vendidos mejor postor gino costa asco chismoso vizcarra,negativo
"honestidad gino costa solo hizo nombrar jefa concytec esposa 35,000 soles sueldo. inteligencia albertito ""castracion perros gatos""...y nombro amante congreso miami permiso dias laborables cobraron!!!",negativo
tu....que ...tienen?...tu...,positivo
"claro! buen desempeño:(1) castracion perros gatos.(2)propiciaron golpe estado.(3)apoyaron cerrar congreso destruir primer poder (pero regresan).(4) hacer nombrar esposa jefa concytec ""otro"" marido congreso.bravo!!",positivo
muerta ...estas ignorante,positivo
"contigo ""todas todos""...en bandos ?!!!",positivo
"saaaoooo ....vota nomas formalizas union civil perro gato marisa glave albertito belaunde recuerdo ""quien"") dieron ""importante trascendental"" proteccion animales castracion!!! felicidades",positivo
exacto.....,positivo
"electores interesa politica, apoyan candidato, apoyan partidos, interesa institucionalizarlos. jamas sentiria representado alguien voto conveniencia.",positivo
"falsa promesa nombrar pueblo todo, ultimo orden. varios sinverguenzas entraron clandestinamente partidos destruirlos dentro, practicar tolerancia democracia dentro.",negativo
"tanta estupidez leida, preferiria ""morado"" ""violeta""...",negativo
"oiga genio...no reeleccion, completar periodo, dice constitucion",negativo
"juraron lealtad final, desleales... despues daño hicieron presidente ppk... verdad violeta?",negativo
habla compañero clan orellana.,positivo
aqui dice contrario fuente oficial.,negativo
gracias gilbert apoyo colegas.,positivo
unica revolucion busca dejar esta.,negativo
"gracias avisarnos partido lanzaban, pasar voz. serviste.",negativo
💯💯💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💯💯💯👍👍👍,positivo
"votare partido morado grandes hombres politica peruana estan limpio ser, gracias dios animado volver congreso elementos pueden desperdiciarse culpa bola corruptos!",positivo
votaron personajes renunciaron bancadas sienten accion bien representados.,positivo
1)demagogia falsa promesa. varios renunciaron bancadas encontrar convicciones distintas camino cuanto algun tema mundo encarcelados ello.,negativo
"ahora confirmamos difundieron foto trucada desinformar mentir mismo, mala intencion nota",positivo
"respeto animalitos, pillos. hacen daño. cambio, miserables lanzan congreso peor escoria peru. suicida cobarde pueril lacras",negativo
unico recuerdo dejaron...,negativo
😱😱😱😱😱😱,positivo
flash mundial quisieron ordenarme sacar fotos videos descritora erotica quisieron prohibir propuesta apoyo gays prostitutas dije respeto exijo respeto libertad expresion medioevo borrar esencia puntera,positivo
"ojala cambian partidos todas veces elecciones, quedaran banca, recien consecuentes dijeron, (ganapanes)",positivo
toma mientras 😂😂😂😂,negativo
"planteamiento afps correcto insuficiente, elementos necesarios lograr correcto sistema mixto pensiones",positivo
pusiste nervioso sabes gente votar jajajajjjjajaa,negativo
"sabia costa belaunde iban partido morado, ahora votare ellos, muchas gracias.",negativo
parte mismo periodo años,negativo
usted ex-congresista? mejor queda tres primeras letras nombre.,negativo
gracias. basura inmunda putrefacta acusa... reaccion? entonces votar ellos. porqueria gente.,negativo
gracias dato! que? creias afectar? ahora votaran belaunde costa.,positivo
prostitutas politica peruana,positivo
advenedizos. todos.,positivo
"moradito decepciona, reciclador politico",positivo
"descaro hablar porqye moral, etica, personalidad,te colgaste nadie conocia, hecho congreso? nada, salvo prevendas amigos, cero izquierda unico sabe aplaudir. sobon.",positivo
"basuras heresi juan postular, mejor bueno contrarrestar tanta porqueria.",positivo
honestos defender justicia,positivo
