full_text,sentiment
bestia. fujibruto,positivo
aprendiz dictador bruto nunca pasara serlo. apuesto pide sobres redondos enviar cieculares.,negativo
mira partido concha madre,positivo
"cierra boca imbecerril,verguenza deberia darte escribir viejo descerebrado ladron sinverguenza",negativo
vitrina torpesa,positivo
"pues expresos expreso propiedad keiko.... haces ciego, corrupto!",positivo
"hablamos millones keiko, mentiras defiendes... solo fujitroll!!!",negativo
"pobre animal lameqlos vaga, existes gorda vaga, acabo mamadera pronto kana delincuente mafioso, iiiiiimbecerril",positivo
"ignorante querias keiko mira resulto, solo corruptos defienden corruptos!",negativo
"calla psicopata, imbecerril, sufre, sufre, sirves nada!",positivo
ratas comprenderas bien!,negativo
ignorante comunista peru murio comunismo funciona fuerza popular!,positivo
"golpearon cabeza, porcelanato",positivo
burro ladron mercenario pronto caer prision.....hablas huevadas.......,positivo
"señor becerril usted diferentes tweet dice favor pueblo peruano, bueno hizo usted congresistas",positivo
"tener poquito decencia exprtesa. deberia decirle favor cierre boquita, tambien cierra hocico mierd.... watiturro csmr.",negativo
callate atorrante!!!!,positivo
dolido mister porcelanato. pasa dolor vizcarra disuelto. gusto eso.....jijiji,negativo
seguro quiso inaugurar partido final pagando tener tipo presidente peor nadie eligio 🤦‍♂️🤦‍♂️🤦‍♂️,negativo
"aqui trata defender org. criminal, trata defender pais vive desigualdad culpa derecha oligarquica, sinplemte marioneta mas, tuiteando diciendo comunista mundo.",positivo
"llamo proterruco, considera terrorismo los80_90y mas, mataron miles peruanos, bbs, niños, mujeres, hombres ancianos ninguna piedad,destruyeron propiedad publica privada, terrorismo guerra civil,entonces debo pensar?",negativo
sera golpista llamas quedaste calle perro sucio ahora tocara minimo piedras gordas impresentable rctm,negativo
ratas congresistas espero vizcarra presenta buenas propuestas cumplan,positivo
"calla conchatumadre, cana golear culo arrugado... anda llevale taper",negativo
perro ladra muerde ...solo ladra comer ahora estaras congreso,negativo
becerril pena,positivo
rata miserable.,negativo
uffff!!!,positivo
"seras siempre triste maton pasara olvido!! presidente vizcarra, cambio, sera siempre recordado lucha corrupcion!! sigue llorando im..becerril!!!",negativo
vitrina mundo baboso partido jugar chile culpa camaradas hicieron aca.,positivo
"piedras gordas llama, cacaseno.",positivo
"mientras palacio: “envidia, envidia, envidia...”",negativo
refieres verdad?,positivo
"delincuentes llegaron congreso busca impunidad ,por ello peruanos primero investiguemos antecedentes penales ,para votar corruptos",negativo
mierda basura,positivo
miserable,positivo
creo contiene,negativo
vizcarra soñaras todas noches despues hacerles regresar realidad jajajaja,positivo
sigue alcantarilla comiendo gusta pestilencia,negativo
arde anacleto,positivo
animal sabe dejo llave,negativo
"kalla tarado korrupto picon metio dedo garganta ,idiota años mantenido vaga, rata papa ,recibia bankeros bancada yuka todos. perdedor infeliz.",negativo
deja llorar wachiturro ojala caiga rigor peso justicia.,positivo
arde falta meses estara esperando fiscal millones chiclayo ponga bozal,negativo
cierra boca...,positivo
"mejor calles cada hablas boca cagas, pueblo tonto, repudia bancada sarta delincuentes corbata!",negativo
pobre idiota duele ortencio cerraron nido ratas variar japonesa metio yukasa vaselina chapo billete banqueros cobro años medio pension idiotas pagaban callado boca tarado..,negativo
loncherita maletincito,positivo
tarjeta roja hace rato,negativo
"narrar fiscalia delitos cometido.. sinverguenza, conchudo korrupto.. carcel espera usaras bala plata igual agp.. perro ladra... agarra flor.",negativo
"bestias necesitan instinto ,este esperpento necesita latigo japonesa.",positivo
llamate silencio imbecil😠😠😠cansan baboserias!!!!,positivo
ahora dilo llorar. gracias vayas nunca,negativo
razonamiento iluminado..de sr...que ruegue roben jugadores.,negativo
izquierda nunca,negativo
sera homosexual quiere ocultar? sale closet todavia!,negativo
enfermo becerril sabe criticar ahora mete deporte sano mucha gente practica porsupuesto engendro entiende solo corroe envidia expresa boca oliente!!!fujimorismo nunca,negativo
"definitivamente pobre #imbecerril delincuente, wachiturro basura persona",negativo
mejor narrar dejes mantenido gobierno,negativo
"becerril becechispoteadas. cree olvidaremos plata pais remodelo casa. hoy, gracias gestion vizcarra estan celebrando eventos talla mundial incluida #finalcopalibertadores2019 #evdlv #lamaldicion #beto",positivo
"ponganle meme juan gabriel mirando envidia, favor",positivo
"realmente, llegaste congreso creo huaico, creo votos",negativo
calla,negativo
"becerril, caca cabeza.",positivo
razono invito leas poquito mas. informate presente llamar proterruco alguien tener pruebas; recuerda difamacion injuria crimenes honor personas.,positivo
no....... unico expectorado congreso partido usted. sera? sra. quiere... jajajaja,positivo
lero lero caer,positivo
"caĺlate asno, deja rebuznar!!!!",negativo
"envidia pura zorrino, podras estadio tiren huevos tomates?",positivo
calla tonto,positivo
"señor becerril usted culto, otorguenos catedra aborto homosexualidad punto vista cientifico.",negativo
juajuajuajua!!!!!!😂😃😆😅,positivo
zorrillo apestoso sigues ardido,negativo
"quiero ""valiente"" metan carcel ratero coimear porcelanato casa, conchudo.",positivo
jaula,positivo
aborto violacion hijos deciden felicidad negro negra chola cholo blanco blanca china chino....no rojos metes pareces jeringa hospital,positivo
sigue vivo bestia?,negativo
pedacito cansas!,positivo
"""don hector hector, enchapamos celda porcelanato wachiturros tuman""???",positivo
"imbecerril...me pica cara, lavate boca masques.",positivo
bien viste partido vienes llorar aqui. saquese aca. casa.,positivo
menos naranja,negativo
"""don hector hector, usted metan preso, voto cualquiera""",positivo
"oyeme ""oxiuro loco"" dado cuenta presidente, menos relevancia mojon flotando cloaca nooooo???.imbeeeeeeeeeeeeeeeeeeeeeeeeeeecil",negativo
"""don hector hector, seguimos enchapando porcelanato celda""????",negativo
viejo lesbiano ctmr,positivo
"imbecil, foto protesta colombiana peru? quieres tuitear menos considera fotografia pais. revisa comentarios tuit sabras peru....ashnoooooo..!!!!",negativo
😂😂😂😂😂💩🐀💩🐀💩🐀💩,positivo
sabe hablar menos narrar,negativo
"calla, wachiturro conchatumadre.",positivo
👏👏👏👏👏👏👏👏👏👏👏👏lisiado mental 🤣🤣🤣😘😘😘😘😘,positivo
"foto pais corresponde, policias peruanos, nomas basta gorro uniforme....hasta distorsionar verdad saber mentir....ese delincuente becerril cura....!!!",positivo
tenia becerril,positivo
bebita,positivo
"hola, presento amigos pronto conoceras persona",positivo
algun psicologo quiera tratar traumas infantiles bestia favor.,positivo
"zorrino, huasca nuevo??",positivo
toc...toc...toc pronto flatulencia rata!!,positivo
