full_text,sentiment
señor quedo proyecto 3036. años aportar afp? puedo retirar,negativo
"contextualizar, primera plana hoy.",positivo
"entrecomillado, frente amplio primer indico ninguno postularia 2020. candidata afirma debe entrecomillado.",negativo
cuando..............................................señal avanzando,negativo
mencionan varios partidos! creo desinformacion intencion difamar! vean fantasmas!,negativo
"sera constitucion cara bicentenerio. menos usted desee regresar años, desicion, involucre.",negativo
avisados! votas haces nueva constitucion regresara peru años setenta.,negativo
frente amplio posiciones claro hacer reformas atraves nueva constitucion tendra apoyo militantes seguidores contrario tendra.,positivo
"señor, ""dirigentes"" cometen delitos. defienda indefendible.",positivo
demanda amparo pruebas absolutas comision especial acredito graves delitos deber exigir carcel pretenden fraude capturar jnj. aqui delitos perpetran miembros,positivo
ojala presidente tome cartas asunto cumpla favor miles trabajadores cuentan dinero aportado años,negativo
