full_text,sentiment
"dices defender presidente, patetica, peor ciego quiere ver.",negativo
"usted persona horario trabajo congreso hacer manifestaciones favor fuerza popular ????... hacia solo trabajadora congreso, sera poder congresista...",negativo
toda informacion internet....,positivo
retire dinero!,positivo
congreso aprueba leyes. presidente republica puede reelegirse. gobiernos regionales tampoco. alcaldes menos. congresistas siiii queren adueñarse congreso salgado etc. etc.,positivo
lindos; encanta idea pronto puedan seguir haciendo vigilias; dentro penal junto,positivo
vizcarra elegiremos nuevo presidente 2021 aunque manos fujimoristas poder adelantar elecciones generales,negativo
falto decir dice forma sarcasmo... porq señor solo interesa saber periodista recibio dinero lider keiko recibio debe explicaciones... quiere solo prensa explicaciones,negativo
digas salgado estuvistes sabias jugarretas montesinos. famosos videos circulan todas redes sociales.. verguenza deberia dar. conchuda,positivo
quieres voten lastima,positivo
estan acostumbrados cumplir normas...cree sigue siendo mayoria hara quiere.,negativo
chile presidente...,positivo
buen dato.,positivo
parte comision permanente.,positivo
👏🏻👏🏻👏🏻👏🏻👏🏻,positivo
"puedes juntarte salgado? persona corrupta sido complice vladimiro montesinos, oficinita sin, sabia filmaban todo. crees, ingresa aqui: mira video.",negativo
eres???,positivo
"congresista, usted seria candidata. menos deberia decirle congresista disuelta, dejar negacion afrontar campaña.",negativo
"gusta seguir ejemplo, sigues desapareces.👍",negativo
"acuerden menciones estare dispuesto, junto mejores periodistas, vivir rodillas, decir quieras, hundir keiko partido sabe presidente, pagos puntuales. vendida, corrupta, mercenaria,",negativo
"pierdes tiempo, quemaste siempre nadie olvidara servicio corrupcion retraso crecimiento pais. 🤮🤮🤮🤮🤮",negativo
"pregunto consiguio cosito este, keiko? hija expresidente aunque dictador, merecia consorte mas.....""inteligente""? tipo parece niño años quitan mami pobre diablo.",positivo
"atacar oposicion, solo atarantar publico hablen dinero efectivo varios declarado lamepies vizcarra,recibian propaganda campañas,sin importarles prohibiciones ahora reclaman.a demas ensucio acuer",negativo
"cuanto habra recibido rpp, emisora buenos periodistas realmente informaban,ahora emisora mercenaria,llena pseudo periodistas compiten demostrar miente mejor,cual demuestra artes histrionicas,para",positivo
"vizcarra ""presidente"" pais ignorantes ahora culpa justicia inoperancia, ustedes ignorantes creen....",positivo
persecusion politica panel dice mismo dieron dolares efectivo..klimper... fujimorista... venganza odio justicia llegando diferentes maneras..y politicos corrupotoa deben presos,negativo
🤣🧐🤣🧐🤣🧐😂🤣,positivo
"descerebrado mierda, feliz toledo humala",positivo
"osea, quieren dejar marmaja, quieren seguir mantenidos, mientras buscan entrar robar vez?",negativo
coincidencia usmp??,positivo
ojala declaren mineros ilegales narcotraficantes pagaron señora postular organizacion criminal congreso tambien financiaron campaña.,positivo
"kongresistas ende trabajadores estan chamba, pueden hacer mancha, 😂😂😂😂",negativo
🤪🤪😂😂😂😂😂🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,positivo
"razon desesperacion señora perder elecciones, tenia empeñado peru.",positivo
jajajajaaa..... ocea funcionario publico puede hacer quiera funciones,negativo
🤦🏻‍♂️ sabes maldita realidad colombiana???,negativo
traidor,positivo
"marido cabezilla organizacion criminal, habla abusos falta debido proceso. caradura.",negativo
bla-bla-bla...,positivo
ahora mal... pendejos,negativo
osea mismo escenario lima... jodas,negativo
"puta madre... basta huevearnos,",positivo
puedes saber votado? definitivamente masa corruptos fujimori haria tuerta. cualquiera puede mejor demostrado esta. siempre opcion votar viciado tener conciencia lacra.,negativo
malinformar comes digas quemaron neuronas...,negativo
"buen punto, seria bueno desarrollarlo instruirnos.",positivo
mark vito... feel sorry you. you're being used apparently have realize need land. think what's really going won't further with your display. unless you're delusional day-dreamer.,positivo
coincidencia politica mafiosa,positivo
"ahora paso hacer informante yanquis,",negativo
"deben culpar manifestantes, policia solo hace trabajo",negativo
osea esperan siga pagando mientras hacen campaña? conchudez delante vieja,negativo
cateriano preso acaso apoyando gobierno ladron.... meten consigna mienta keiko tener gobierno fiscales odebrecht terroristas trankilo frente amenaza politica....,positivo
"vieja solo sueñas keiko, abuela cojudeces,entiende carajo odebrecht enemigo vieja senil.",negativo
decrepitacion accion,positivo
¿tantas cuentas demoras responder troll? hablas sinverguenzas humala-heredia delincuentes llevaste voto tremenda ostra.,positivo
bien!!! 👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼,positivo
arde descontado sueldo.. jajajaja,negativo
avisale tambien conchatumadre!!!,negativo
"puro floro inaugurando colegios antiguos, pintados pesimamente...",positivo
miserable comentario ese.,positivo
"plata clientes banco evitar chavismo nunca dio? payasos, sinvergeunzas diosa metio bolsillo millones, marido mantenido huelga hambre, pendexos merda!!!",negativo
