full_text,sentiment
"deja arrastrado... ponte pantalones actua hombre, basta defender corrupcion infeliz pobre diablo...",positivo
"verdad, injusticias llamenlo esperamos rectifique memo scac? 🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔😐😐😐😐😐",negativo
"webones chito lugar seguir hablando cojudezas,le envien carta romero reclamandole gran caymantambien,les devuelvan ""diezmos""pagados ""kash"" ""babos""de m...",positivo
"romero dijo: jamas acuerdo de""reserva"" ""kash"" ""regalito""($3.650m.)que provenia deposito hecho paraiso fiscal(g.cayman). ahora,la pregunta webon: ¿quien hizo deposito? joaquin,te buscan!",positivo
"esperar retracte pueda cobrar pagos trabajo, laboraba scac, quiere volver congreso, cometa abusos personal confianza vulnerar derechos trabajadores nunca mas.",negativo
"imbeciles gusta secreto luego sale embarrar personas, recuerdan reunio secretamente #vizcarra pedia vayan octogonos baje minist. pessah",positivo
"siente,que llevo diezmo sueldo,teniendo millones guardaditos...yo,me sentiria estafado cojudo,es opinion. keiko,se hizo jajajaja",positivo
"queja usted devolver descuento realizo pago liquidacion, laboraba scac, pese certificado trabajo boleta pago, especifica manifestando, abusivo",positivo
#moquegua ¡flash! candidatura actual congresista sido declarada inadmisible jee. chan!,negativo
concha ....no basta lucrar hacer,positivo
"keiko asumio compromiso cumplio...""🙄 huevadas hablan fujimoristas carajo!",positivo
"descaro usted tambien lista reeleccion, seguir descontando pagos trabajadores congreso, estan cargo responder documentos envian despacho, quiere reeleccion?? abuso descaro.",negativo
coherencia alta expresion.,positivo
basta corrupcion!!!,positivo
bien juntes chusma traiciono peru,positivo
"congreso fiscalizar legislar, moral negocia!!! oposicion gobierno facto, hacen, estan perdidos!!!",positivo
yino pesima compañia ...mejor solo acomnpañado,negativo
anterior admin hortencio roto...,negativo
..!!!,positivo
"favor miembro comision permanente, basta abusos favor, reciba carta notarial enviado, indicando vulnerando derechos laborales, estabamos cargo, abuso,",negativo
grupo,positivo
pensar pendejo mantilla huevo frito kenyi (fue votado arrastre metio varios) salen botando patadas partido. pobre kenyi jajajaja,positivo
firnen nomas queda payasos,positivo
malo foto mantilla alejate !!😡😡😡🤬🤬🤬🤬🤬,negativo
mierda fuman cojudos. aprobacion vale nada. payasos.,positivo
"seee, vida quiero yo... coimear dire cobrar mover dedo🧐🙄",positivo
queda... papirriquis... tramite nomas,positivo
trascendencia aprobaciones desaprobaciones...son elefante blanco gasta recursos.....,positivo
"exprimen trabajadores...porque sacarle juego debiles, pagamos impuestos igv, agua cable telefono,se paga peaje, educacion privada, salud privada carj..🧟‍♂️🧟‍♂️ dinero,,,...",positivo
menos ministros hacen trabajo campo,negativo
"alegra cambiado clave twitter congreso, olaechea jodiendo.",positivo
"ministros cobran minimo 40,000 calentar culo obras siguen paralizadas. mentira digo?",positivo
"revisar puede hacer uno,pero mesa partes personal ocioso menor pagada pais encargan probable informe enviado basurero nuevo congreso",negativo
rico cobran mesa partes.,positivo
"gino, puedes tomarte foto personaje izquierda?. alejate topos fujiapristas, hicieron daño irreparable pais.",positivo
"""medidas"" hechas medida.",negativo
noticias importancia....,positivo
"vaya, estan trabajando.",positivo
jaja.,positivo
llegara trabaje actividad privada deje parasitar dinero peruanos? tenia peru!,positivo
"integrantes grupo trabajo,",positivo
espera respuesta.......sin animo discrepar,negativo
"hola, nueva cuenta. previas hackearon. saludos, vivian carty maurtua",negativo
postula hija. veras capaz hacer grupo personas valores capacidad investigar. tener buscar trabajo bcp.,negativo
"hola, favor revisa financiamiento regia año.",positivo
representa????? jajaja sigas hundiendo sola !!!!🙃🙃😂😂😂😂,negativo
jajajajaja voto secreto chingados interesa votaras. entiendo gritaste votaras iiiiiiiii? disfruta vida comete ceviche elije bien congresista.,positivo
empezare preguntar... fuji.. financian... saben...!! mejor postulen. cara dura!! hacen desentendidos.. saben nada. ahora hablo credicorp... (seguiran negando pitufeo?),negativo
exacto...ya tome cosas son...persecucion partido opositor,negativo
inconveniente portatil candidata terrible,positivo
"veces democracia, veces dictadura...depende convenga",negativo
primero.hay.que.atender la.srta poder criticar no.vulnerar derechos lo.que.lei,positivo
parece mensaje hizo retroceder desmentirse mismo,negativo
democracia usted puede elegir persona preferencia.,positivo
"puedes renovar politica ideologia fuerza popular. representan atraso, obstaculizacion derechos, corrupcion justicia, desligarse bien comun. historia becerriles, betetas, mamanis, bartras largo etc. representas.",positivo
solidaridad nacional=fuerza popular misma cloaca,negativo
"asco.y peor,es piensan peruanos idiotas...los taperfujimoristas",positivo
"bueno. estan destinados seguir siendo repudiados. sabes. interes estan lidereza tienen. lider aporto congtesista, peor aun... jamas trabajo.",negativo
"no,somos sonsos",positivo
"favor,por favor creas idiotas. empresa privada,te permiso,sin goce haber,siquiera vayas manifestacion respeta peruanos sueldo pagan. millones razones votar",negativo
"buenos dias imagen muestra grave injusticia decidi, cumpliendo reglamento, solicitar permiso descuento levantar voz. hice esconderme cumpliendo normas. alla ello cumplia funciones pasion.",positivo
"organizacion criminal trajo beteta, brutita bartra, vilcatoma demas ignorantes buenas quiere seguir estafando fujifanaticos?? jodan vieja montesinista martha chavez entrar",positivo
ideologia perseguir opositores? perseguir medios? blindar corruptos? blindar hermanitos? queda claro años hicieron buscar propios intereses. apra topos; vuelvan nunca,positivo
millones barata cambie declaracion.,positivo
parte pestilencia... mira keiko...hasta patas...se acabaron las.....,positivo
acaso comportado pais delincuentes prontuarios? lider??? entonces queja miserable doña,positivo
"pais entero sepa señor gusta descontar pagos trabajadores congreso estan cargo, pese haberle enviado documentos despacho explicandole errado, señor mantiene posicion retractarse.",positivo
sinverguenza sido congresista creo pretende postular puesss clase de.gente merece,positivo
favor indica puede leer ideologia fuerza popular. serio. keiko nunca publico siquiera plan gobierno. espera respuesta.,negativo
"nesecito ayude pues señor vulnerado derechos laborales, descontado pagos liquidacion dias puntualmente trabaje, enviando documentos mesa partes despacho desea atenderme,",positivo
creo ella? seria bueno aclare....,positivo
jajaja buena. segun lideres golpe dictador vizcarramaduro hablas democracia. improvisados pintan recambio.,positivo
fuerza popular cloaca delincuetes!,positivo
ideologia???? fuerza popular????,positivo
ideologia?? tenian ideologia blindar mafiosos?? sacar provecho poder beneficios propios??,positivo
"descontaron abandonabas trabajo marchas horas laborales??? amigos congreso disuelto ayudaban??? contesta sinceramente, roche.",negativo
"jajajajaja rico blokeo blokeo blokeo aprendiz razones"" 👇🏽😂😂😂",positivo
pena jovenes ideologia.. esperanza saldran elegidos.,negativo
"jamas entender, neuronas mas.",positivo
excelente respuesta perdedora anticipada,positivo
pulpina sabe responder jajajajjaja,positivo
"haces ????? miembros partido siguen repitiendo disco rayado frase castroviscarrista demas sandeces... consecuente perteneces banda, diga bancada.",negativo
"conocerte juzgarte, solo hecho postules dice mucho. autocritica piensas",negativo
vientre alquiler sabes. siempre sido asi. dices representar ideologia cual? hijos metas? llevar puro corrupto congreso? blindaje descarado? iniciaste paso politica.,negativo
pobre mujer ilusa.... pues chanchos vuelan peces caminan,positivo
todas “lideres” sitio saben hunden mas! creen eso!,positivo
dicen lideres; golpe dictadura! entonces postura?!,negativo
"entendiste??? deberias preguntarles compañeros partido. mejor pidele señora instrucciones chat, manejan grupo. acostumbrate.",positivo
"unica ideologia fuerza popular sobreponer intereses encima bien comun, parece vives mundo paranormal.",positivo
partidos vientres alquilar. representa ideologia. podemos hacer historia renovar politica cualquier espacio.,negativo
"postulas anda bien conozco, pero.....si decente buscado partido. next",positivo
????,positivo
viviendo dictadura! 🤷‍♂️ #fujimorismonuncamas,positivo
democracia podemos elegir candidatos. inconveniente,positivo
millones..?? fumas ahh?? 🤣🤣🤣🤣😎👍,positivo
ganaste.!!,positivo
millones?,positivo
nadie pregunto!!!..,negativo
"dejese hacerse desentendido responda memos firma, fundamento.. perjudicando personal cargo pdte scac señor.",negativo
"favor responder carta envie septiembre ahora respuesta, vulnerado derecho laboral, tambien varios compañeros trabajaron scac, desea atenderme.",negativo
apostamos...😂😂😂😂😂😂,positivo
votes entonces...m habran millones votaran ella.,positivo
"¿alguien pregunto? comprate vida, mija!",positivo
joven haber recibido lavado cerebro zurdos caviar desgracia pais. vamos colocar muro pase zurderia ratera.,negativo
fuerza kriminal keikobrecht ratapristas alianza aprofujimorista topos closet,positivo
"trabajaba señor ahora miembro comision permanente, permanece congreso, hace quiere trabajadores cargo sera trabajan ahora cargo personal confianza",negativo
"cria cuervos, sacaran ojos...",positivo
"#nicolaslucar hablemos claro, pisoteado derechos laborales, descontado dias pagos tiempo trabajo, laboraba scac congreso republica, pese certificado trabajo boleta pago corroboran indico",positivo
"solicito atienda despacho brinde solucion respecto dias laborados scac, laboraba personal confianza congreso, usted realizo documento, descontado pagos pese existia certificado trabajo",positivo
joven fujimoristas gran contradiccion historica. .mancharas vida,positivo
millones razones votar dale gracias dale gracias votar partido fuerza popular,positivo
"tambien pondre huelga hambre, causa señor solo encarga descontar pagos personal confianza cargo congreso, vulnerando derechos laborales, quiere reelegir congreso cara palo",negativo
