full_text,sentiment
"transparencia ya!!, sabemos dinero recibes soros gratis. pagar promoviendo agenda incluye falsa paridad!! nefasto!!",positivo
terrorismo peru nunca mas!!,negativo
"ningun politico ningun comunista quiere ayudar ""pais"" imbeciles creerles",positivo
general hizo conmigo despreciable podia obtener informacion necesitaba alla conciencia,positivo
"politico comunista despreciable...algunos hacen bueno...me consta...pero limite impuesto, permite hacer bien ""pais""",positivo
"uses palabra mierda insultar... mierda util. sirve abono, alimento, combustible, produce metano propiedades. utiles meten politica ejemplo sirven",positivo
"señorita aporte realizado sociedad, unico arrastrada keiko vaga hora trabajo.",positivo
"despreciable hizo contigo, pides ayuda encontrar hijo. piden apoyo llegar poder trabajar estan alli convierten miserables.",positivo
basura!!!! desgraciado mrda!!!,positivo
"general invito despacho, pedi ayuda encontrar hijo desaparecido...cuando cito, recibio...me dijeron viaje...mentira...yo entrar edificio oficina... vote el...",positivo
benedicto heroe excongresista pobre chupamedias fujimorismo lastima militar,positivo
"triste papel heroe, sirviente partido politico escrupulos.",positivo
organizacion criminal #fujimorismonuncamas,positivo
entiendo manera mantenido descalifica..,positivo
comentario muestra total desconocimiento historia politica peruana..e inmadurez decir cualquier pachotada...,positivo
jajajajjajaja,positivo
"descuenta velasco,toledo,humala,1er alan,vicarreta haces",positivo
"miyashiro, unio mafia #señorak, dejo heroe nacional. chino terminara igual heroe, benedicto jimenez.",negativo
keiko podria colaborar chorreando millones odebrecht,negativo
subrealismo puro.,positivo
lactancia vladi diras,positivo
abandonaba puesto trabajo apoyar fujiapristas calles. #fujiaprismonuncamas,positivo
🤮🤮🤮🤮,positivo
meritos congresista???,positivo
trabajaba congreso,positivo
"director fujitrolls promocionando trabajadora fujimorista congreso, escapaba horas trabajo arengar keiko libertad, insultar perez, vela gorriti, cumplio tarea, peruanos pagar sirvienta señora",negativo
"japoneses trabajado arduamente tener peor imagen dentro diversa cultura peruana, lastima venido toda mugre lumpenes organizarse robar pais.",positivo
agggg,positivo
pinta cuerpo entero. haciendo publicidad candidata partido.,negativo
claro ahora paro armado colas azucar facil acuzar. cobardes.,positivo
sinverguenzas sangre cara daño hacen pagar karma existe uds. odian peru,positivo
nica,positivo
treinta nalgadas darle bruta,positivo
recomiendes chueco,positivo
prrro!,positivo
jaaaa🙂 pobre resago fujitrol,positivo
nuevos cuadros robar!,positivo
eresbfujimorista ejemplo,positivo
uhm...y harian #osalazar #donayre,positivo
tumbemos millones,positivo
"memorex, olvidar traidores peru.",positivo
trabajar huelgas palaaaaa representan juventud divino tesoro,negativo
😷😷😷😷😷,positivo
