full_text,sentiment
"evitar esto, deberian haber trabajado ustedes congreso dedicarse blindar rateros especialmente allegados",negativo
¿quien dice tambien corresponde reclamo.,negativo
"lameqlos vaga, malnacida",positivo
"octogonos salga gobierno humala, hicieron, alargaron proyecto reglamento.... dijeron congreso dominado gobierno turno. memorex urgente.",positivo
pronuncie presidente acusacion poblacion...ya sabe culpar incapacidad ineficientes ministros funcionarios llevan billeton arcas tesoro publico bolsillos.,negativo
matar personas,positivo
hablas malnacida encima,negativo
verdad todas obras paralizadas corrupcion. observadas contraloria paralizadas p.judicial....corrupcion total ...gobierno congreso nunca legislaron terminar contrario losas interesados siga igual...,positivo
conchudaza... anda nomas regreses.,positivo
"parece gobierno estan cayendo presos corruptos especialmente peces gordos impunes años presidente sera recordado haberlos botado acordaran simplemente nada,ademas varios paises quisieran tener justicia",negativo
comenzo cargamonton lecaros..observen.,positivo
"cuanta ignorancia... congreso, sigue llamando ""congresista""?",negativo
miedo opine? ....sabe hizo mediocre? ...los saco patadas! miserables nacida! ..pulpina vieron cara conejilla indias mejor dicho pasaste subordinada keiko!!! llorar chorrillos,negativo
cinismo.,positivo
#markestamoscontigo #markestamoscontigo,positivo
jajaja duro pobre chinelis,positivo
olla hablando mediocridad sarten,positivo
jajaja logros anterior congreso 🙋!!!,positivo
#markestamoscontigo #markestamoscontigo,positivo
callas!!!!..con estariamos jodidos!!!,positivo
disco rayado impresentables resentidos excongresistas repiten repiten mismo....,positivo
logro bajarse gente inepta bastante!!!!,negativo
jajajajaaja,positivo
olvides malnacida viedo audio #hinostroza.,positivo
"vayan trabajar, tira vagos lameculos keiko.",positivo
mayor logro estas. bastante,positivo
"defendiendo ahora malnacida?cuando apresaron keiko peor los""hermanitos""no? ahora esperan liberacion mentirosa recibio millones empresarios pides autonomia mecha hagan encienda",negativo
jaaaaaa jefa estafadora,positivo
#markestamoscontigo #markestamoscontigo,positivo
"diarios chicha, ex-congresistas chicha.",positivo
mismo cinismo,negativo
"mafia fujimorista paga trolles, mercenarios periodistas, compinches.",positivo
decirte,positivo
"malnacida, tambien mafiosos jueces, jsupremos #fujiapristas favoreciendo deben, recuerdas amigo #hinostroza #cuellosblancos demorando procesos judiciales favor hotel maria angola, ahora ultimo?",negativo
suficiente merito cerro posilga congreso habia ...anda tajada recibio lideresa vaga keiko..le sobrado alguito empresas corruptas dieron dinero vender peru..primero casa ...luego hablas ....fujimoris nunca,positivo
callate malnacida parasita del.,positivo
"sangre cara,mafia popular defendio empresas grupo romero tiempo duro congreso presidido mayoria financiada grupo mafioso. vengan cuento velan pueblo, sinverguenzas !solo legislado patrones🤢",positivo
conchuda!,positivo
dice razon creer 🤢🤢🤢🤮🤮🤮,negativo
#markestamoscontigo #markestamoscontigo,positivo
gobierno simplemente,negativo
#markestamoscontigo #albertoykeikolibertad #keikopresapolitica #indultoafujimori,positivo
"chiquitas: octogono medicinas genericas. ambas guardadas ustedes, miserables fujiapristas.",positivo
#markestamoscontigo,positivo
"presidente miente,tiene razon hace bien hacerlo publico.",positivo
bien!!! 👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼,positivo
"#markestamoscontigo #keikolibertad apoyamos mark, buenas malas.. fuerza!",positivo
cortina humo tapar jefa,positivo
😂😂😂😂😂😂 abusivo tener deber favores empresarios afectados finales poblacion.,negativo
grandes logros gobierno impulsar octogon alimentos procesados. pese dueños congreso tenian pagada campaña impedirlo.,positivo
#markestamoscontigo lucha libertad amada esposa lider keiko fujimori.,positivo
fuerza amigo #markestamoscontigo,positivo
luchemos juntos libertad keiko fujimori #markestamoscontigo,positivo
"#markestamoscontigo #keikolibertad justicia llegara abrira paso esten unidos nuevo, alli contigo sabemos sientes mostramos solidaridad contigo keiko.",negativo
#estapestilenciayanorepresentaanadie,positivo
recien preocupas salud? tres años presentar proyecto. solo obstaculizado. conchuda,negativo
