full_text,sentiment
agresivo trollcito....te haras famoso adelante domingo perez...tiene respaldo mucha gente trolls estan asustaditos,negativo
"felicitarlos noble iniciativa, admire admiro valentin paniagua, merece recuerde gran persona fue, puedo participar",negativo
"felicidades organizacion esfuerzo, estimado martin. extiendo felicidades grupo valentin mantiene vivo legado gran democrata valentin paniagua.",positivo
suerte exitos.,positivo
busca reciclarse. calzonudos.,positivo
tarde encontro unas hojas luego reconocio notas recogian ultimas reflexiones #valentinpaniagua consideraba esencial lograr verdadera igualdad: derechos sociales. hace entrega dichas notas #grupovalentin,negativo
empezamos. muchas gracias invitados asistentes.,positivo
comenzo.,positivo
aportes muestran cara neoliberalismo: daña democracia debilita instituciones. grandes empresas quieren someten regulaciones.,positivo
"recordemos nivel cinismo capaz llegar señora, escrupulos.",negativo
pais #reformalegislativa negocio representante patria.,positivo
atrevanse sacarlos peru viene abajo..carajo...las calles esperan,negativo
"congresista, pediria dedique tuits votantes cuenta. necesita eliminar inmunidad",positivo
"cierto, quiere decir alternativas. #modelobeeconomicoconstitucionalhafracasado, impone nuevo modelo basado principios valores economia bien comun",positivo
imaginaba... bartra puede decir quiera... nadie puede creerle mentirosa. saludos paty. exitos hagas.,negativo
keiko tambien miente mencionando hijas... tener corazon piedra mencionarlas sabiendo miente... tambien patologico,negativo
"señora bartra, mienta, defendio reforma electoral comision constitucion, defendio #rut #señorak dictaban. mienta socia politica #ancash viky, esperamos termine ella.",negativo
"anita, bartra enfermizo. mentira forma vida personal politica. niega total desparpajo. entrevista leyo parte conclusiones inculpados inventando nombre suicida figuraba. imaginate.",positivo
hola cierto esto?,positivo
farsante.,positivo
rara estrategia adentro vuelvan unir! olvidemos promovamos sacar mirada ciudadana partido amarillo peor alcalde lima,positivo
¿alguien cree?,positivo
"anabelle sabe, idea, conoce dice verdad. experta, erudita recontra preparada desvirtuar pasa limitado tendencioso cerebro convertirlo falso, descabellado, cinico.",negativo
"similar aqui, porfa",positivo
"suena igual falsa soberbia. causantes pasa. pataletas mente cerrada, asco.",positivo
creas nunca....,negativo
creer enferma,negativo
acercamiento accion popular?,positivo
volvio postular??? justo hecho eso....,negativo
"yo,tampoco!!!",positivo
"acto seguido, gracias gestion rojerio junto, dieron beneficios terroristas condenados.",positivo
ahora angelitos,negativo
"crean, favor, basta sobra actitud mostro final, obvio pura estrategia ubicada partido clon solidaridad.",positivo
"ahora barco hunde, ratas afloran, dicen replican, decentes,",negativo
dopado salir hacia entrevista,negativo
bartra suena rara ahora dice hizo propuesta prohibieran dadivas campañas... verdad?? repente metodologia keiko? creo.🙄,positivo
fujimorismo tenia mayoria kongreso .... habia transicion.,positivo
algun comentario,positivo
"contando publicando vez, p.l. trabo, dilato, bloqueo devolver favores, increible tiempo perdido, ahora sabe, forma obstruir, dejar avanzar trabajo pdte.",negativo
"empieza desigualdad partidos politicos. ello, sobreviven partidos korruptos, haciendo favores grandes empresas.",negativo
ahora cuenta salen aportes campañas corruptas!! hora cerrarle paso afp's dialoguemos poder decirles basta robarnos futuros!! abajo afp's,negativo
razones cuales tijereteaba referido financiamiento partidos politicos,positivo
gladiador disuelto,positivo
empezando mercenarios caraduras como:,positivo
"quiero consultarle proyecto 2332/2017-cr, “ley sanciona transporte vehiculos transporte...”. ¿dicho proyecto aprobado publicado peruano? gracias antemano.",positivo
porque?,positivo
veces.,positivo
grande chaparron!!!,negativo
"valenti paniagua, gran personaje. lastima gobierno transitorio corto plazo, sido excelente gobierno periodo completo.",positivo
"bueno, gustaria",positivo
¿que opinan?,positivo
portarte bien.,positivo
debo hacer asistir?,negativo
hora?,positivo
pongalo agendas! bienvenidos.,positivo
"entienden sras mujer hace merecer tratos especiales! gran diferencia mujeres europeas muchas peruanas, exigen cargos ventajas...",positivo
