full_text,sentiment
¡demostracion grandisima hipocresia “lider” comunista castro!,positivo
¡asi comunistas quieren gobernarnos!,positivo
basura moral roja accion!,positivo
"¿todavia quieren votar frente amplio avala fraude narcotrafico exdictador morales? tambien izquierda peruana. pateticos, muertos morales causando enviarlos armas explosivos. unico usurpador inmaculado evo. fin.",negativo
"complices corruptos, ahora hablen pyes carajo rojos.",positivo
fujimoristas carajo.,positivo
"nadie dice nada, corrupto complices corruptos.",negativo
¡esta voluntad pueblo! ¿que alegaran ahora apoyadores corruptisimo tirano maduro?,positivo
escuche ninguno rojos denunciar corrupcion “indigena”,positivo
rojos peruanos comeran lengua #terrorismonuncamas,positivo
¡tiranos rojos hambreadores nunca mas!,negativo
jajajajaja buenisimo hdp. jajajajajajajajajaja 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣.,positivo
¡nunca mejor descritos!,positivo
