full_text,sentiment
ufff milagro culparon fujiapristas...,positivo
cada pueblo autoridades merece: elige. despues quejen.,negativo
esoero proximo congreso 👍🏼👍🏼,positivo
sufran caviares sufran,positivo
seria pena afuera,negativo
"mentirosa bartra nunca mas,",negativo
quiere tirarse millones comisipnes truchas.,negativo
orgullo tenerla congreso; deberia faltar,negativo
podran callarte!!!,positivo
cualquiera estresa despues hablar merecido descanso,positivo
jajajajajajaja,positivo
"sigue pulmon perro,te ganado frejoles. huele dope",positivo
peligrosa comisiones millones soles solo caen enemigos.,negativo
igual confiaria!,negativo
tambien apoyo.,negativo
apelar! tacha insolita precedentes! acto autoritario digno miserables...,positivo
"bro! igual nunca confie mudo ""sn""!",negativo
tiemblan.,positivo
"candidatura peligrosa gobierno facto. saben dra. bartra amenaza ellos, dara batalla. sincera solidaridad incondicional apoyo.",positivo
"interesantes cruda realidad, llegaron 2011/16 ollanta-nad,2016/21 ppk- peru dejo crecer decada perdida atrapado carcomido corrupcion odebrecht.",negativo
"seguir mintiendo peruano, solo quieren postular diferentes partidos organizaran grupo obstruccionista poder mientan peruano, poder, lacras.",negativo
gobierno dejado gran ineptitud. lamentablemente irracionales siguen flautista hamelin.,negativo
"bla! bla! bla! gusta palabra ""fraude"" 2000 ejemplo",positivo
gobierno facto hara quiere dictador.,positivo
"mafiosos fujiapristas inteligencia, solo cumplido ordenes lideresa mafiosa santa monica",negativo
suficiente moral tratar especimenes merecen izmierzoocialcomunistoides imbeciles.,positivo
socios mafia siempre cobertura politicos asco.,negativo
gracias vizcarra nuncca vayas!!,positivo
"rosa bartra quieren casa, necesita onpe reniec",positivo
nauseabundo entrevisten siempre mismo tontuelos:,positivo
"disculpa, escondo? rosa batra? miedo? explicame mejor quieres decir",negativo
mafia naranja,positivo
🤥🤥🤥🤥🤥🤥🤥🤥🤥🤥🤥🤥🤥🤥🤥🤥🤥🤥🤥🤥🤥🤥🤥🤥🤥🤥🤥🤥🤥🤥🤥🤥🤥,positivo
puede llegar persona seguir viviendo miserable mujer,negativo
bien dicho. preguntan mismos contestan,positivo
urresti charlatan,positivo
vaya inteligencia tuya. utilizalo sufragar fregar,positivo
lista tambien declarada inadmisible.,negativo
"miedo dra. rosa bartra, escondes “carnem”",positivo
"saludos estimado pobre diablo, sigue apoyando ignorantes discutiendo alguien conoce!!! jajaj clasica!!! toma taper...",positivo
correccion: vida derecho humano!,positivo
"entrevista sigue millones, doscientos dolares, miles millones odebrecht? olvidaron? mermeleros recibido?",negativo
gino costa tambien deberia misma situacion,negativo
"actual pdte gano pulso desprestigio mediocre supo altura defender instit igual alarcon/contraloria,chavarry/fiscalia, jodan ahora tibios/ debiles.",positivo
"jajajajaja bueno dice distinguido caballero intelectual troll, gente inteligente dejo exhorto marcar escribir numero saludos.",negativo
debatir pobre diablo amiguito!! vaya debatir estan nivel intelectual,positivo
"ver, dice mañana????",negativo
"dichos donadores📺institucionales, ayudarian transparentar💰lluvia millones ergo, 'pruebas' confirman🕳️lavado activos porque, todo😴los receptores🐾serian cutrerazos",positivo
"aberrantes tiemblan candidaturas principistas solidaridad nacional patria, vida, familia, orden natural, valores libertad.",positivo
"rochoso acoso🤖cojuridico dichos👻prefabricados llegaran👾tergiversados desmentidos ergo, ameritando🤬tan torpe🕳️hostigamiento ¡📺via, allanada 'ro$kza💩mediatik'",positivo
olvidar. #terrorismonuncamas,positivo
voto mejor congresista peru,positivo
"vaya llorar keiko, dijo seguiria mismo infierno, bueno alli premio vividor traidor peru. saco cara corrupta patada igual fuerte patada dada vizcarra.",positivo
abajo cajeros automaticos,negativo
"consistente demostraron blindado cada corrupto porcata,estuvo partido plagado mafiosos, corruptos delincuentes iguales caracteristicas consistencia",negativo
ejemplo? control todo?,positivo
mermelero queria rosa bartra maletee keiko pelo,positivo
saber anticipado decir bartra viviendo mundo.,positivo
calla imbecil. babozo,negativo
"mayorias alianzas parlamentarias, posicion seria valida.",positivo
"quieren dejar mamadera. tales desgraciadas. aprenden, aprenderan. nacidas delinquir. quieren chuparle sangre peru final dicen querer trabajar pais. creen?",negativo
"veremos observen gino costa tambien reclamas, estan comision permanente gestionaron dispensa podran postular",positivo
informe bien emitir opinion desatinada. solo casos nelly cuadros pertenecen comision permanente devieron solicitar licencia goze haber tiempo plazo vencio imformate,positivo
menos pusieron inadmisible.,negativo
"""apestada"" rosa maria bartra #fujiaprismonuncamas",positivo
"puede contrario, cambiandose partido impunidad...",negativo
distinguida dama,positivo
"parte democracia señor, aunque guste. simple cambie emisora, haga paltas",negativo
"ahora color pintaras. peru quiere entimdean. becerro medio minimamente inteligente postular, sabemos porque! postulando gerente fabrica mayolicas yesta medio coupadito",negativo
"incidir vinculos congreso obstruyo (p.ej. comision lava keiko, gracias empresarios -categoria mafia-, prensa comprada. fondos pareja origen internacional.",positivo
adios solidaridad,positivo
"caso congresistas pidieron licencia, insubsanable, plazo vencio noviembre,no documento fecha cierta anterior presentada resolucion inadmisibilidad. decir,para game over.",negativo
adios solidaridad,positivo
votar personaje adios solidaridad,positivo
minuto 7:43,negativo
miedo incapaz acabo definir voto.,positivo
instrumento golpismo? garantias elecciones libres?,positivo
"totalmente acuerdo ahora razon 🎶no,no,no gana vivir narco dictadura venezolana🎶 —-&gt;#1 voto",negativo
"jajajajajjajajajajajjajajaja. buen chiste, alguien migra partido politico permanecer congreso.",positivo
"cuenta ignorante pueblo peruano, pondera mujer obstruccionista cego poder daba mayoria disuelto congreso, cuestionan solo vueltas nunca responde realmente preguntan.",negativo
"nota leguas cambiado estrategia salir elegida nuevamente, ahora increpan, solo descerebrado puede tener idea puede faltar"" proximo congreso, solo responde cosas preguntan.",negativo
"genera temor, sino repudio.",negativo
