full_text,sentiment
chalinas verdes villaran?,positivo
bravoooo!!!! feministas poderosas orgullo,positivo
"jajajaja amigos todo, enemigos",positivo
#pañuelosverdes!!!!,positivo
volvieron chalinas verdes,positivo
"jamas seran gobierno, ustedes representan peor politica incluso cloaca llamada fujiaprismo",negativo
verguenza usando niñas manifestaciones abortistas.,positivo
"orgullosas defensoras susana villaran,desfilan clamando libertad, desfilan proclamando defensa graña odebrecht.",positivo
"paso, ninguna foto veronica mendoza?q facil pierde memoria personas apoyaron.",positivo
"afirman #juntascontratodaslasviolencias... entonces tambien estan #especismo (asesinato animales lucro, gula, diversion...) peores violencias. toda forma vida sagrada aquel destruye vida, financia acto, paga crimen",positivo
orgullosas portan trapo verde mata-niños cuello. complices matanza.,positivo
parece pedirle consistencia politico pedirle peras olmo,negativo
"esta, marcha, codo codo indirita marisita",positivo
bolivia?,positivo
ferrari botaron solo estan escondiendo?,negativo
primera #vladimircerron dice oportunistas mejores cuadros ¿alguna palabra defensa ellos? dudo regresen lado. reconocimiento siempre,positivo
beneficio pais? participacion beneficios consesionarios peajes levantar fiscalizacion,negativo
seguimos trabajando pais. conviccion corazon!,negativo
gran equipo trabajo beneficio pais. ojala retornen politica.,positivo
¡demostracion grandisima hipocresia “lider” comunista castro!,positivo
¡asi comunistas quieren gobernarnos!,positivo
"planteas propuso congreso disuelto presentas igual, acumularia dictamen aprobado, aqui presento",positivo
tantos niños asesinados violados? importan? marcha deberia pena muerte peru violadores asesinos niños mujeres.,negativo
nadie hora final libertadores.,negativo
"federacion sanjado acto deleznable disculpa foto,la perdera trabajo,la victima traga maltrato, quedara nada, vamos acostumbrarnos normalizar racismo, minimizamos? pasa",positivo
"vimos protesta sras disfrazaron indigenas, sentencia denigrante programa chola jacinta ahora maltrato letss hacia trabajador",negativo
"similar aqui, porfa",positivo
"verdad mayoria rostros distintos. experiencia alli radica poder apra. reeleccion menos balancea eso. ejemplo, podra investigar mulder algun delito dentro funciones.",negativo
pasamos tema. electores. ¡que estres! ¡que depresivo todo! siempre regresamos mismo congreso.,negativo
ahora creo necesitamos experiencia permite saber cusndo traban patean proyectos negociar mesa directiva. ¿por crees mulder apristas poder? respuesta experiencia. enfrentar esos.,negativo
vacios pueden llenar promoviendo otros. bacan habria sido morados consulten alberto podria recomendar.,positivo
"reconstruirte, reconfigurarte... tiempo. puede cambiar paso iberico. creo serviran importante: resto agarren lornas. importante.",negativo
"entiendo dificil construir partido. sabemos crisis agrupaciones. critica rapidez cambio partido otro. puedes cambiar lentamente, tome tiempo.",positivo
"cosa triste debes aprender politica henry pease dijo charlas interpartidarias: vacios llenan. ahora, puede llevar moraditos (que nocivos, elecciones) organizaciones criminales.",negativo
"digo: nomas. critico politologos idea vida partidaria, intereses juegan posiciones enfrentan. comenzar, puede hacer carrera politica agrupacion politica? falta partidos,",positivo
estan guardando 2026.,positivo
basura moral roja accion!,positivo
"osea importa capacidades, sino solo cumplir porcentaje nadie ofenda. vaya tonteria",negativo
¿frente amplio,positivo
"izquierda nueva peruana bandera lucha clases bien peruanos principal educacion, salud, trabajo lucha corrupcion necesitamos izquierda nueva nuevos fundamentos ideologicos",positivo
"tonteria,y demuestro objetivo democratizar entonces aplican criterio segun aspecto racial ingresos economicos...seria democratico igual disfuncional",negativo
bueno importa mujer hombre sino preparado congresista sinceros congreso disuelto tenia muchas mujeres ciertos partidos corruptas hombres propios partidos,positivo
igual votare jamas partidos politicos,negativo
"esperemos pronto, necesitamos urgencia gente bien luchar monopolio.",positivo
paridad genero?,positivo
amen eso.,positivo
aaar.arce ...se cuente tener partido politico negocio redondo puede incluso franquiciar,negativo
deciden formar partido? cansados siempre optar menor. menos partido represente favor.,negativo
"totalmente acuerdo, alli inscribo partido",positivo
amen eso.,positivo
seria genial volverlos juntos partido propio. ❤️🇵🇪,positivo
"exparlamentario renuncio #nuevoperu, subrayo innegable liderazgo logrado tener #congreso video completo ¿que opinas respecto?",positivo
"buenos dias, evidencia concluyente daño mencionas, adulto. cannabis neuroprotectora (contrario mito hay). pelea dando cannabis medicinal. buena semana!",positivo
"ignorante, podria ser, imbecil comprenderas jamas",positivo
"tambien susel politicos coherentes honestos. definir izquierda derecha pasamos diciendo pueblo todas sangres buscan bienestar sociedad equitativa, cero corrupcion, eliminar inseguridad ciudadana",positivo
seria bueno resalte expresion medicinal celebran precisamente salud sino recreativo. aspecto solo beneficios cerebro.,negativo
sueño izquierdista lastima,positivo
excelente,positivo
"richard gente honesta mencionas positivo daremos lucha fuerza todo, estare pendiente.",negativo
"interesante, partido ideologia propia, pensado desarrollo pais, adelante.",positivo
queremos terrorista femenazis ideologias degenerativas,positivo
seria buena decision tres señoras dignas congresistas,positivo
buscare construir partido seria interesante hablar,positivo
personas indecisas. muchas estan esperando presenten todas listas decidir voto.,negativo
sorprende.. ideas acciones brillantes oscurecidas defensas torpes atornillamiento defensa supuesta democracia maduro.. entendera izquierda consecuente,positivo
condenados repetir historia.,positivo
"encuestas truchas, medida acerquen elecciones iran ""sincerando"".",positivo
nivel corrupcion?,positivo
"preocupante fuerza popular segunda lista preferencia... fin, puede cambiar semana elecciones, esperemos listas oficiales decidir",negativo
mismo siempre cada eleccion informa grado corrupcion integrantes cada bancada apra medios comunicacion prestan juego manejado intereses rasguen vestiduras queda saber votar amigo,negativo
apoyaran maduro cuarta reeleccion estaria mejor igual derecha conviene delito,positivo
izquierda nunca aparece encuestas eleccion anterior volvera soprender.,positivo
"sorprende, intereses juego status quiere perder poder, posible.",negativo
"abrazote, vero",negativo
"dispersion juntos, peru libre goyo lado afecta, incluso frente amplio. punto, involucrado tema mendoza-cerron, paso",negativo
"izquierda lacra sociedad, pueden tener propuestas buenas sectores vulnerables sirve proponen modelo devastaria pais, luchan inversion privada, pais miseria todas propuestas desague",positivo
guardando fuerzas money 2021.,positivo
sorprende intencion periodismo ocultar partidos alternativos sistema mismo television,positivo
"tantos pro-vida tratan mujeres violadas nazis quieren necesitan tener control cuerpo, exactamente estan favor gente muera quieren aprobar cannabis medicinal necesitamos sobrevivir.",positivo
tambien quintanilla dammert. ojala vuelvan tambien.,positivo
mencionados solo tentando reeleccion.,negativo
"renunciaron principios podian lista funestas alianza, salvo resto pretende regresar lumpe ocasiono crisis, ojala ningun logre",positivo
especialmente recordara peajes,positivo
"recuerde partidos vienen atras, comparto gente valiosa partidos",negativo
sorprende. malisimos.,positivo
dejando espacio impresentables...,negativo
"sorprende izquierda lista. representantes hicieron gran papel congreso pasado, esperemos logren ingresar parlamentarios mismo nivel.",negativo
seguidores opinion? solo demuestra falta argumentos.,negativo
"peruanos votamos referendum reeleccion congresistas, ¿usted presenta?",positivo
reeleccion ︻╦╤─ ░░░███████ ]▄▄▄▄▄▄▄▄ ▂▄▅████████▅▄▃▂ i█████████████████ ◥⊙▲⊙▲⊙▲⊙▲⊙▲⊙▲⊙◤,positivo
avisen acudir manifestaciones,positivo
necesitamos muchas cosas vamos seguir peleando,positivo
"salir destrabar ejecucion proceso venta autorizada hara bajen costos seran calidad, duda “este aceite medicinal sera realmente porcentaje dicen necesitamos aceite cannabis medicinal lugares autorizados",positivo
terminar implementar esta. igual seguiremos usandola,negativo
esperamos demasiada gente enfermedades cronicas terminales pueden mejorar 🙌🏼✨✨✨✨ #calidaddevida,negativo
seguidores???,positivo
seguidores??? serio???,positivo
ignorante tenias,positivo
ojala,positivo
pato nadie olvide,negativo
"culpa congreso obstruccionista! felizmente solucionara instante (claro, nombren nuevo ministro salud)",positivo
atento,positivo
"creas cannabis desapareces panorama politico? esperamos q.seas fiel ideas presentes congreso nuevamente, menos consecuente voto reeleccion",negativo
"ojala vuelva salir elegido, usted congreso meter presion gobierno ley. forma.",positivo
gracias buenos deseos abrazo,positivo
"ojala haga realidad, calidad vida, paliativo personas enfermedades cronicas",negativo
"estudios cientificos hechos concluyentes positivamente, pirolitica. permite, pueden flores vaporizadas. mucha desinformacion, natural estigmatizado interes economicos, sociales clasistas. educacion siempre",positivo
cara dura!!!,positivo
agradece gran avance,positivo
"investigacion cientifica tambien seriamente limitada. reglamento, ademas ultraconservador, hecho. reglamento pais, nadie cara autor reciba criticas ponga tapete.",positivo
"congresista, ¿porque pedia cierren congreso ahora quiere re-elijan? inconsecuente?",negativo
alegro,positivo
"digemid quiere cambiar reglamento volver meterlo 023, burocratizar todo, hacer solo ciertas condiciones.han comprado lts. solo componentes hacer formulas magistrales (?), larga lista candados quieras podemos hablar.",negativo
"quieres llegar congreso misma huevada anterior? mejor aprende tener valores tener verguenza, querias cierre congreso ahora quieres volver",negativo
"gracias alberto! bien dices, hace años gran avance pais, todavia nada, indignante. pacientes familiares pacientes, legalmente poder abastecernos. confiamos podamos presentar proyecto proximo. abz!",positivo
ayuda,positivo
"espera federacion atletismo retirar mujer, disculpa sirve!!! basta maltratos!!!!",positivo
escuche ninguno rojos denunciar corrupcion “indigena”,positivo
rojos peruanos comeran lengua #terrorismonuncamas,positivo
¡tiranos rojos hambreadores nunca mas!,negativo
jajajajaja buenisimo hdp. jajajajajajajajajaja 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣.,positivo
¡nunca mejor descritos!,positivo
¿que opinan?,positivo
"señora brava. asumiendo papel abusivo autoritario podemos aceptar. tipo personas deporte. ¿que opinas,",negativo
isabel congreso daras altura defraudaras? realmente loteria voto alguien. espero excepcion,negativo
verguenza.💩💩💩💩 ganapan.,positivo
"acomplejada, siempre victimizandose.",negativo
"entienden sras mujer hace merecer tratos especiales! gran diferencia mujeres europeas muchas peruanas, exigen cargos ventajas...",positivo
hagamos algo!!!,negativo
adri admiro harto siganlas,positivo
programacion america televicion. menos entretenido. problema mañanas. noticiero mediocres fujimoristas: narices federico inepta linares. cambio..hablan huevadas.,positivo
"colmo ustedes haga izquierda corrupta bien. señor morales hizo fraude quizo quedarse poder lugar, fujimori ustedes odian repudian",positivo
mandame pasar huevo chaman ...y saque estupidez cerebro....,negativo
bonito socialismo lucha capitalismo imperialista neoliberalismo....,positivo
organicemos contundente. organizarnos.,positivo
maravilla mujeres reconocen mujeres... revolucionario!,positivo
"informa pcm, oefa comprometido viajar zona proximos dias",positivo
"buen punto!! señora vive? conoce trabajo alguno partido respalde, aparte congresistas abandonaron vive?",positivo
buena,positivo
