full_text,sentiment
bueno pena recuperado inversion verdad,positivo
viejo calzonudo definitiva canas signo sabiduria usted politico usted edad simple sirviente bancada corrupta verguenza viejo decrepito casi idiota verguenza nietos,negativo
vizcarra forma dictador ?... retrasado mental evoluciona chusma ochentas,positivo
caradura,positivo
jajajaja lamehuevos montesinos,positivo
que... saben idea valores,positivo
"valores puede hablar pertenece partido supuestamente infiltrado delincuentes, partido sido comprado corruptela empresarial, viejo pasa destilando odio redes.... ¿¡¡de valores hablas abuelo!!?",negativo
"osea invertiste, inversion ahora lloras segun perdiste plata. mejor muerte viejo rosquete.",negativo
preguntale china pedorra,positivo
infantes sabemos... viejo pellejo abusivo,positivo
almirante viva vida retirado dijo manuel gonzales prada viejos tumba jovenes obra,positivo
ideologia basada odio. moralidad selectiva nunca cuestiono inmoralidades gobierno nadine heredia. humala).,positivo
pasa fuerza popular cuenta,positivo
politicos sorprendido postulado plata recuperado inversion”,positivo
falto decir dice forma sarcasmo... porq señor solo interesa saber periodista recibio dinero lider keiko recibio debe explicaciones... quiere solo prensa explicaciones,negativo
"diria contrario, tiran flores conos.",positivo
pregunta jefa pues cono cuanto pago estes hablando pavadas,positivo
"usted, asimilo excelente educacion, sintio blindar hinostroza, chavarry donayre?",positivo
completamente acuerdo tipo bandera. jefe humala dice investigaciones ambos curso.,negativo
"bajo misma logica entonces dinero entregaron señora lourdes, alan, creyendo palabra",negativo
"dice verdades ,sobre delincuente alias ruth",positivo
sera sueños,negativo
esther saavedra “estoy aqui plata” cuanto aportaron candidatos fp??,positivo
bilis vita alias ruth quedar presa gastarlos meses,positivo
calla lesbiano.,negativo
cosas realmente.,positivo
nacionalista comunista terruco. incapaz parte monton actual. refiero mequetrefe p.cateriano.,positivo
"forma buscan tumbar julio guzman haci sacaron lista manera buenos quieren ,averiguen fondo escuchar otros.",positivo
miserable!! felizmente nunca,negativo
llamen capitan misajel capo acciones antisubversibas,negativo
sera señor pareciera sabe realidad sabe,negativo
"sera señor historial espero fujimoristas pena ataca gobierno ,que puede esperar personas aman pais",negativo
"unico interesa plata, monton oportunistas, sinverguenzas incapaces caso particular vende patria uniformado arrodillo montesinos firmandole acta sujecion",positivo
"malo corruptos, paso pedro cateriano",negativo
"verdad hablan archimillonarios confiep, apostoles corrupcion pais decadas.",positivo
dejese entender porfavor,positivo
pueblo debe darle vacancia!!! solo escudarse terminar mandato... peru cuesta abajo... entiendan tirano debe preso ya!!!,negativo
comercio detecta dinero recibio corrupcion,positivo
👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻,positivo
viejito: quedate calladito mejor!,positivo
pidele keiko facil juega dolares,positivo
lastima tubino. verguenza marinos!,positivo
"encima tantos aportes millonarios, rata descontaba hombre tercera edad dejarlo chihuan. #colectatubina",negativo
twit carlos tubino,positivo
"necesitas conazo componen ideas; cuenta pueblo señor cateriano respeto? pasaras historia felon? educacion puede buena, valores conciencia",negativo
"busca dionicio romero, encanta regalar corruptos...",positivo
miraste espejo hablaste contigo mismo primer cinico junto banda delincuentes pederastas iglesia dieron patada punta poto,positivo
"sigue confundida, señora. mencionado refiere.",negativo
defensa hacia keiko desmorona monopoly,negativo
fiel reflejo sumision cobardia.,positivo
ratas,negativo
"usted menciona keiko, olvida tema fondo concentra ella.",positivo
"lastima keiko convertirse madre, coincidido surjan descrito. pudo seguir camino partido cambiar personalidad. ahora puede esperar peor libertad, salir odio ansias venganza.",negativo
"odio keiko fujimorismo observo personas hipocritas, buscan tener lugar relevancia, poder, control. antes, keiko congresista hablaba tranquila, admiraba ella, pude decir wong",positivo
😂😂😂😂😂😂😂😂 cuentanos mas.,positivo
"monopoly, dormir, debes cabeceando, mejor dedicate cuidar nietos.",negativo
lame poto,positivo
"cuanto cash judio rpp???de salio plata???, hace,yo negocio,sepa",positivo
lleno frustraciones,negativo
viejo sinverguenza sangre cara hablar tanta estupidez junto? negocio pagarle japonesa congresista mantengas vagos hijos cara dura !😡😡esa clase gente pones,negativo
"viejo senil, unico aprendio",negativo
dile devuelva diezmo..,positivo
perro concha madre llegara hora. junto carnicero madre mia.,positivo
"😆🤣🤣🤣 ¡dos veces derrotada elecciones! lidera organizacion criminal cuya cupula purga prision preventiva obstruccion justicia, adicta dinero facil, mitomana empedernida, cinica, #fujimorinuncamas #amikeikonomeengaña",negativo
"experto esperando ""luz verde"".",negativo
obvio nivel idiotez,positivo
"lorna, keiko lleno plata cutras...",negativo
blindando corruptos haciendo trabajo sucio ordenado señora,negativo
sigues huevada...,negativo
