full_text,sentiment
abogado villa stein candidato cal. actitud constante hacia regresion ideas valores hacen grandemente inapto dirigir cualquier institucion menos cal.,negativo
"hombre haciendose pasar mujer mujer haciendose pasar hombre califica acaso violencia mujer? mujer solo construccion social genero, entonces rechaza violencia persona mujer construccion social genero?",negativo
imbeciles. abogado. ¿perez? llamo? sabe inferior,negativo
descarada!,positivo
lgtb. presume mujer cuenta existe cromosoma lgtb,positivo
tema trabajadores osea sera tema debera preocupar izquierda retrogada arana cia. entra gobernar iran desapareciendo empresas formales paulativamente sera gran empleador desarrollo sostenible desaparecera.,negativo
¿hay ilicito eso? digame usted ¿como financio campaña congresal? ¿cuales montos donativos apoyaron candidatura?,negativo
toca hacer trabajo aclarar cosas ponerlas orden pueden abusar falencias sistema...,negativo
tambien recibio apoyo economico diferentes campañas politicas...casi politicos estan sumidos nadie diga no...ud peor,negativo
gpbiernos estan comprados,negativo
"ahora entiendo comunicado confiep cierre congreso. desesperacion. embrago; creo intereses empresariales, lamentablemente, calaron normas atentan trabajadores. evitemos burlen trabajadores.",positivo
olvides compraron gran transformacion hoja ruta nadin. hagas webona.,positivo
"camina veneuela,",positivo
"morias ganas volvernos venezuela,",positivo
preso terrorismo uds? nadie staff defendido terroristas?,negativo
hizo ollanta odebrecht gasoducto sur...cierto?,negativo
"llamo coima previa, nuevo congreso podria introducir tipo penal",negativo
"mucha fuerza, perla.",negativo
pobre gato....,positivo
"verdad ponen titulo progresistas, tira piedras, queman patrulleros, bloquean carreteras, comunistas, parasitos, como, preguntaria producido pais, echo peruano?",positivo
aspecto,positivo
granja animal traicion cerdo napoleon snowball. mejor seria repartimos mejor propia torta,negativo
"chile, revolucion muchachos",positivo
venezuela escrito libro george orwell “animal farm” 1945,positivo
miedo repartir mejor torta,positivo
"dificil opinar pasa bolivia, justifica muerte tampoco vale parcializarse nadie,la verdad unica",negativo
respuesta miserable!...,positivo
"puede argumento razon relevancia hoy, ...pero quita ideologia capitalizar sequito vivir ello, mejor ...ñangas.. pichon..wiflas... never...",negativo
habla; años existia legislacion ambiental manera engañar gente,negativo
exacto bien dicho,positivo
councido,positivo
usted psicologa.?,negativo
"pues hace maduro, ortega paises, rojo hipocrita",negativo
"alemanes hicieron funcionar venezolanos, mayores reservas petroleo poder distribuir riquezas, tampoco; crees funcionar? dejes engañar.",negativo
decencia pablo sanchez vito partido congresista castro tener “osadia” pedir pablo sanchez investigado?,positivo
"primero luego ahora buenos jales, reconocimiento exitos contienda, voto!",positivo
unico miedo chavismo,negativo
dieron tambien olvides apoyaste,positivo
"aportar generar crecimiento hacer especulaciones cuales prueba? gente usted nefasta generacion empleo. izquierdista, vive pobres, interesa.",negativo
vemos contaminacion rios varias regiones,negativo
"pues arana, aqui oportunidad todos, quiera salir adelante hace, solo parasitos socialista, sueñan sociedad trabajar! existe, trabajar aportar todos,",negativo
emociona. invito vayas unas,positivo
sorry viene pierde fuerza mensaje... radical,positivo
purita verdad doctora... saludos,negativo
"enero, ministro energia minas, general fernandez maldonado, refiriendose expropiacion cerro pasco corporation, dice “hoy victoria pueblo peru tambien derrota imperialismo” ¿quien responsable?",negativo
"uffff, epoca virreyes, horror",positivo
"pena, paso cuba entro fidel, cuantos muertos justicia nombre igualdad.",negativo
ffaa bolivia formacion fascista. parece realmente gobiernan siendo añez titere,negativo
"barbaridad. dejen filmar rato, dicen. acribillamos. escondemos. escondemos mejor podamos rastros. despues regresan.",negativo
gracias almagro,positivo
"comentario parece complejo culpa, quena dejan esquina, siguiente aparece hijos semana siguiente, pueblo invade calle",positivo
"solo vivan puedan pagar necesidades recibir centavo genera mineria, renuncien centavo produce mineria, sigo..!",negativo
inmoralidad instaurada chino fujimori peor daño social patria marcado diferencia tiempo instituciones,positivo
"marco..! quieres diga..! bien critiques, alternativas concretas eliminar antoja, demuestra distrito provincia prueba piloto puede vivir mineria",positivo
"terrorismo asolo peru entero ???? asesinaron campesinos, obreros, empresarios .... respondes eso...sr. cura..???",positivo
arana hiciste pasco solo importo ministerio uniste keiko vacaste ahoras rajas algun imbecil grita volcan empleo pasco creo droga narko taper idiota vida,negativo
"señora kaos, siempre sera corrupta, gusta, narco gusta dinero sucio facil, gusta poder.",negativo
"satan mineros informales dieron directo nadine millones candidato ollanta, poder judicial rojos dicho",positivo
agresivo piensas distinto? mira propias palabras...,positivo
opinas niñeras ilegales??? nobhaces ellos???,positivo
claudio...,positivo
colombia ensaya revuelta estilo chileno liberalismo,positivo
"tambien entiende temas indiscutibles daño hacen tierras, aguas, ambiente, salud poblacion empresas corruptas, redes troles apoyan empresas mafiosas perjuicio afectados menos tienen.",negativo
"..camino, camino solicitando ciego ayuda alguien oriente seguir sendero, evitar caer algun agujero, pronto mano ofrecio ayuda dijo oriento.... mano ciego...",positivo
ahora,negativo
"seria bueno presentes pruebas saber paso, facil acusar pruebas, moda",positivo
ca.....,positivo
🙋🏽‍♀️,positivo
mineros informales financiaron toledo?? plata legal nunca dijiste calladito quedaste,positivo
"dediquese nietos, joda.",positivo
"entiendo mejor postura, sarcasmo interpreto, lease mismo evalue comentar espacio suma, resta, solo burla. pretendo trabajar congreso, deseo serio politica, debido ello pais desigual. saludos",negativo
semilla cayo piedras dureza(su propia historia) crecio.,positivo
importar salud poblacion sra. kash primero intereses...,negativo
tambien escribes financiamiento hacia dictador chavez corruptela mineria ilegal. falzaso!,negativo
ahora entiende motivo accionar nefasto congresistas varias bancadas. ahora entiendo actuar fujimorismo alanismo. debe investigar todas campañas electorales.,negativo
directora colocha proterruca cara mosca muerta podemos decir,negativo
"razon china dijo nada... sinverguenza!! salgan trolles... hagan berinche! salte hillca, glave... robo!!",positivo
pues proximo congreso revise derogue.,negativo
compañeros aqui acuerdo señor mujica,positivo
"cierto, mejor contenido solo titular.",negativo
"descaro, tira corruptos",positivo
"esste canal verdad? privado, dias invitan sino enemigo comunista nuro pais, retrogradas despotricar unicamente fujimorismo, mismo""modus operandi"" 2001 fecha.",negativo
gino espero comision permanente impida postular voto familia saludos norte peru.,positivo
"haha curita... apena recibir sol, regalado. contaminacion pide viene varios años 2011 haga pues... objetivo cura",negativo
picon... eres.,positivo
recibieron dinero idolo ollanta,negativo
jaime bayley...¿ cuanto cobro millones prostituirse atacar humala?,positivo
logica curita.,positivo
toda mierda dueños peru descubiertos.,positivo
💩💩💩💩,positivo
narcotraficanes terroristas criminales izquierdistas amenazan seguridad vida peruanos empresarios trabajadores,positivo
"mayoria descendientes indigenas hablar español podian. llegado tener vida, fondo mueren miedo perder tienen, menos quieren lleguen tener ellos. ignorancia mala leche projimo.",negativo
cura honesto valiente carcaman fernando belaunde. quedo ojo? jejejejeje,positivo
siempre supimos dueños mineras basura interesa ganar ganar,positivo
buena bigote! razon voto!,positivo
"apra comunistas ganado veces, cambio apoyaron, toledo, humala, ppk, villaran vizcarra, fracasado, pais comunismo triunfo?",positivo
"ahhh fujimorista, perdon, pensaba escribia anencefalico. bueno saludos estudia amigo, siempre puede",positivo
comunidad adyacente santa lucia ferreñafe lideres comunales benefician explotacion minera artesanal. nadie denuncia. ningun politico interesa.,positivo
