full_text,sentiment
ahora acosador llaman vizcarra mentirosos. dejen mentir hablen fuentes reales. gracias gestion vizcarra estan celebrando eventos talla mundial incluida #finalcopalibertadores2019 #evdlv #checho,positivo
anda chupamedias #vizcarradictador encima acosador,negativo
"señor campañas politicas siempre sido financiadas grupos poder economico. arquitecto avioneta blanquita""; acusioso sabra pertenecia",negativo
"lescano daba cara, lastima periodista difamo, chats aviso, coqueteo",positivo
lescano dice cierto sirve quejarse? proponer solo castigue infrige omita tambien otorga beneficios autoridades hagan hagan locos,negativo
"verdad eso, parece editado paint",negativo
gracias estimado yonhy lescano valentia corrupcion fujiaprista!!!?,positivo
demagogia empezado,positivo
"mayores ""posicionadores nombres pre-candidatos. encontramos error columnista homonimo filtro. siempre diarios menor medidas mismos. hilo",negativo
"jhony razon, cuentanos hiciste ademas apoyar gobiernos turno.? sera tambien hipotecas voto.",negativo
"comentadores seguidores aparece medios periodistas locales. viralizador, siempre demostrando eficiente pre-candidatos.",positivo
"temas tocados domina nombre tintes curiosidad nombres sobresalen rededor ""odebretch"" nuevamente guzman domina. pueden mensajes compartidos twitter.",positivo
"voto positivo ganado pesar campaña contra, pasa ataque salen defensores suman comentarios demas pre-candidatos. luego peor semana).",negativo
"aqui nota comentarios concentrados gran distancia competidores. incluso visualizaciones, diferente comentarios magnitud, guzman tambien sobrepasa mejor viralizador.",negativo
"llama traicion patria, miserables debemos desterrarlos elecciones, entierro total.",negativo
"aqui, muchos, todos, aprendido absolutamente nada. versiones denuncia, mintio entonces. dejar manos leyes pais?. parece acoso manipulacion sexual delito ""pasable"", estupidez.",positivo
doble moral lescano traidor solo gritas perro callejero haces pais,negativo
"defiendo defiende peru, congreso temor gritaba verdades jefes corruptos, calle pidiendo taper vendiendome lonchera. conozca llama dignidad conviccion",positivo
luchando casi solo jauria congreso disuelto.,negativo
"peruanos esperamos sanciones funcionarios recibian plata, sobornaban dinero. basta tanta impunidad! basta tanta miseria!!",negativo
👏🏼👏🏼👏🏼👏🏼👍🏻,positivo
pregunto empresas telefonica cencosud dieron eliminaron rentabilidad minima garantizada hase pensiones bajas,positivo
"pocos congreso enfrento corrupcion, miedo amenazas. yonhy lescano mejor candidato presidencia. adelante",negativo
recibir dinero justificacion alguna vender hipotecar conciencias.,positivo
espero mantenga firmeza servir pueblo vaya despues choque empresarios busquen beneficio olvide promesas pues ahora escucha confied metido puede esperar dia...,negativo
"optimistas, yonhy lescano hizo, franca minoria, personas tambien pueden hacerlo, seguramente manera solitaria. accion popular mucha gente valiosa. seguir adelante.",negativo
punto,negativo
yonhy confio,positivo
"diras, unico inmoral bancada casi expulsan parlamento nacional acosador",negativo
"gente aplaude pasquin congreso gobiernos corruptos nunca denuncio solo ojos fujimorismo apra, años vivio bien vacan hacer revisen bueno hizo congreso",negativo
"partido: accion popular, 1969 fuerzas armadas peru expulsaron gobierno mafioso. payaso?",positivo
acosador,positivo
bien lescano apartese accion popular partido infectado korrupcion,positivo
"habla claro, deberias decir congresistas sobornados delito, dionicio romero sobornado señora traves congresistas fujirastas claro resultados estan vista,",positivo
"yoni, haces dememoria hablas ulloa, hermanos choriguela otros.",positivo
mañoson,positivo
"acertado dice lescano querian dejar congreso, ahoara quieren volver hacer mismo zarta corruptos congreso compuesto alimañas rateros farsantes",negativo
pues tenia razon,positivo
sonso nunca apoyo cargo soberbia altaneria cerca educacion engaño,negativo
...te falto mayor decision embestida maldita corrupcion...! ...fuiste tibio...!,positivo
"sabe campañas politicas necesita dinero, necesita congresista saberlo?",positivo
cierto tiempo razon muestra verdadera cara moneda. ahora nunca #lescano_presidente_2021.,negativo
"pueblo hizo"", huevadas habla fernando belaunde, pueblo peruano harto corrupcion aprofujimorista.",positivo
¡accion popular nunca mas!.,negativo
cierto.,positivo
"ahora presidencia, peru necesita alguien valiente gobierne luche liquidar corrupcion.",positivo
"bien defiendes lescano, toque carne",positivo
"esperamos sr.yonhy lescano,en proximo congreso,a usted atacaron fujitrolls tratando ensuciarlo perjudicar lo...pero verdad siempre sale",negativo
cansas loco,positivo
huelga aseo hambre,positivo
paras engañando pueblo hace tiempo charlatan congreso años hiciste????,negativo
preguntamos mami cuanto venentaron molleja 😭😭lloro kakita,positivo
jajaja risa pena,positivo
"crees molestar? visto logre cometido, revente higado jajaja",positivo
vice.,positivo
cultura lame culo!! sobrevivir estan poder lugar luchar trato igualitario cagan miedo.,positivo
"pelao secretario partido solida ridad defenderse chavista, primavera sudamericana triz ordena liberar señora",negativo
desvian tema... dicen tratar defender indefendible.... sere acosadora ahora? pfff,positivo
"peru necesita hombres mujetes honestos valientes, nunca adelante.",positivo
puta pario kakita,positivo
bien dicho lescano,positivo
"moral comenta, acosador mujeres",positivo
campaña lescano gustavo seguro 2021se manda presidencia veremos preguntara,positivo
"xuxa ""partidos mañosos"" debo usar lentes vista ""memoria pendeja"" jose adolph solo recuerda conviene.",negativo
"lescano bien habla admiro, favor necesita poner orden accion popular elecciones internas creo momento peso necesita hacerlas",positivo
lescano trabaja,positivo
suerte postula,positivo
"sacando accra indeseable, seras igual duele apestoso?.....",negativo
yonhy arriolon. mejor amigo whatsapp.,positivo
discurso populista...pero diga financia campañas?,negativo
totalmente acuerdo!!... lamentablemente proximo congreso. 2021 seguro asegurado voto.,negativo
"seguido trayectoria congreso yonhy,su lucha corrupcion directa, sido lucha javier diez canseco, lastima firulais mostrando colmillos sentarlo dejarlo avanzar ahora sabemos porque.",negativo
cuenta mujer madre,positivo
usted primero joder ahora quiere volver 🤷🤷🏻‍♂️,negativo
cara monte bajaste fujikaka mierda come perro,negativo
apra recibio pilar nores mujer romero,positivo
pues bengas desir belaunde nunca rresibio ayuda alguin escuchava años partidos politicos rresibian ayuda economica campañas,positivo
riko meterle la.mano mujer fujikaka ardido,positivo
kaka cara concha ladrar acosador ...denunciarlo metelo carcel bolas cagada,positivo
"mismo d.romero(padre) dijo epoca belaunde daba;de jactas,el problema plata ilegal parece exalta tostesterona",positivo
"sicaliptico, verde regresare puno regreses nadie quiere",negativo
acosador caradura..,positivo
elecciones partido recibio grupo romero justamente,positivo
"digame señor, cree belaunde financio campaña? ahorita sale dionisio romero padre contar aportes podra afirmar hipoteco grupos poder? hablar mejor pongase acuerdo correligionarios tapar cochinadas",negativo
camita?,positivo
jajajaja equipo partido persona estimada fujimorista.,negativo
dice vendido partido corrupto historia peru?,negativo
"excongresista afirmo ""nuevamente tiempo razon"".",positivo
"usted toda razon, congresista lescano unico bacanda frontal directo plaga fujimorismo, embargo reserva moral",positivo
quieren pais caotico rojos aman violencia,positivo
"fujimorismo deberia preocupado mark, pobre debe pasando huelga. bien creo deberias llevarle tapercito aplacar hambre.",negativo
paises necesitan congresistas vocacion servicio ganas trabajar pueblo. adelante doctor lescano peru necesita hombres usted,positivo
mañoso,positivo
"ninguno ""desleales"" presentar, descartados, lamentablemente lescano unico saco cara, tampoco estar.",negativo
"lescano, ¿como podemos confiar luego nefasta performance congreso disuelto? usted unico coherente postulando.",negativo
"""para digo no....si si""😯",negativo
"contigo yonhy lescano, delincuentes criminales corruptos excongresistas fuerzas popular aprismo estan hipotecando curules, siempre hacian leyes pueblo peruano, delincuentes criminales corruptos carcel",negativo
hablas lulu?,positivo
solo puede decir peritaje.,negativo
acosador.....,positivo
"tampoco santo devocion, solo pobre oportunista convenido",negativo
"ahora sabe mayoria peruanos, podrias decirnos toda sinceridad eso?? acaso, data años vengas nacio gobierno aprista fujimorista..te atreves??",positivo
diganme 2006 parecia menos izquierda 2011??? jajaja mentir saben. ahora piensen cuanto apra 2006,negativo
dijo algo? igual!,positivo
faltan lescanos congreso,negativo
"sabias recibian, dicho recibian falto jugador",positivo
apoyo yonhy.... lanzate nuevamente congreso.... carcel #keikofujimori #markvitochallenge,positivo
"claro facil quitarle casa familia botarlas calle, facil acosar sexualmente mujeres trabajan contigo, botas",positivo
"claro facil quitarle casa familia botarlas calle, tambien acosar mujeres trabajan contigo, botas",positivo
"keiko delinquio presidente? 2011, recibio dinero odebrecht siendo congresista (funcionaria publica), dinero comprometio linea politica conducta bancada, 2011 cerro congreso. entonces, delito?",negativo
razon cobran interes,negativo
"hora saquen evitar oligopolios monopolios atentan economia pueblo, gracias yonhy lescano legislar favor pueblo.",positivo
"escandaloso lluvia millones entregados principalmente empresarios dueños bancos torcer voluntad pueblo legislar favor intereses particulares, urgente tambien revisar app. adelante yonhy corrupcion.",negativo
cierto avances verdad siempre caras,positivo
piensas votar acuña primero video.,negativo
alguien saque aportes teleton! hora actividad transparentada,positivo
"pareciera conversado, no?.",negativo
"sres.hualipoleras medios, defienden odebrech?",positivo
atentos....,positivo
paises mexico entraran bolivia eliminaran muerte traidores hecho golpe sera batalla destruir #oea,negativo
igual #clae despues años revela muchas cosas. epocas regresa actualidad,negativo
igual paso #clae sinverguenza carlos manrique,negativo
señores actuaran caso? cumple?,positivo
"mira cierto, suena populista!",positivo
banqueros escriben pesimo.,positivo
funcionaria publico soborno.,negativo
"creo sinceramente nunca sabra verdadera procedencia dinero usado donaciones campaña, alguien alguno quieran cometer suicidio.",positivo
sabias bancos crean dinero nada? reserva fraccionaria?,negativo
"pepa darnos cuenta lado esta, señora, olvidemos trata ciertos politicos",positivo
aguanta cabeza pincho ahorros clientes pagan intereses usureros. cuantad veces pajeando. exceso malo...,negativo
"triste verdad, congresistas fujimoristas solo vendian pais.",negativo
dice eso? verdad. nadie obliga gente depositar banco,negativo
"pronunciamiento sindicato bcp, pliegos resolver directivos regalando dinero ""salvar pais"".",positivo
razon dinero ciudadanos modo bolsillo,negativo
estan usando recursos,negativo
"hiciste frente intereses usureros cobran bancos? congresista: nada!!!, calladito, bonito.....",negativo
"mentiroso, decir acerca millones odb? plata bolsillo",positivo
contexto... ??????,positivo
tarado. ganancias,positivo
estan obvio pasa gob. incluso menor edad cuenta todos.. solo pocos reconocen.,negativo
puras ratas,positivo
diste cuenta letra carta mismaaaaaaaa carta anterior vito.,positivo
"jajaja jajaja..... ptm.. señora, bota baño come..... haciendo mal...",positivo
imbecil afirmo hija carhuancho secuestrada fujimorismo???? imbecil???? quiennnn???,positivo
imbecil afirmo hija carhuancho secuestrada fujimorismo???? imbecil???? quiennnn???,positivo
totalmente cierto empresarios jamas sacar dinero billetera dejar comer,negativo
pensar imbecil congresista...... hermano terruca?? 🤢🤢🤢🤢,positivo
reordenara desbarajustes basados leguleyadas favorecedoras grandes intereses financieros? volvera fernando belaunde barricadas añi1960? esperamos velasco alvarado puso sitio terratenientes plutocratas?,negativo
"gente estupida habra pagado intereses saber elegir banco trabajar, unico haces buscar culpables, pobre diablo, lloron",negativo
hermanito #lecaros debe salir debe renunciar presidencia hace entidad mermada.,negativo
gran pena usuarios pagar tanta corrupcion...cierren bcp.,negativo
"calladito mejor,.",positivo
lescano. hizo usted detener abuso? nada. peor gracias inaccion autoridades general.,negativo
platas sangradas pueblo peruano. coimear robar...pero seguro quedara ..como siempre.,negativo
ciudadano apie...cobrabran todo. dinero bancarizado declaracion saco...indignante..,positivo
intereses hechos financiar fujimorismo...,negativo
"secreto voces dineros empresas partidos politicos. salido manera normal, sino causa escandalo trae odebrecht, tarde temprano haria publico.",positivo
"caso doblemente, coimean ahorros privados juegan impuestos.",positivo
"cuentan malas lenguas desesperado volver congreso supo mariela fija! tenerla cerquita evitaria pidiendole fotos calata pechitos!! 😁😁😂😂🤣🤣🤣 vamos yonhy, puedes!!! 🤣🤣🤣🤣🤣🤣",positivo
vamos culturizarnos dinero sale utilidad neta... perjudica accionistas. ahorristas... engañar pueblo favor... gracias!,positivo
"existe libre mercado, parecen abusivas tasas banco, caja paga mas. sigue pareciendo pues ahorra invierte asumiendo riesgos.",negativo
callate acosador,positivo
calla pajero m.....recien hablas??,negativo
vean forma meter preso difamador.,positivo
imaginaba... bartra puede decir quiera... nadie puede creerle mentirosa. saludos paty. exitos hagas.,negativo
"señora bartra, mienta, defendio reforma electoral comision constitucion, defendio #rut #señorak dictaban. mienta socia politica #ancash viky, esperamos termine ella.",negativo
aunque luego presidenta constitucion prometio aprobarlo. lamentablemente sucesion propuestas reforma presentadas continuaron desmembrando codigo electoral. cierto tambien pedi ejecutivo hacerlo suyo🤷🏻‍♀️!,negativo
"rosa maria bartra integro grupo trabajo reforma electoral igual zacarias lapa, gilbert violeta, javier velasquez marisol espinoza. lamentablemente defendio propuesta final comision constitucion. presentamos luego",negativo
colmo siguiente,positivo
siempre congresista lescano legislando beneficio pueblo peruano. sentimos agradecidos. felicitaciones.,negativo
"partido politico inscrito, zapallo, verte mejor. jajajajaja inepto.",positivo
entregan dinero bajo dicen normal... sinverguenzas!!!,negativo
"bien sigamos lucha, duro tedioso.",positivo
claro puede ser. #tuvotomata #tuvotomata,positivo
tribunal constitucional peru,positivo
menos lescano creo postula. bien pais,positivo
buen punto. mayoria puede torcer arreglos bajo mesa. luego salir calles protestar. abajo,positivo
"señor excongresista acusado acoso, ustedes pudieron regular tema tasas interes congreso, vengas hacer demagogia candidato.",positivo
bien dicho rateros corbata,positivo
mismo digo...,negativo
lescano presidente!!,positivo
toda razon,positivo
calla cabeza zapallo,positivo
unica burrada usted.,negativo
"verdad, dejo dinero ahorros plazo fijo anual interes. propio dinero momento prestan cliente plazo meses mensual. usureros miercoles.",negativo
vienen apropiando dinero limpio peruano pie. inaudita tanta sinverguenzada.,positivo
burro.,positivo
"dueños peru financian campañas congreso condiconandoles defender intereses, practicamente secuestrados bancos. adelante yonhy lucha corrupcion.",positivo
