full_text,class
totalmente satisfecho x q resolvieron mi  consulta y x q la atencion fue muy buena y mis dudas fueron respondidas,positivo
la atencion fue rapida y clara,positivo
me atendieron bien,positivo
fue muy rapido la atencion,positivo
por que me atendieron muy amablemente con buena actitud en plataforma y cajero,positivo
me atendieron bien con mucha atencion,positivo
la atencion de las señoritas de la entrada fue muy buena en todo momento supieron guiarme ,positivo
porque hay varios cajerosas es una agencia relativamente grande,positivo
buena atencion,positivo
la atencion fue rapida y no toma mucho tiempo,positivo
la atencion a sido excelente,positivo
buena atencion caja,positivo
su atencion y rapidez,positivo
la atencion fue rapida y precisa,positivo
por q su personal es muy eficiente y hacen avanzar la cola muy rapido,positivo
porque la atencion fue bastante cordial la trabajadora muy amable realize varias consultas y de verdad me gusto mucho,positivo
porque recibi una atencion amable desde que ingrese a la agencia y me derivaron a la persona indicada para que atienda mi solicitud con prontitud,positivo
por que resolvieron mis dudas me dieron buenas opciones y todo super rapido,positivo
atencion rapida eficiente amabilidad,positivo
en esta ocasion la atencion fue muy rapida muy a parte que el joven y la señorita me brindaron una muy buena atencion y buen trato,positivo
buena calidad y rapidez de atencion,positivo
bien recibido,positivo
es la primera vez que me acerco a esta agencia y como tal necesito acercarme otras oportunidades para poder dar una opinion mas certera,positivo
excelente atencion,positivo
atencion rapida,positivo
conforme con la atencion,positivo
la amabilidad y paciencia al explicar mi  caso  la persona me apoyo en todo momento para solucionar el problema,positivo
fue la atencion mas rapida y con una buena guia en la atencion,positivo
orden   rapidez en la atencion ,positivo
el trato fue amable y cordial como corresponde a quienes estan cara al publico y mi diligencia se efectuo satisfactoriamente ,positivo
por el servicio y la amabilidad de la atencion,positivo
no habia cola y la atencion rapida,positivo
porque es bien seguro,positivo
muy sinceros,positivo
por que con la asesoria de las personas encargas pude solucionar todos los inconvenientes que se presentaronpor lo que quedo agradecido,positivo
buena grata y efectiva la atencion ,positivo
la atencion fue fluida y rapida,positivo
por la atencion brindada,positivo
ya que el personal que me atendio fue muy amable y cordial ,positivo
la atencion fue rapida y el colaborador muy amable,positivo
porque la atencion es super buena y rapida,positivo
muy buena y rapida atencion,positivo
la atencion fue rapida y la persona quien me atendio fue bastante amable,positivo
deberian tener mas personal para la atencion de plataforma,positivo
la atencion fue rapida,positivo
si  la atencion ràpida,positivo
un trato muy amable y eficaz de la persona que me atendio,positivo
asesoria especifica y rapida,positivo
excelente atencion,positivo
porque me atendieron muy bien la señorita que me atendio fue muy amable y me ayudo en el problema que ocurrio,positivo
porque atendieron con prontitud y no se generaron colas innecesarias,positivo
me atendieron de una manera correcta,positivo
atencion agil,positivo
atendieron rapido,positivo
